,SIO2,CAO,AL2O3,MGO,1726
151,43.39,1.41,1.71,52.10032,LHERZOLITE
152,44.58,2.68,1.51,50.92,LHERZOLITE
153,45.1,1.97,1.52,49.3478,LHERZOLITE
154,44.49,2.12,1.86,50.71698,LHERZOLITE
155,45.28,1.74,1.9180000000000001,50.64,LHERZOLITE
156,44.17,1.74,1.95,51.05312,LHERZOLITE
157,44.97,1.38,1.54,51.16,LHERZOLITE
158,43.76,1.69,1.97,50.06759,LHERZOLITE
159,42.78,1.75,1.8530000000000002,51.37,LHERZOLITE
160,44.23,1.9,1.93,49.747690000000006,LHERZOLITE
161,44.28,1.51,1.96,50.40749,LHERZOLITE
162,42.66,2.44,1.91,50.99981,LHERZOLITE
163,43.91,4.3,1.55,50.38342,LHERZOLITE
164,43.84,2.0,1.96,49.700520000000004,LHERZOLITE
165,43.21,1.2,1.81,52.41151,LHERZOLITE
166,43.25,1.07,1.91,52.36,LHERZOLITE
167,43.56,1.42,1.98,51.2888,LHERZOLITE
168,44.19,1.21,1.57,52.33,HARZBURGITE
169,48.18,0.81,1.57,49.09,LHERZOLITE
170,43.65,1.34,1.58,52.349402000000005,LHERZOLITE
171,46.01,2.5,1.59,47.460809999999995,LHERZOLITE
172,40.66,0.43,1.63,56.96,DUNITE
173,38.54,1.45,1.61,43.08553,HARZBURGITE
174,44.1,1.75,2.01,49.89,LHERZOLITE
175,43.94,1.08,1.61,51.46,HARZBURGITE
176,43.85,1.12,1.61,52.81223000000001,HARZBURGITE
177,43.79,1.34,1.62,52.212920000000004,LHERZOLITE
178,44.68,1.5,2.02,47.28468,LHERZOLITE
179,44.1,1.15,2.55,50.26435,LHERZOLITE
180,43.89,1.58,2.02,51.84,LHERZOLITE
181,41.75,1.26,2.02,53.955780000000004,LHERZOLITE
182,43.75,1.39,1.65,52.36817,LHERZOLITE
183,45.28,2.12,1.65,50.64,LHERZOLITE
184,48.2,2.17,1.65,47.53,LHERZOLITE
185,43.58,2.0,2.02,50.82678,LHERZOLITE
186,46.54,1.65,1.66,49.57,HARZBURGITE
187,43.18,1.64,1.66,53.28,HARZBURGITE
188,43.83,1.61,1.67,51.31,LHERZOLITE
189,45.06,1.51,1.67,50.64433,LHERZOLITE
190,44.48,2.48,1.67,50.59,LHERZOLITE
191,43.65,1.81,2.06,50.48547,LHERZOLITE
192,43.88,1.64,1.68,51.1215,LHERZOLITE
193,43.84,1.64,1.68,51.4984,LHERZOLITE
194,44.48,1.21,2.18,51.1,HARZBURGITE
195,42.57,1.43,1.99,53.04,LHERZOLITE
196,44.1,1.39,1.69,50.96503,LHERZOLITE
197,42.67,2.05,1.69,51.5,LHERZOLITE
198,43.69,1.41,1.69,52.14322,LHERZOLITE
199,45.4,1.93,2.14,49.10776,LHERZOLITE
200,42.52,1.7,1.7,50.91319,LHERZOLITE
201,43.2,1.84,1.7,52.1586,LHERZOLITE
202,45.2,1.65,2.115,50.91,LHERZOLITE
203,44.4,1.57,1.72,50.29999,LHERZOLITE
204,43.75,1.57,1.72,50.81312,LHERZOLITE
205,43.04,0.94,1.73,52.65696,LHERZOLITE
206,44.0,1.39,1.73,51.421409999999995,LHERZOLITE
207,42.69,1.91,2.028,53.12,LHERZOLITE
208,46.05,1.72,1.73,49.98,HARZBURGITE
209,44.65,1.46,1.74,50.135740000000006,LHERZOLITE
210,43.5,1.65,1.74,51.8,LHERZOLITE
211,44.5,0.5,1.75,50.75698,HARZBURGITE
212,42.92,1.67,2.65,50.92476,LHERZOLITE
213,44.2,1.58,1.76,49.37,LHERZOLITE
214,48.14,0.91,1.76,46.99,LHERZOLITE
215,44.78,2.46,1.76,49.10018,LHERZOLITE
216,44.71,1.54,1.76,51.443220000000004,LHERZOLITE
217,43.27,1.77,1.77,50.137170000000005,LHERZOLITE
218,42.56,1.61,1.77,51.82799,HARZBURGITE
219,43.8,1.49,1.77,51.42426,LHERZOLITE
220,44.4,2.49,1.78,49.13473,LHERZOLITE
221,43.6,1.62,1.79,50.208870000000005,LHERZOLITE
222,46.0,2.05,1.79,48.341609999999996,LHERZOLITE
223,42.31,1.78,1.79,53.14,HARZBURGITE
224,43.9,2.41,2.28,50.49425,LHERZOLITE
225,43.06,1.5,2.21,50.511829999999996,LHERZOLITE
226,43.75,1.81,1.8,50.89951,LHERZOLITE
227,45.6,2.5,1.8,48.77375,LHERZOLITE
228,47.96,0.9,1.8,48.73,LHERZOLITE
229,44.46,2.81,1.8,50.6609,LHERZOLITE
230,43.8,1.94,1.8,53.2182,LHERZOLITE
231,44.8,1.59,1.81,50.22424,LHERZOLITE
232,44.68,1.52,1.81,50.15,LHERZOLITE
233,43.89,1.26,1.81,52.42,LHERZOLITE
234,45.06,4.62,1.81,47.79,LHERZOLITE
235,44.71,1.63,2.26,53.1615,HARZBURGITE
236,43.75,2.13,1.82,50.67,LHERZOLITE
237,42.9,2.18,2.19,52.02143,LHERZOLITE
238,45.02,1.53,1.82,50.53,LHERZOLITE
239,44.6,1.85,1.83,49.93373,LHERZOLITE
240,43.87,1.59,1.83,50.88547,LHERZOLITE
241,38.1,0.61,3.2,43.54705,HARZBURGITE
242,43.91,2.52,1.84,50.15,LHERZOLITE
243,43.4,2.28,2.271,49.44433,LHERZOLITE
244,44.2,1.56,1.85,50.32685,LHERZOLITE
245,43.88,2.96,1.85,49.556779999999996,LHERZOLITE
246,53.64,23.43,2.61,20.11,LHERZOLITE
247,42.26,1.98,1.86,53.27,HARZBURGITE
248,43.4,1.61,2.153,52.42,LHERZOLITE
249,56.63,0.67,2.38,40.23,LHERZOLITE
250,43.23,0.76,1.88,47.2587,LHERZOLITE
251,44.78,1.35,1.88,50.49412,LHERZOLITE
252,41.54,1.83,2.14,53.50711,LHERZOLITE
253,43.9,1.0,2.28,50.58668,HARZBURGITE
254,43.4,1.93,2.25,51.4489,LHERZOLITE
255,42.7,0.72,1.9,51.99655,LHERZOLITE
256,43.44,1.84,1.9,50.60412,LHERZOLITE
257,44.17,1.73,1.9,49.903620000000004,LHERZOLITE
258,43.9,1.62,1.9,51.4014,LHERZOLITE
259,42.6,0.78,2.09,53.65526,HARZBURGITE
260,42.8,1.83,1.9,52.79111999999999,LHERZOLITE
261,44.83,1.8,2.25,47.81,LHERZOLITE
262,44.81,1.54,2.29,49.54473,LHERZOLITE
263,44.51,1.22,1.91,50.83443,HARZBURGITE
264,42.48,1.99,1.91,51.99,HARZBURGITE
265,45.75,1.61,1.91,49.25342,LHERZOLITE
266,44.26,0.66,1.92,53.25,HARZBURGITE
267,43.7,1.73,2.34,49.87042,LHERZOLITE
268,43.8,2.25,1.94,49.84483,LHERZOLITE
269,43.98,1.83,2.62,50.60224,LHERZOLITE
270,43.2,1.82,1.94,52.34395,LHERZOLITE
271,42.84,1.96,1.95,50.374629999999996,LHERZOLITE
272,43.44,1.69,2.35,50.05598,LHERZOLITE
273,40.47,1.58,2.28,53.33566999999999,LHERZOLITE
274,44.34,1.56,2.33,49.88,LHERZOLITE
275,44.83,1.89,2.34,49.38,LHERZOLITE
276,44.2,1.81,1.96,50.77,LHERZOLITE
277,42.7,1.55,1.96,53.273230000000005,LHERZOLITE
278,44.56,2.27,1.97,49.7715,LHERZOLITE
279,43.9,1.96,2.43,50.75597,LHERZOLITE
280,43.63,1.39,1.98,51.156279999999995,LHERZOLITE
281,44.15,2.09,1.98,50.26918,LHERZOLITE
282,44.57,0.96,1.98,49.52,LHERZOLITE
283,42.74,1.86,2.358,52.67,HARZBURGITE
284,44.26,2.03,1.99,51.1809,LHERZOLITE
285,43.99,2.85,2.296,50.48,LHERZOLITE
286,43.77,1.75,2.0,51.414372,LHERZOLITE
287,43.4,1.8,2.0,51.83546,LHERZOLITE
288,43.4,1.93,2.35,51.065979999999996,LHERZOLITE
289,43.68,1.6,2.01,51.91708,LHERZOLITE
290,43.99,1.73,2.02,50.74989,LHERZOLITE
291,43.3,2.25,2.03,50.59899,LHERZOLITE
292,43.17,2.53,2.45,49.05153,LHERZOLITE
293,44.69,1.75,2.04,50.66,HARZBURGITE
294,42.62,1.99,2.05,47.30473,LHERZOLITE
295,44.3,2.09,2.05,48.903209999999994,LHERZOLITE
296,43.93,1.95,2.05,51.35999,LHERZOLITE
297,43.94,1.94,2.06,50.810190000000006,LHERZOLITE
298,44.2,1.98,2.46,50.523340000000005,LHERZOLITE
299,43.15,2.93,2.08,48.25322,LHERZOLITE
300,43.69,1.69,2.08,51.1908,LHERZOLITE
301,43.66,0.09,2.63,52.63233,HARZBURGITE
302,43.08,1.43,2.09,51.867259999999995,LHERZOLITE
303,42.45,2.36,2.38,51.03094,LHERZOLITE
304,42.48,2.38,2.86,51.2476,LHERZOLITE
305,43.77,2.03,2.457,49.19464,LHERZOLITE
306,42.0,0.75,2.1,54.616859999999996,HARZBURGITE
307,44.92,2.52,2.1,49.87,LHERZOLITE
308,44.63,2.12,2.5,48.93638,LHERZOLITE
309,45.51,2.24,2.11,48.86,LHERZOLITE
310,44.03,1.57,2.59,50.89425,LHERZOLITE
311,42.71,1.95,2.12,49.82,LHERZOLITE
312,44.39,2.33,2.12,48.73433,LHERZOLITE
313,43.5,1.99,2.13,50.06392,LHERZOLITE
314,44.9,2.59,2.13,48.33928,LHERZOLITE
315,44.42,2.31,2.49,50.820609999999995,LHERZOLITE
316,43.72,2.24,2.63,49.24281,LHERZOLITE
317,45.44,2.0,2.57,50.35,LHERZOLITE
318,32.14,3.18,2.15,49.972229999999996,DUNITE
319,42.78,4.78,2.15,45.71771,HARZBURGITE
320,44.12,1.41,2.15,50.08554,LHERZOLITE
321,44.65,2.26,2.15,48.607659999999996,LHERZOLITE
322,44.12,1.88,2.15,49.9016,LHERZOLITE
323,43.4,1.43,2.15,52.182959999999994,LHERZOLITE
324,43.88,1.94,2.16,48.757090000000005,LHERZOLITE
325,44.3,2.01,2.55,48.990520000000004,LHERZOLITE
326,43.89,2.35,2.16,50.79,LHERZOLITE
327,44.4,2.57,2.17,50.55397,LHERZOLITE
328,44.36,1.85,2.18,49.6217,LHERZOLITE
329,43.97,3.48,2.481,49.69,LHERZOLITE
330,43.71,1.8,2.6,49.50587,LHERZOLITE
331,44.32,1.4,2.62,49.72719,LHERZOLITE
332,44.27,2.02,2.2,50.590090000000004,LHERZOLITE
333,44.03,1.98,2.58,49.18618,LHERZOLITE
334,43.89,2.79,2.21,49.27,LHERZOLITE
335,44.2,2.78,2.22,47.64705,LHERZOLITE
336,44.07,2.1,2.74,49.39,LHERZOLITE
337,44.22,2.81,2.23,49.65,LHERZOLITE
338,43.22,1.77,2.24,51.34809,LHERZOLITE
339,45.4,1.92,2.57,49.82,LHERZOLITE
340,44.7,3.26,2.25,48.04221,LHERZOLITE
341,44.73,1.82,2.25,50.04,LHERZOLITE
342,44.02,1.5,2.77,51.68,LHERZOLITE
343,44.34,2.15,2.69,51.495740000000005,LHERZOLITE
344,43.8,1.81,2.27,48.4809,LHERZOLITE
345,44.43,3.17,2.64,46.852140000000006,LHERZOLITE
346,44.01,2.71,2.27,48.97485,LHERZOLITE
347,43.62,1.81,2.27,50.81231,LHERZOLITE
348,43.46,1.83,2.74,50.57959,LHERZOLITE
349,44.17316953,2.078053659,2.277615346,50.83305446,LHERZOLITE
350,43.84,1.22,2.28,50.32413,LHERZOLITE
351,44.69,1.62,2.28,49.76,LHERZOLITE
352,44.44,1.36,2.7060000000000004,50.66,HARZBURGITE
353,44.4,1.94,2.29,49.38,LHERZOLITE
354,44.92,1.46,2.29,50.31928,HARZBURGITE
355,43.4,1.6,2.71,51.619,LHERZOLITE
356,40.6,2.25,2.3,51.56947,DUNITE
357,44.6,2.02,2.3,49.44142,LHERZOLITE
358,43.84,2.05,2.31,49.644220000000004,LHERZOLITE
359,43.44,2.18,2.57,50.73,LHERZOLITE
360,44.53,1.37,2.742,50.75,LHERZOLITE
361,44.22,1.64,2.74,49.02,LHERZOLITE
362,43.97,2.27,2.34,50.05012,LHERZOLITE
363,42.97,2.2,2.34,50.79373,LHERZOLITE
364,44.15,2.21,2.87,49.46526,LHERZOLITE
