Rock Type,SIO2,CAO,AL2O3,MGO
LHERZOLITE,44.6,2.47,3.97,47.46051
LHERZOLITE,42.89,3.12,3.98,48.4773
LHERZOLITE,44.84,3.2,3.61,47.57756
LHERZOLITE,44.8,4.03,3.96,45.62474
LHERZOLITE,45.13,2.83,3.63,47.12
LHERZOLITE,39.03,3.15,3.65,50.80953
LHERZOLITE,46.74,3.73,3.65,45.18
LHERZOLITE,49.59,16.66,3.66,27.44748
LHERZOLITE,44.5,2.93,4.1,46.8
LHERZOLITE,44.84,3.97,3.66,46.7
LHERZOLITE,44.86,3.95,3.66,46.7
LHERZOLITE,40.84,3.51,3.67,49.1
LHERZOLITE,44.21,3.11,3.67,46.84898
LHERZOLITE,44.94,2.81,3.67,46.30241
LHERZOLITE,44.67,2.97,3.67,46.44962
LHERZOLITE,44.7,2.59,3.67,47.09877
LHERZOLITE,46.34,3.47,4.05,44.16
LHERZOLITE,44.39,3.83,4.09,47.78
LHERZOLITE,44,3.97,3.68,45.86403
LHERZOLITE,45.2,4.4,3.68,44.35494
LHERZOLITE,55.35,0.55,4.14,39.57
LHERZOLITE,46.51,2.6,3.69,45.10173
LHERZOLITE,44.1,3.8,3.69,46.44221
LHERZOLITE,44.99,3.44,3.69,46.45635
LHERZOLITE,44.02,3.06,3.7,47.60002
LHERZOLITE,44.18,3.37,3.98,47.02357
LHERZOLITE,45,3.4,3.7,47.1
LHERZOLITE,45.6,3.1,3.7,47.4
LHERZOLITE,44.2,3.55,3.71,45.28989
LHERZOLITE,44.71,3.12,3.71,46.91
LHERZOLITE,44.24,3.22,4.0799,47.59353
LHERZOLITE,44.15,3.29,3.72,46.67342
LHERZOLITE,44.55,3.31,3.72,46.90837
LHERZOLITE,44.72,3.43,3.72,47.06787
LHERZOLITE,44.49,3.35,4.253,45.6219
LHERZOLITE,44.59,3.03,4.07,46.31
LHERZOLITE,44.61,2.95,4.119,47.21
LHERZOLITE,44.87,2.95,4.116,47.59
LHERZOLITE,43.85,3.12,3.74,46.59
LHERZOLITE,44.87,3.07,3.74,45.96231
LHERZOLITE,44.22,3.18,4.09,48.83
LHERZOLITE,44.7,3.76,3.76,45.47868
LHERZOLITE,44.7,3.04,4.145,46.81
LHERZOLITE,44.54,3.16,3.77,46.60958
LHERZOLITE,44.93,3.6,3.77,46.03536
LHERZOLITE,44.32,4.53,3.78,43.23
LHERZOLITE,44,2.88,4.2,46.2
LHERZOLITE,43.36,3.04,3.78,48.48787
LHERZOLITE,43.73,3.55,3.79,45.31234
LHERZOLITE,43.09,3.37,3.8,46.71363
LHERZOLITE,45.07,3.27,3.81,46.7
LHERZOLITE,55.15,0.51,4.19,40.26
LHERZOLITE,44,3.7,3.82,46.29322
LHERZOLITE,44.01,3.36,3.82,47.09624
LHERZOLITE,44.75,3.18,3.82,47.55
LHERZOLITE,44,2.85,3.83,46.90021
LHERZOLITE,54.13,0.51,4.19,39.36
LHERZOLITE,43.3,3.42,3.84,43.74234
LHERZOLITE,44.48,3.2,3.84,46.50302
LHERZOLITE,44.64,2.88,4.227,47.47
LHERZOLITE,45.73,2.98,3.84,46.55
LHERZOLITE,43.8,4.22,3.85,45.69999
LHERZOLITE,47.21,3.01,3.85,44.66644
LHERZOLITE,44.83,3.29,4.246,46.79
LHERZOLITE,45.66,3.23,3.85,46.69
LHERZOLITE,44.73,3.29,4.32,45.98
LHERZOLITE,44.95,3.37,3.86,46.25474
LHERZOLITE,44.83,3.71,4.19,47.29
LHERZOLITE,45.62,3.28,3.87,45.52153
LHERZOLITE,44.94,3.49,3.87,47.37
LHERZOLITE,43.95,3.04,4.26,47.25
LHERZOLITE,44.6,2.84,3.89,46.65948
LHERZOLITE,45.7,4.29,4.37,44.9
LHERZOLITE,45.02,3.22,4.32,47.74
LHERZOLITE,45.92,3.24,4.29,44.61
LHERZOLITE,45.74,4.67,3.9,44.61
LHERZOLITE,45.3,3.1,3.9,47.5
LHERZOLITE,47.21,3.02,3.91,42.78058
LHERZOLITE,45.4,3.38,4.36,45.12
LHERZOLITE,44.84,3.45,4.31,46.73
LHERZOLITE,45.72,3.52,4.3,46.42
LHERZOLITE,45.48,4.49,4.28,47.52221
LHERZOLITE,48.93,3.7,3.92,40.66821
LHERZOLITE,44.2,4.04,3.92,45.4203
LHERZOLITE,45.11,3.33,3.92,46.15898
LHERZOLITE,45.1,2.66,4.23,46.999
LHERZOLITE,44.99,3.6,4.27,46.04
LHERZOLITE,45.07,3.55,4.27,46.34
LHERZOLITE,43.95,3,4.32,46.96
LHERZOLITE,45.2,3.08,3.96,45.51453
LHERZOLITE,45.54,3.35,4.378,46.3
LHERZOLITE,45.5,3.33,4.374,46.43
LHERZOLITE,44.2,2.79,3.97,45.91708
LHERZOLITE,46.02,3.88,3.97,45.20059
LHERZOLITE,44.95,3.74,3.97,47.17
LHERZOLITE,45.14,3.62,4.31,46.16
LHERZOLITE,45.8,3.76,3.99,43.8415
LHERZOLITE,47.78,4.48,4.12,40.908
LHERZOLITE,54.42,0.5,4.33,39.67
LHERZOLITE,45.15,4.28,3.99,45.83
LHERZOLITE,44.6,4.01,4.37,45.22
LHERZOLITE,44.6,3.7,4,46.5
LHERZOLITE,44.46,2.8,4.33,47.12496
LHERZOLITE,44.8,3.3,4,46.9
LHERZOLITE,45.2,3.3,4,46.5
LHERZOLITE,45.07,3.26,4.01,45.71648
LHERZOLITE,44.4,3.29,4.01,46.66608
LHERZOLITE,45.25,3.55,4.02,45.4206
LHERZOLITE,44.25,3.35,4.41,46.6
LHERZOLITE,44.13,2.76,4.06,45.63739
LHERZOLITE,45.07,3.68,4.06,45.10382
LHERZOLITE,42.93,7.88,4.22,42.80669
LHERZOLITE,45.45,3.53,4.464,45.56
LHERZOLITE,43.98,4.05,4.1,44.01527
LHERZOLITE,44.6,3.42,4.49,46.6
LHERZOLITE,46.01,4.03,4.1,45.41
LHERZOLITE,45.18,3.26,4.12,45.02352
LHERZOLITE,45.46,3.32,4.55,47.13
LHERZOLITE,44.72,3.34,4.14,45.681
LHERZOLITE,43.8,3.63,4.14,46.29788
LHERZOLITE,53.39,2.09,4.14,38.33
LHERZOLITE,45.03,2.96,4.53,46.76
LHERZOLITE,43.87,2.92,4.56,46.47536
LHERZOLITE,52.1,22.96,5.17,18.94
LHERZOLITE,40.53,3.49,4.18,46.97
LHERZOLITE,42.71,6.13,4.18,43.71
LHERZOLITE,46.33,3.4,4.18,44.2408
LHERZOLITE,45.38,3.71,4.52,45.3605
LHERZOLITE,41.96,3.33,4.49,46.03598
LHERZOLITE,44.65,3.99,4.22,44.95827
LHERZOLITE,43.3,4.92,4.26,43.28234
LHERZOLITE,45.04,3.59,4.26,45.29595
LHERZOLITE,55.08,0.49,4.54,39.97
LHERZOLITE,45.26,2.84,4.665,46.82
LHERZOLITE,46.15,4.05,4.64,43.75
LHERZOLITE,44.7,3.27,4.31,45.64372
LHERZOLITE,44.15,3,4.74,46.42
LHERZOLITE,44.18,3.46,4.4,45.31719
LHERZOLITE,45.19,3.49,4.803,45.81
LHERZOLITE,44.7,4.14,4.85,44.84849
LHERZOLITE,43.42,3.04,4.985,47.77
LHERZOLITE,48.2,6.39,4.46,40.14785
LHERZOLITE,45.63,4.18,4.98,44.67223
LHERZOLITE,52.74,3.35,4.49,38.24
LHERZOLITE,44.56,3.87,4.53,45.32453
LHERZOLITE,44.96,3.64,5.06,43.55634
LHERZOLITE,45.37,3.53,4.988,45.45
LHERZOLITE,45.14,3.66,4.95,45.7282
LHERZOLITE,44.11,3.14,4.66,45.25595
LHERZOLITE,46.79,2.45,4.66,45.30688
LHERZOLITE,45.3,4.1,4.7,44.7
LHERZOLITE,47.97,3.84,4.72,40.49376
LHERZOLITE,48.05,2.68,4.74,44.11991
LHERZOLITE,45.53,3.43,5.171,45.21
LHERZOLITE,44.69,3.77,5.15,44.38483
LHERZOLITE,44.55,3.7,5.19,45.2
LHERZOLITE,51.41,22.22,5.7,18.21
LHERZOLITE,51.38,21.96,5.56,18.55
LHERZOLITE,48.02,2.97,5.13,42.24406
LHERZOLITE,43.68,4.74,5.547,45.37
LHERZOLITE,45.3,4.33,5.25,43.5085
LHERZOLITE,43.86,1.92,4.92,47.29455
LHERZOLITE,44.21,6.62,5.39,42.00497
LHERZOLITE,51.81,14.16,4.96,26.42
LHERZOLITE,47.7,4.04,4.99,41.66
LHERZOLITE,52.09,22.07,6.21,18.15
LHERZOLITE,51.32,2.42,5.17,38.46231
LHERZOLITE,49.76,1.94,5.65,40.3477
LHERZOLITE,45.8,5.34,5.76,41.52
LHERZOLITE,41.44,2.96,5.4,46.25306
LHERZOLITE,46,4.9,5.46,42
LHERZOLITE,52.06,20.78,5.73,17.68
LHERZOLITE,52.41,5.43,5.58,34.77
LHERZOLITE,43.42,2.84,6.86,45.67356
LHERZOLITE,42.65,3.47,5.98,43.46709
LHERZOLITE,51.85,20.78,6.99,17.63
LHERZOLITE,41.02,3.43,6.33,47.36322
LHERZOLITE,44.6,3.34,7.36,43.73
LHERZOLITE,51.55,20.94,7.3,17.87
LHERZOLITE,41.44,4.45,6.75,44.69972
LHERZOLITE,48.09,10.53,7.02,31.3981
LHERZOLITE,48.67,15.25,7.55,25.31
LHERZOLITE,44.25,8.14,7.88,35.54356
LHERZOLITE,44.82,8.12,8.41,36.30093
LHERZOLITE,48.93,8.98,8.69,31.05144
LHERZOLITE,38.77,11.03,9.31,28.695
LHERZOLITE,41.33,9.01,10.84,24.79267
LHERZOLITE,41.85,8.57,11.01,25.0351
LHERZOLITE,44.5,9.03,11.22,22.95426
LHERZOLITE,42.56,8.72,11.28,24.4362
LHERZOLITE,43.49,8.6,11.88,23.67417
LHERZOLITE,44.34,10.53,12.04,19.70166
LHERZOLITE,44.34,10.53,12.04,19.70166
LHERZOLITE,44.11,9.64,12.55,21.59306
LHERZOLITE,43.78,8.92,14.06,22.33094
LHERZOLITE,43.31,9.15,14.17,21.56186
LHERZOLITE,46.1,8.18,14.42,20.06
LHERZOLITE,38.2,0.05,0.38,47.59
LHERZOLITE,44.46,0.122,1.26,53.75
LHERZOLITE,37.9,0.15,2.34,43.5
LHERZOLITE,38.55,0.37,2.5,44.13977
LHERZOLITE,40.22,0.44,3.52,41.18138
LHERZOLITE,40.52,0.45,3.64,41.07037
LHERZOLITE,37.62,0.5,2.11,44.13955
LHERZOLITE,44.4,0.557,1.256,53.512
LHERZOLITE,39,0.64,0.87,46.60665
LHERZOLITE,41.6,0.82,1.33,42.03987
LHERZOLITE,39.8,0.84,0.87,48.52463
LHERZOLITE,39.9,0.91,0.83,49.21342
LHERZOLITE,45.36,1.08,1.68,50.27366
LHERZOLITE,45.91,1.457,0.686,51.732
LHERZOLITE,45.13,1.553,1.751,51.2
LHERZOLITE,40.1,1.82,4.2,43.43328
LHERZOLITE,41.75,1.83,3.58,42.53145
LHERZOLITE,42.36,2.24,3.75,44.53945
LHERZOLITE,40.42,2.33,1.8,42.93137
LHERZOLITE,38.6,2.37,4.12,52.1204
LHERZOLITE,39.65,2.53,2.78,41.38732
LHERZOLITE,39.62,2.55,2.81,41.36833
LHERZOLITE,45.09,2.8,2.68,47.03578
LHERZOLITE,40.34,2.88,1.62,42.49884
LHERZOLITE,46.2,3.02,3.82,45.2074
LHERZOLITE,44.16,3.03,3.66,47.55022
LHERZOLITE,45.1,3.04,4.22,46.1383
LHERZOLITE,46.06,3.113,2.848,47.778
LHERZOLITE,44.87,3.16,3.74,46.61214
LHERZOLITE,42.66,3.19,1.8,49.78042
LHERZOLITE,45.01,3.21,4.12,46.19315
LHERZOLITE,45.07,3.26,4.01,45.71648
LHERZOLITE,39.6,3.26,2.87,42.34873
LHERZOLITE,45.62,3.28,3.87,45.52153
LHERZOLITE,44.4,3.29,4.03,46.66608
LHERZOLITE,40,3.3,3.9,38.80134
LHERZOLITE,44.78,3.35,4.21,45.92083
LHERZOLITE,44.43,3.39,4.09,46.13285
LHERZOLITE,44.25,3.4,3.56,46.7176
LHERZOLITE,44.92,3.47,4.29,45.48992
LHERZOLITE,40,3.5,5.27,38.207
LHERZOLITE,44.73,3.51,4.31,45.45538
LHERZOLITE,44.2,3.6,2.4,41.11354
LHERZOLITE,38.29,3.75,2.74,41.75035
LHERZOLITE,44.82,3.86,4.25,45.2778
LHERZOLITE,43.87,4.3,3.14,47.82167
LHERZOLITE,40.9,4.42,2.48,43.56377
LHERZOLITE,44.15,5.5,3.59,41.5084
LHERZOLITE,44.15,5.5,3.59,41.5084
LHERZOLITE,48.58,5.52,6.88,36.94881
LHERZOLITE,43.5,6.88,4.61,36.14
LHERZOLITE,48.09,10.53,7.02,31.3981
WEHRLITE,4.582,13.9,17.61,1.544
WEHRLITE,4.841,12.62,22.55,1.197
WEHRLITE,4.617,9.63,13.05,2.247063
WEHRLITE,4.729,16.07,18.54,1.466
WEHRLITE,4.4,12.28,11.92,2.580175
WEHRLITE,4.398,10.31,11.76,2.593751
WEHRLITE,4.32,9.27,8,3.111206
WEHRLITE,5.069,17.97,4.95,2.345945
WEHRLITE,4.709,11.83,6.52,3.153285
WEHRLITE,4.532,10.38,6.44,3.509719
WEHRLITE,5.021,17.7,1.77,2.733415
WEHRLITE,4.253,7.23,7.44,3.4654
WEHRLITE,4.902,16.59,2.33,2.883496
WEHRLITE,4.68,13.71,5.92,3.245
WEHRLITE,4.259,7.76,4.16,4.380092
WEHRLITE,4.232,10.28,5.99,3.484142
WEHRLITE,4.347,8.67,4.04,4.058437
WEHRLITE,4.062,6.05,5.44,3.788227
WEHRLITE,4.45,10.45,4.83,3.779237
WEHRLITE,4.17,7.5,3.98,3.70698
WEHRLITE,4.45,8.87,3.57,3.966163
WEHRLITE,4.227,5.81,5.07,4.402054
WEHRLITE,4.364,9.06,3.79,4.035436
WEHRLITE,3.844,3.46,4.58,4.306621
WEHRLITE,4.261,10.39,1.34,4.01001
WEHRLITE,4.542,7.54,2.89,4.32684
WEHRLITE,4.054,6,3.32,4.80975
WEHRLITE,4.715,9.85,1.62,3.997163
WEHRLITE,4.296,6.12,6.55,4.394932
WEHRLITE,4.12,5.73,3.75,4.55557
WEHRLITE,4.261,7.99,6.696,4.041776
WEHRLITE,4.256,7.14,2.99,4.655
WEHRLITE,4.19,7.29,1.94,4.552407
WEHRLITE,4.13,5.05,2.29,4.759277
WEHRLITE,4.17,5.22,2.55,4.944355
WEHRLITE,4.259,6.51,3.93,4.617
WEHRLITE,3.984,2.71,2.98,5.270604
WEHRLITE,4.236,4.57,3.14,4.864
WEHRLITE,4.093,4.93,1.83,4.9566
WEHRLITE,4.1,4,3,4.9
WEHRLITE,4.105,4.23,2.669,4.893891
WEHRLITE,4.357,6.59,1.19,4.822
WEHRLITE,4.444,4,3.13,4.66
WEHRLITE,4.035,3.78,5.79,4.895617
WEHRLITE,4.232,4.15,1.26,5.012033
WEHRLITE,4.048,2.12,3.16,5.306053
WEHRLITE,4.216,4.03,1.9,4.992022
WEHRLITE,4.134,2.82,1.12,5.300354
WEHRLITE,4.196,4.34,0.42,5.25679
WEHRLITE,4.225,3.2,1.99,5.043304
WEHRLITE,3.848,1.15,1.54,5.54896
WEHRLITE,4.266,3.19,1.8,4.978042
WEHRLITE,4.149,2.96,1.33,5.234012
WEHRLITE,4.269,3.38,2.36,5.062
WEHRLITE,4.27,2.82,1.97,5.062668
WEHRLITE,4.214,2.59,2.02,5.101
WEHRLITE,4.254,2.82,0.86,5.078
WEHRLITE,4.28,3.4,0.46,5.23
WEHRLITE,4.247,3.09,1.48,5.114019
WEHRLITE,4.139,4.54,1.29,5.1155254
WEHRLITE,4.126,4.58,1.34,5.1265234
WEHRLITE,3.975,1.36,4.39,5.273597
WEHRLITE,3.838,1.31,2.57,5.609812
WEHRLITE,4.339,2.34,0.96,5.193
WEHRLITE,4.208,2.44,1.22,5.369
WEHRLITE,4.201,2.15,1.02,5.348
WEHRLITE,4.403,1.84,0.91,5.196
WEHRLITE,4.144,3.03,2.22,5.1677298
WEHRLITE,4.005,1.78,1.1,5.465
WEHRLITE,4.109,2.98,0.61,5.277
WEHRLITE,4.053,1.7,2.75,5.261021
WEHRLITE,4.15,2.49,0.72,5.468
WEHRLITE,4.175,1.72,1.03,5.398132
WEHRLITE,3.987,0.37,0.65,5.887
WEHRLITE,4.135,1.36,0.17,5.672
WEHRLITE,3.8,1.7,0.63,5.03466
WEHRLITE,3.94,4.5,2.2,4.86981
WEHRLITE,3.806,3.51,5.16,4.003848
WEHRLITE,3.9,2.34,0.16,5.22183
WEHRLITE,3.7,1.39,0.92,5.04082
WEHRLITE,3.92,4.17,0.61,4.783606
WEHRLITE,4,7,2.1,4.23102
WEHRLITE,4.65,15.9,18.3,1.704139
WEHRLITE,3.96,0.59,0.72,5.68678
WEHRLITE,4.61,13.1,2.3,3.36677
WEHRLITE,4.08,3.44,1.56,4.7388
WEHRLITE,4.14,6.9,1.6,4.37193
WEHRLITE,4.74,14.9,17.6,1.68778
WEHRLITE,3.9,1.17,0.88,5.20183
WEHRLITE,3.79,0.19,0.21,4.77385
WEHRLITE,4.73,17.2,6.6,2.65203
WEHRLITE,4.53,9.4,9.6,3.1788
WEHRLITE,4.81,15.1,3.9,3.02728
WEHRLITE,4.36,0.69,0.82,5.35011
WEHRLITE,4.3,7.98,0.8,4.294
WEHRLITE,4.2,9.72,3.13,3.61193
WEHRLITE,4.6,11.5,2.6,3.55283
WEHRLITE,3.7,4.8,1.9,4.52385
WEHRLITE,4.21,4.72,0.39,4.756
WEHRLITE,5.17,19.8,1.13,2.563
WEHRLITE,4.3,14,11.8,2.517857
WEHRLITE,3.9,4.52,0.62,4.641808
WEHRLITE,4.2,8.4,3.3,4.31698
WEHRLITE,4.44,9.74,2.83,3.85678
WEHRLITE,3.62,2.7,3.59,4.57678
WEHRLITE,4.04,3.76,3.65,4.5782
WEHRLITE,3.7,6.36,8.26,3.84143
WEHRLITE,4.28,8.1,5.18,3.86274
WEHRLITE,3.73,2.81,0.41,4.82092
WEHRLITE,3.98,2.82,0.41,5.20375
WEHRLITE,4.34,18.1,17.7,1.535592
WEHRLITE,4.34,6.85,4.27,3.79
WEHRLITE,3.99,7.25,3.68,3.85991
WEHRLITE,4.08,5.3,2.78,3.622
WEHRLITE,4.182,8.5,3.15,4.198454
WEHRLITE,4.05,2.6,0.35,5.22
WEHRLITE,4.32,11.4,4.38,3.50496
WEHRLITE,3.85,1.32,1.08,5.48365
WEHRLITE,3.82,1.84,1.05,4.97072
WEHRLITE,4.16,5.8,4.92,3.78
WEHRLITE,4.27,6.54,0.48,4.576
HARZBURGITE,35.9,0.31,0.53,46.06058
HARZBURGITE,38.09,0.13,0.28,49.93624
HARZBURGITE,37.58,0.46,0.53,46.13876
HARZBURGITE,36.46,0.22,0.4,47.11129
HARZBURGITE,37.78,0.54,0.55,46.08886
HARZBURGITE,35.35,0.07,0.5,45.63179
HARZBURGITE,36.01,0.66,0.68,46.21836
HARZBURGITE,39.21,1.66,0.8,44.81563
HARZBURGITE,36.81,0.33,0.4,48.2425
HARZBURGITE,35.45,0.36,0.5,48.03553
HARZBURGITE,33.64,0.07,0.44,46.45896
HARZBURGITE,35.12,0.08,0.45,46.36977
HARZBURGITE,37.09,0.58,0.87,45.86492
HARZBURGITE,36.49,0.5,0.65,45.433
HARZBURGITE,35.53,0.35,0.44,45.67593
HARZBURGITE,36.84,0.63,0.7,46.98513
HARZBURGITE,36.37,0.29,0.56,45.74502
HARZBURGITE,37.57,0.55,1.03,46.55028
HARZBURGITE,38.62,0.79,0.93,47.01523
HARZBURGITE,38.56,0.86,0.91,46.1422
HARZBURGITE,40.2,0.35,0.65,49.30664
HARZBURGITE,36.97,0.41,0.8,45.07846
HARZBURGITE,39.61,0.8,0.98,48.24089
HARZBURGITE,37.57,0.55,0.82,46.01351
HARZBURGITE,38.42,0.79,0.91,45.73755
HARZBURGITE,38.7,0.62,0.96,45.96462
HARZBURGITE,32.18,0.32,0.58,47.67685
HARZBURGITE,37.46,0.03,1.09,46.21614
HARZBURGITE,34.61,0.08,1.05,46.402
HARZBURGITE,40.93,0.74,1.46,43.33179
HARZBURGITE,38.35,0.53,0.86,46.91331
HARZBURGITE,38.92,0.58,1,44.33987
HARZBURGITE,29.39,0.14,0.98,49.34696
HARZBURGITE,38.61,0.23,0.59,48.55553
HARZBURGITE,38.08,0.81,1.31,43.94765
HARZBURGITE,43.28,0.53,1.2,54.66
HARZBURGITE,41.39,0.62,0.81,55.37777
HARZBURGITE,45.1,0.74,0.76,50.73
HARZBURGITE,29.13,0.16,0.86,49.57575
HARZBURGITE,46.61,1.03,1.67,50.32
HARZBURGITE,46.59,0.99,1.755,49.7
HARZBURGITE,43.55,0.68,0.98,53.81716
HARZBURGITE,35.26,0.33,0.82,46.89742
HARZBURGITE,38.17,0.07,1.1,42.64027
HARZBURGITE,34.14,0.02,1.26,47.10534
HARZBURGITE,38.19,0,1.29,44.24964
HARZBURGITE,43.19,0.76,2.51,51.88022
HARZBURGITE,43.81,0.57,1.165,54.41
HARZBURGITE,43.39,0.54,0.766,54.24
HARZBURGITE,43.63,0.55,0.768,54.37
HARZBURGITE,45.25,0.9,1.234,51.8
HARZBURGITE,43.8,0.83,0.794,53.99
HARZBURGITE,43.75,0.71,0.891,53.92
HARZBURGITE,43.51,0.55,1.07,54.27
HARZBURGITE,43.35,0.58,0.952,54.39
HARZBURGITE,44.24,0.87,1.024,52.92
HARZBURGITE,44.12,0.89,0.975,53.5
HARZBURGITE,43.65,0.53,0.91,54.34
HARZBURGITE,43.97,0.73,1.003,53.75
HARZBURGITE,44.21,1.28,1.098,52.8
HARZBURGITE,43.65,0.71,0.892,53.67
HARZBURGITE,44.91,0.86,1.043,52.58
HARZBURGITE,44.55,0.84,1.405,52.39
HARZBURGITE,44.85,0.91,1.473,52.24
HARZBURGITE,43.85,0.64,0.982,54.02
HARZBURGITE,43.67,0.6,0.902,54.21
HARZBURGITE,43.76,0.73,1.197,53.65
HARZBURGITE,43.14,1.14,0.434,54.99
HARZBURGITE,43.55,0.63,1.221,54.28
HARZBURGITE,43.24,1.14,0.438,55.1
HARZBURGITE,46.26,0.72,1.902,50.21
HARZBURGITE,42.36,0.64,1.44,53.25436
HARZBURGITE,45.16,1.04,1.499,51.73
HARZBURGITE,42.65,0.27,0.242,55.98
HARZBURGITE,42.12,0.83,1.865,54.26
HARZBURGITE,43.21,0.59,1.311,54.45
HARZBURGITE,44.06,1.23,1.62,51.63352
HARZBURGITE,44.58,0.94,1.236,52.69
HARZBURGITE,42.55,0.68,0.65,53.65151
HARZBURGITE,43.32,0.54,0.92,54.83
HARZBURGITE,42.92,0.6,0.92,54.22807
HARZBURGITE,43.56,0.72,1,52.76928
HARZBURGITE,43.87,1.06,0.795,54.08
HARZBURGITE,43.9,1.1,1.81,52.58
HARZBURGITE,44.32,0.5,1.18,53.08
HARZBURGITE,44.06,0.85,1.46,52.31968
HARZBURGITE,43.32,0.37,0.94,54.37
HARZBURGITE,42.33,0.9,2.05,53.33586
HARZBURGITE,35.69,3.52,0.07,41.96623
HARZBURGITE,42.86,0.71,0.83980782,54.62305637
HARZBURGITE,42.31,0.36,1.13,56.29
HARZBURGITE,43.29,0.84,0.980131333,53.74598688
HARZBURGITE,43.19,0.32,1.006,54.82
HARZBURGITE,43.18,1.05,0.894,54.35
HARZBURGITE,43.41,0.6,1.42,54.3
HARZBURGITE,42.85,1.37,1.97,51.91143
HARZBURGITE,44.85,1.08,1.643,52.17
HARZBURGITE,43.19,1.27,1.867,53.38
HARZBURGITE,44.4,7.27,6.86,38.84304
HARZBURGITE,44.17,1.26,1.892,52.1
HARZBURGITE,43.45,0.89,0.804,54.54
HARZBURGITE,44.03,1.53,1.98,52.14
HARZBURGITE,43.64,0.75,1.44,53.78
HARZBURGITE,44.4,0.52,1.31,52.51524
HARZBURGITE,42.79,0.81,1.006170329,54.04647514
HARZBURGITE,42.59,0.92,1.08,52.87809
HARZBURGITE,44.04,0.02,1.1,54.00425
HARZBURGITE,43.31,0.92,2.02,53.09
HARZBURGITE,41.99,0.02,1.13,56.79
HARZBURGITE,43.44,0.03,1.21,55.14
HARZBURGITE,43.27,0.17,0.87,55.75
HARZBURGITE,44.47,0.06,1.8,53.98
HARZBURGITE,45.48,0.1,2.56,52.1
HARZBURGITE,45.01,1.07,1.38,52.62
HARZBURGITE,44.46,0.94,0.876,53.39
HARZBURGITE,42.45,1.35,1.96,51.63749
HARZBURGITE,43.8,0.65,1.58,52.95324
HARZBURGITE,43.49,0.79,1.39,52.08567
HARZBURGITE,37.76,0.69,0.85,46.65856
HARZBURGITE,43.19,0.51,1.07,54.14
HARZBURGITE,43.4,0.56,1.6,53.43
HARZBURGITE,43.62,0.04,1.31,54.95
HARZBURGITE,44.02,0.72,1.15,53.54
HARZBURGITE,43.82,0.05,1.05,55.9
HARZBURGITE,42.92,0.06,1.72,55.35
HARZBURGITE,48.2,0.65,2.13,47.8
HARZBURGITE,43.3,0.74,1.1,53.18
HARZBURGITE,43.63,0.03,1.05,54.95
HARZBURGITE,42.36,0.11,2.32,55.2
HARZBURGITE,43.29,0.78,1.45,52.17
HARZBURGITE,42.99,0.84,1.64,54.21
HARZBURGITE,42.1,0.19,1.95,55.53
HARZBURGITE,47.44,0.32,1.56,50.22
HARZBURGITE,45.21,1.15,1.95,51.24
HARZBURGITE,42.68,1.48,2.63,52.87
HARZBURGITE,44.39,1,1.97,50.99
HARZBURGITE,43.2,1.05,1.41,52.83334
HARZBURGITE,43.06,0.72,1.24,53.49
HARZBURGITE,43.57,0.7,1.28,53.78
HARZBURGITE,43.81,0.96,1.52,53.42
HARZBURGITE,43.61,0.88,1.51,52.08921
HARZBURGITE,43.96,1.01,1.12,53.5
HARZBURGITE,44.63,0.93,1.47,52.41
HARZBURGITE,43.45,1.02,1.17,53.52
HARZBURGITE,42.5,1.05,0.79,54.44234
HARZBURGITE,42.69,0.57,1.33,54.0794
HARZBURGITE,44.1,0.73,1.97,52.3
HARZBURGITE,44.5,0.75,1.18,53.3
HARZBURGITE,43.76,0.65,1.13,53.88
HARZBURGITE,44.32,1.05,1.53,52.51
HARZBURGITE,43.5,1.04,1.08,53.16
HARZBURGITE,43.72,0.72,0.96,53.36
HARZBURGITE,44.03,1.12,1.34,52.81
HARZBURGITE,44.09,0.96,1.21,53.26
HARZBURGITE,43.1,0.7,1.11,54.01405
HARZBURGITE,44.28,1.01,1.51,52.35
HARZBURGITE,44.5,1.2,1.64,50.71244
HARZBURGITE,44.26,1.07,1.39,52.55
HARZBURGITE,43.32,4.08,2.55,46.55
HARZBURGITE,43.78,0.5,1.11388548,55.03326294
HARZBURGITE,44,1.02,1.58,52.70799
HARZBURGITE,42.07,3.5,2.04,45.1
HARZBURGITE,44.28,1.07,1.3,52.72
HARZBURGITE,43.85,0.81,1.19,53.63
HARZBURGITE,43.91,1,1.29,52.78
HARZBURGITE,42.03,2.06,1.67,51.18062
HARZBURGITE,42.83,2.71,2.97,48.9
HARZBURGITE,38.9,1.2,2.83,42.4951
HARZBURGITE,39.56,1.2,1.9,43.3127
HARZBURGITE,43.85,3.01,0.75,45.01
HARZBURGITE,39.77,0.41,3.14,42.76016
HARZBURGITE,39.82,2.6,2.62,41.13831
HARZBURGITE,39.26,0.58,1.67,43.97905
HARZBURGITE,40.1,1.23,0.69,47.45
HARZBURGITE,39.94,2.04,2.48,42.35974
HARZBURGITE,38.13,0.18,2.06,43.48664
HARZBURGITE,38.17,0.07,0.74,42.64027
HARZBURGITE,37.9,0.35,2.22,43.78199
HARZBURGITE,38.52,0.6,1.02,43.79753
HARZBURGITE,40.93,0.74,1.09,43.33179
HARZBURGITE,39.54,1.24,0.72,47.49
HARZBURGITE,37.84,1.5,1.43,44.88188
