Rock Type,TiO2,Al2O3,FeO,MnO,CaO
PERIDOTITE,0.68,22.28,7.76,0.24,4.97
PERIDOTITE,0.75,22.32,8.35,0.24,4.95
PERIDOTITE,0.77,22.34,8.05,0.33,4.87
PERIDOTITE,0.73,22.37,8.26,0.29,4.89
PERIDOTITE,0.69,22.38,8.09,0.23,4.84
PERIDOTITE,0.75,22.44,8.18,0.26,4.93
PERIDOTITE,0.69,22.53,7.87,0.29,4.95
PERIDOTITE,0.78,22.53,8.52,0.29,5.0
PERIDOTITE,0.2,22.57,7.64,0.43,5.08
PERIDOTITE,0.8,22.63,8.56,0.29,4.9
PERIDOTITE,0.08,20.34,5.63,0.25,5.7
PERIDOTITE,0.11,20.36,8.45,0.4,6.03
PERIDOTITE,0.1,20.96,7.68,0.44,5.47
PERIDOTITE,0.04,21.57,7.34,0.39,4.94
PERIDOTITE,1.04,21.8,9.02,0.31,4.99
PERIDOTITE,0.97,21.82,8.44,0.29,4.95
PERIDOTITE,0.72,22.07,7.61,0.36,5.14
PERIDOTITE,0.21,21.12,7.55,0.39,5.05
PERIDOTITE,0.02,21.31,6.42,0.33,2.6
PERIDOTITE,0.03,21.34,7.19,0.44,4.45
PERIDOTITE,0.71,21.73,7.56,0.17,4.99
PERIDOTITE,1.27,21.92,10.09,0.31,5.04
PERIDOTITE,1.07,22.05,9.18,0.3,5.08
PERIDOTITE,0.73,22.06,8.57,0.3,4.98
PERIDOTITE,0.85,22.07,7.97,0.3,5.01
PERIDOTITE,0.81,22.08,8.07,0.23,5.02
PERIDOTITE,0.73,22.13,8.29,0.2,4.97
PERIDOTITE,0.72,22.58,7.93,0.22,4.76
PERIDOTITE,0.65,22.7,8.04,0.21,4.99
PERIDOTITE,0.72,21.39,7.46,0.25,5.16
PERIDOTITE,0.75,21.5,7.31,0.24,5.14
PERIDOTITE,0.78,21.95,8.25,0.21,4.94
PERIDOTITE,0.68,22.23,8.12,0.26,4.78
PERIDOTITE,0.85,22.24,8.19,0.31,4.88
PERIDOTITE,0.7,22.29,7.85,0.21,4.9
PERIDOTITE,1.04,20.33,6.92,0.26,5.71
PERIDOTITE,0.66,21.41,6.52,0.16,4.94
PERIDOTITE,0.71,22.04,7.56,0.3,5.0
PERIDOTITE,0.9,22.18,9.04,0.29,4.92
PERIDOTITE,0.76,22.4,8.33,0.25,4.82
PERIDOTITE,1.08,21.99,9.46,0.32,5.04
PERIDOTITE,0.73,22.05,8.19,0.23,4.94
PERIDOTITE,0.69,22.09,8.07,0.26,4.95
PERIDOTITE,0.68,22.31,8.36,0.21,4.88
PERIDOTITE,0.93,22.32,9.15,0.31,4.42
PERIDOTITE,0.72,22.51,8.34,0.3,4.91
PERIDOTITE,0.92,22.52,9.76,0.28,4.54
PERIDOTITE,0.68,22.7,8.36,0.13,4.75
PERIDOTITE,0.9,19.34,5.9,0.24,5.61
PERIDOTITE,0.35,19.65,6.14,0.34,4.76
PERIDOTITE,0.99,22.55,9.43,0.25,4.91
PERIDOTITE,0.84,22.64,8.98,0.25,4.74
PERIDOTITE,0.93,22.65,9.24,0.25,4.85
PERIDOTITE,0.14,20.03,5.42,0.21,4.34
PERIDOTITE,0.1,20.04,5.79,0.21,5.39
PERIDOTITE,0.73,21.94,7.61,0.29,4.93
PERIDOTITE,0.64,22.43,8.02,0.2,4.79
PERIDOTITE,0.24,18.38,5.72,0.21,4.34
PERIDOTITE,0.63,20.5,5.78,0.22,4.95
PERIDOTITE,0.24,18.87,6.67,0.21,4.48
PERIDOTITE,0.73,21.52,7.0,0.2,5.01
PERIDOTITE,0.36,21.97,6.61,0.22,4.85
PERIDOTITE,0.97,22.24,7.92,0.26,4.9
PERIDOTITE,0.74,22.34,8.48,0.26,4.83
PERIDOTITE,0.56,17.36,7.24,0.42,7.1
PERIDOTITE,0.1,17.38,6.01,0.28,6.45
PERIDOTITE,0.12,19.27,5.62,0.22,5.21
PERIDOTITE,0.58,21.75,6.97,0.22,4.87
PERIDOTITE,1.15,22.02,11.13,0.37,5.11
PERIDOTITE,0.86,22.56,9.29,0.27,4.85
PERIDOTITE,1.03,22.56,9.4,0.25,5.08
PERIDOTITE,0.91,22.61,9.02,0.26,4.86
PERIDOTITE,0.77,22.62,9.24,0.27,4.87
PERIDOTITE,0.77,22.77,9.44,0.31,4.75
PERIDOTITE,1.06,22.34,9.27,0.31,4.91
PERIDOTITE,0.87,22.46,9.18,0.25,4.7
PERIDOTITE,1.05,22.68,10.77,0.32,4.76
PERIDOTITE,0.95,22.09,9.29,0.28,4.86
PERIDOTITE,1.03,22.25,8.69,0.3,5.06
PERIDOTITE,1.06,21.9,8.85,0.23,4.91
PERIDOTITE,1.12,21.17,9.21,0.28,4.98
PERIDOTITE,1.12,21.17,9.21,0.28,4.98
PERIDOTITE,0.05,18.18,6.86,0.29,4.63
PERIDOTITE,0.9,18.74,5.65,0.22,5.9
PERIDOTITE,0.04,20.8,7.0,0.43,5.45
PERIDOTITE,0.71,20.82,6.2,0.14,5.25
PERIDOTITE,0.08,21.19,7.51,0.45,4.76
PERIDOTITE,0.61,21.27,6.43,0.18,4.99
PERIDOTITE,0.76,21.71,6.76,0.25,4.92
PERIDOTITE,0.61,22.08,7.27,0.23,4.91
PERIDOTITE,1.27,22.19,10.78,0.33,5.22
PERIDOTITE,1.04,22.19,9.24,0.29,5.07
PERIDOTITE,0.85,22.27,8.39,0.26,4.82
PERIDOTITE,0.67,22.28,7.4,0.22,4.95
PERIDOTITE,0.84,22.31,7.47,0.32,4.84
PERIDOTITE,0.98,22.31,8.77,0.29,4.99
PERIDOTITE,0.81,22.32,8.22,0.27,4.84
PERIDOTITE,1.24,22.33,10.16,0.37,5.02
PERIDOTITE,1.05,22.33,8.89,0.27,4.92
PERIDOTITE,0.59,22.34,7.58,0.24,4.77
PERIDOTITE,0.73,22.4,8.68,0.23,4.54
PERIDOTITE,1.12,22.41,10.2,0.32,5.0
PERIDOTITE,0.89,22.43,8.12,0.26,4.78
PERIDOTITE,0.75,22.46,7.76,0.29,4.84
PERIDOTITE,1.1,22.48,10.28,0.29,4.83
PERIDOTITE,1.4,22.49,11.13,0.38,5.2
PERIDOTITE,0.74,22.49,7.71,0.23,4.82
PERIDOTITE,0.72,22.51,8.04,0.29,5.01
PERIDOTITE,0.74,22.54,8.2,0.28,4.91
PERIDOTITE,1.11,22.54,9.33,0.31,5.02
PERIDOTITE,1.12,22.55,10.4,0.3,4.77
PERIDOTITE,0.63,22.56,7.63,0.24,4.88
PERIDOTITE,0.84,22.56,8.5,0.29,4.87
PERIDOTITE,0.98,22.56,9.69,0.28,4.81
PERIDOTITE,0.89,22.6,8.97,0.31,4.94
PERIDOTITE,0.99,22.62,9.75,0.31,4.76
PERIDOTITE,0.64,22.63,7.77,0.17,4.86
PERIDOTITE,0.95,22.63,9.42,0.28,4.77
PERIDOTITE,0.9,22.64,9.11,0.28,4.89
PERIDOTITE,1.07,22.65,10.95,0.3,4.95
PERIDOTITE,1.13,22.65,8.98,0.29,4.94
PERIDOTITE,1.04,22.67,10.86,0.33,4.8
PERIDOTITE,1.06,22.68,11.64,0.39,4.78
PERIDOTITE,0.89,22.69,9.04,0.19,4.76
PERIDOTITE,0.96,22.81,10.79,0.33,4.74
PERIDOTITE,0.7,22.85,8.79,0.28,4.81
PERIDOTITE,0.86,22.86,9.06,0.24,4.64
PERIDOTITE,0.95,22.92,10.64,0.33,4.78
PERIDOTITE,0.84,22.92,9.83,0.33,4.63
PERIDOTITE,1.0,22.97,10.18,0.28,4.6
PERIDOTITE,0.94,23.16,10.99,0.34,3.97
PERIDOTITE,0.78,23.18,7.84,0.22,4.52
PERIDOTITE,0.69,19.53,5.99,0.26,5.49
PERIDOTITE,1.34,21.42,8.95,0.3,5.38
PERIDOTITE,0.76,22.22,7.3,0.19,4.93
PERIDOTITE,0.7,22.23,7.64,0.27,4.98
PERIDOTITE,1.14,22.3,10.02,0.3,4.85
PERIDOTITE,1.2,22.3,9.75,0.34,4.91
PERIDOTITE,0.72,22.32,8.02,0.19,4.99
PERIDOTITE,0.66,22.37,7.87,0.29,4.86
PERIDOTITE,1.12,22.37,9.36,0.21,4.99
PERIDOTITE,0.82,22.44,7.86,0.26,4.81
PERIDOTITE,0.15,22.48,12.45,0.4,4.56
PERIDOTITE,1.24,21.88,10.58,0.27,5.09
PERIDOTITE,0.75,21.9,7.64,0.27,4.94
PERIDOTITE,0.64,21.98,7.93,0.16,4.9
PERIDOTITE,0.2,22.06,9.43,0.44,4.73
PERIDOTITE,1.0,22.12,8.67,0.29,5.03
PERIDOTITE,0.77,22.3,7.99,0.26,5.05
PERIDOTITE,0.83,22.31,8.12,0.24,4.88
PERIDOTITE,0.7,22.83,7.68,0.25,4.82
PERIDOTITE,1.24,22.43,10.7,0.35,4.98
PERIDOTITE,0.69,21.35,7.21,0.23,5.05
PERIDOTITE,0.61,21.85,7.21,0.23,5.01
PERIDOTITE,0.58,22.14,7.53,0.2,4.94
PERIDOTITE,1.11,22.27,9.91,0.29,5.03
PERIDOTITE,0.03,22.28,7.04,0.34,4.19
PERIDOTITE,0.73,22.32,7.79,0.25,4.84
PERIDOTITE,0.54,22.43,7.64,0.27,4.81
PERIDOTITE,1.06,22.56,9.31,0.25,4.92
PERIDOTITE,0.26,22.71,8.94,0.45,4.81
PERIDOTITE,0.1,22.84,7.37,0.34,4.69
PERIDOTITE,0.83,21.9,9.15,0.32,4.94
PERIDOTITE,0.84,21.91,9.03,0.26,4.98
PERIDOTITE,1.12,22.0,10.29,0.38,5.16
PERIDOTITE,1.03,22.11,10.47,0.38,4.83
PERIDOTITE,1.07,22.21,9.74,0.35,5.01
PERIDOTITE,0.98,22.35,10.13,0.27,5.07
PERIDOTITE,0.11,21.66,7.67,0.37,4.73
PERIDOTITE,1.02,22.31,9.68,0.29,4.97
PERIDOTITE,0.72,22.38,7.74,0.33,5.04
PERIDOTITE,1.14,22.41,10.36,0.31,5.03
PERIDOTITE,1.35,22.45,9.99,0.31,5.13
PERIDOTITE,0.8,22.63,9.28,0.26,4.91
PERIDOTITE,1.08,22.71,8.19,0.25,4.97
PERIDOTITE,0.83,22.9,9.7,0.23,4.66
PERIDOTITE,0.73,21.91,8.06,0.21,4.88
PERIDOTITE,0.83,22.35,7.97,0.2,4.97
PERIDOTITE,0.64,22.68,7.99,0.25,4.89
PERIDOTITE,0.19,18.45,6.0,0.29,5.93
PERIDOTITE,0.67,22.69,7.79,0.27,5.0
PERIDOTITE,1.15,22.09,8.99,0.26,5.05
PERIDOTITE,0.25,20.41,7.88,0.42,5.3
PERIDOTITE,0.86,21.61,8.03,0.22,5.13
PERIDOTITE,0.63,22.13,7.8,0.23,4.92
PERIDOTITE,0.86,22.3,8.18,0.29,4.99
PERIDOTITE,0.87,22.37,11.25,0.37,4.76
PERIDOTITE,0.77,22.73,7.99,0.29,4.74
PERIDOTITE,0.79,22.78,7.71,0.25,4.79
PERIDOTITE,0.75,22.78,7.98,0.25,4.84
PERIDOTITE,0.21,18.91,8.33,0.35,5.61
PERIDOTITE,0.09,17.11,5.91,0.26,6.22
PERIDOTITE,0.07,22.23,7.3,0.43,5.08
PERIDOTITE,0.05,21.08,7.28,0.46,5.57
PERIDOTITE,0.23,18.29,5.65,0.26,6.24
PERIDOTITE,0.88,21.04,7.92,0.25,5.27
PERIDOTITE,0.07,21.42,7.19,0.39,5.33
PERIDOTITE,0.93,21.73,8.65,0.33,5.19
PERIDOTITE,0.09,21.89,7.31,0.33,5.1
PERIDOTITE,0.29,22.92,7.09,0.3,4.35
PERIDOTITE,1.02,21.34,8.58,0.25,5.21
PERIDOTITE,1.03,21.39,7.66,0.28,5.36
PERIDOTITE,1.22,17.38,7.25,0.25,5.52
PERIDOTITE,0.59,19.05,6.72,0.26,5.4
PERIDOTITE,0.06,21.91,27.32,0.22,0.84
PERIDOTITE,0.1,22.14,25.18,0.35,1.21
PERIDOTITE,0.01,22.11,26.0,0.35,1.28
PERIDOTITE,0.02,22.15,26.05,0.27,1.16
PERIDOTITE,0.53,18.25,5.99,0.18,5.57
PERIDOTITE,0.03,20.74,7.5,0.42,5.06
PERIDOTITE,0.1,21.47,6.5,0.24,4.58
PERIDOTITE,1.15,16.4,5.6,0.18,6.2
PERIDOTITE,1.2,16.72,5.82,0.24,6.34
PERIDOTITE,1.25,16.83,5.86,0.27,6.44
PERIDOTITE,1.22,16.88,6.05,0.28,6.35
PERIDOTITE,0.46,21.35,7.19,0.28,4.5
PERIDOTITE,0.75,17.56,5.14,0.22,5.89
PERIDOTITE,0.67,21.67,6.96,0.2,5.17
PERIDOTITE,0.72,21.97,7.28,0.24,5.04
PERIDOTITE,0.77,21.99,7.37,0.19,4.42
PERIDOTITE,0.61,22.1,6.43,0.21,4.96
PERIDOTITE,0.75,22.38,7.94,0.23,4.87
PERIDOTITE,1.89,21.32,11.53,0.33,3.68
PERIDOTITE,1.39,21.56,11.0,0.34,5.72
PERIDOTITE,0.97,22.05,10.74,0.25,2.7
PERIDOTITE,0.97,21.98,8.88,0.28,5.06
PERIDOTITE,1.11,22.0,9.37,0.29,4.95
PERIDOTITE,0.84,22.52,9.55,0.31,4.84
PERIDOTITE,0.93,22.57,8.86,0.33,4.87
PERIDOTITE,0.28,20.09,5.77,0.19,5.33
PERIDOTITE,0.57,21.36,6.92,0.17,5.11
PERIDOTITE,0.74,22.13,7.66,0.25,4.85
PERIDOTITE,0.96,22.63,9.99,0.32,4.88
PERIDOTITE,0.06,17.18,5.86,0.25,6.13
PERIDOTITE,0.9,21.0,7.77,0.27,5.13
PERIDOTITE,0.75,21.72,7.49,0.21,4.9
PERIDOTITE,0.65,21.77,6.95,0.22,5.11
PERIDOTITE,0.91,21.79,7.35,0.27,5.16
PERIDOTITE,0.63,21.89,7.28,0.24,4.91
PERIDOTITE,0.98,21.9,9.09,0.23,5.08
PERIDOTITE,0.81,21.92,8.09,0.24,5.04
PERIDOTITE,0.64,21.93,7.62,0.3,4.88
PERIDOTITE,0.94,21.95,8.48,0.23,5.24
PERIDOTITE,0.84,22.01,8.26,0.26,4.91
PERIDOTITE,0.93,22.05,8.71,0.29,5.08
PERIDOTITE,0.71,22.35,7.98,0.29,4.85
PERIDOTITE,0.73,22.39,8.7,0.24,4.7
PERIDOTITE,0.62,20.07,6.32,0.23,5.18
PERIDOTITE,0.05,17.83,5.09,0.21,3.55
PERIDOTITE,0.02,17.97,5.06,0.15,5.08
PERIDOTITE,0.07,18.8,5.44,0.26,3.04
PERIDOTITE,0.62,20.07,6.32,0.23,5.18
PERIDOTITE,0.53,20.97,6.76,0.14,5.1
PERIDOTITE,0.61,21.63,6.94,0.23,5.05
PERIDOTITE,0.57,21.64,7.54,0.2,5.03
PERIDOTITE,0.74,21.7,7.29,0.24,4.96
PERIDOTITE,0.96,21.77,8.04,0.29,5.04
PERIDOTITE,1.1,21.79,9.92,0.32,5.24
PERIDOTITE,0.91,21.8,6.86,0.19,5.03
PERIDOTITE,0.74,21.8,7.73,0.25,5.03
PERIDOTITE,0.85,21.84,8.12,0.28,5.11
PERIDOTITE,0.89,21.84,8.89,0.25,5.06
PERIDOTITE,1.12,21.96,10.26,0.29,5.08
PERIDOTITE,0.66,22.03,7.64,0.27,4.99
PERIDOTITE,1.09,22.05,11.02,0.35,4.87
PERIDOTITE,0.68,22.13,7.92,0.26,4.93
PERIDOTITE,0.89,22.13,8.74,0.21,4.95
PERIDOTITE,0.94,22.18,9.15,0.3,5.09
PERIDOTITE,0.65,22.24,7.65,0.25,4.93
PERIDOTITE,0.89,22.37,11.32,0.34,4.78
PERIDOTITE,0.8,22.55,8.75,0.28,4.76
PERIDOTITE,0.83,19.48,6.07,0.16,5.59
PERIDOTITE,0.18,21.01,7.4,0.37,5.26
PERIDOTITE,1.03,21.23,7.25,0.26,5.07
PERIDOTITE,0.78,21.71,7.65,0.27,4.99
PERIDOTITE,1.05,21.94,9.46,0.29,5.04
PERIDOTITE,1.35,22.02,10.22,0.36,5.2
PERIDOTITE,0.96,22.06,9.28,0.28,5.01
PERIDOTITE,0.73,22.07,8.05,0.3,4.96
PERIDOTITE,0.71,22.22,7.86,0.23,5.04
PERIDOTITE,1.08,22.27,9.39,0.28,5.1
PERIDOTITE,1.04,22.36,10.79,0.33,4.95
PERIDOTITE,1.06,22.43,10.96,0.31,2.75
PERIDOTITE,0.89,22.55,10.69,0.3,4.64
PERIDOTITE,0.8,22.83,8.99,0.32,4.49
PERIDOTITE,0.56,20.53,6.4,0.24,5.49
PERIDOTITE,0.94,20.89,6.76,0.26,5.16
PERIDOTITE,0.1,21.27,7.5,0.47,5.61
PERIDOTITE,1.4,21.27,8.96,0.24,5.57
PERIDOTITE,0.72,21.38,7.42,0.25,5.27
PERIDOTITE,0.78,21.39,6.92,0.22,5.12
PERIDOTITE,0.72,21.74,7.58,0.24,5.1
PERIDOTITE,0.75,21.75,7.64,0.23,4.93
PERIDOTITE,1.09,21.79,9.45,0.28,5.07
PERIDOTITE,0.83,21.89,8.5,0.24,4.94
PERIDOTITE,0.74,21.9,7.66,0.25,4.98
PERIDOTITE,0.7,21.91,7.61,0.31,5.08
PERIDOTITE,0.97,21.97,9.14,0.29,5.06
PERIDOTITE,0.88,22.13,9.55,0.32,4.96
PERIDOTITE,0.85,22.2,8.9,0.32,4.97
PERIDOTITE,0.97,22.28,8.84,0.31,5.0
PERIDOTITE,0.96,22.29,9.51,0.35,4.77
PERIDOTITE,0.91,22.3,9.12,0.26,4.95
PERIDOTITE,0.68,22.61,8.73,0.28,4.56
PERIDOTITE,0.09,18.11,5.38,0.21,4.34
PERIDOTITE,0.06,20.69,7.13,0.45,5.58
PERIDOTITE,0.75,21.29,6.9,0.28,5.24
PERIDOTITE,0.18,21.72,7.68,0.38,4.8
PERIDOTITE,1.21,21.73,9.65,0.23,5.19
PERIDOTITE,1.39,21.78,11.18,0.3,5.15
PERIDOTITE,1.44,21.87,10.38,0.35,5.12
PERIDOTITE,0.82,21.95,7.96,0.31,4.92
PERIDOTITE,0.73,21.95,8.12,0.32,5.0
PERIDOTITE,1.11,21.97,11.17,0.4,5.05
PERIDOTITE,1.18,21.98,10.31,0.33,5.08
PERIDOTITE,1.25,22.0,10.57,0.4,5.16
PERIDOTITE,0.8,22.25,8.79,0.26,4.88
PERIDOTITE,0.94,22.43,10.38,0.26,4.77
PERIDOTITE,0.77,22.7,9.6,0.29,4.62
PERIDOTITE,0.1,20.83,7.49,0.44,5.3
PERIDOTITE,0.74,21.68,7.62,0.2,5.08
PERIDOTITE,1.24,21.83,10.04,0.33,5.21
PERIDOTITE,0.65,21.83,7.55,0.28,4.94
PERIDOTITE,1.34,21.88,10.06,0.28,4.88
PERIDOTITE,0.73,21.88,7.71,0.22,4.95
PERIDOTITE,0.74,21.91,8.06,0.3,4.99
PERIDOTITE,1.08,21.99,9.8,0.34,4.94
PERIDOTITE,1.16,22.01,10.08,0.27,5.04
PERIDOTITE,0.87,22.02,8.1,0.21,4.95
PERIDOTITE,0.91,22.06,8.53,0.27,5.1
PERIDOTITE,0.74,22.11,8.07,0.21,5.02
PERIDOTITE,0.78,22.11,8.75,0.26,5.03
PERIDOTITE,1.03,22.13,10.01,0.3,5.02
PERIDOTITE,0.8,22.16,8.37,0.28,5.09
PERIDOTITE,0.91,22.28,9.17,0.28,4.93
PERIDOTITE,0.8,22.76,11.24,0.39,4.75
PERIDOTITE,0.27,20.32,6.22,0.25,5.09
PERIDOTITE,0.96,21.68,8.29,0.3,5.08
PERIDOTITE,0.77,22.2,7.98,0.32,4.98
PERIDOTITE,0.17,22.34,8.5,0.46,4.95
PERIDOTITE,0.96,22.42,10.67,0.35,4.87
PERIDOTITE,0.82,22.61,10.04,0.28,4.7
PERIDOTITE,0.01,22.75,8.82,0.68,5.49
PERIDOTITE,0.77,20.9,6.2,0.25,5.13
PERIDOTITE,0.82,21.9,7.93,0.27,4.93
PERIDOTITE,1.17,21.96,10.22,0.26,4.97
PERIDOTITE,0.69,22.01,7.79,0.33,4.85
PERIDOTITE,0.85,22.06,8.0,0.23,4.84
PERIDOTITE,1.27,22.1,10.33,0.27,4.95
PERIDOTITE,0.76,22.17,8.09,0.27,4.85
PERIDOTITE,1.07,22.34,9.73,0.33,4.97
PERIDOTITE,1.02,22.4,9.84,0.3,4.89
PERIDOTITE,1.04,22.46,10.62,0.36,4.77
PERIDOTITE,0.82,22.52,8.62,0.25,5.03
PERIDOTITE,0.28,22.71,9.23,0.46,4.31
PERIDOTITE,0.05,17.36,6.5,0.33,5.55
PERIDOTITE,0.08,16.79,5.87,0.26,6.22
PERIDOTITE,0.09,16.75,5.9,0.29,6.28
PERIDOTITE,0.09,17.3,5.86,0.26,6.21
PERIDOTITE,0.63,22.09,7.28,0.28,5.0
PERIDOTITE,0.77,22.12,8.12,0.27,4.9
PERIDOTITE,0.66,22.31,7.91,0.3,4.97
PERIDOTITE,0.56,20.71,6.39,0.19,5.34
PERIDOTITE,0.53,21.28,7.36,0.26,4.84
PERIDOTITE,0.56,20.63,6.72,0.2,5.05
PERIDOTITE,0.86,22.16,8.73,0.29,4.95
PERIDOTITE,0.9,22.18,8.7,0.32,4.73
PERIDOTITE,0.72,21.5,7.95,0.25,4.85
PERIDOTITE,0.82,21.28,7.54,0.25,4.95
PERIDOTITE,0.88,21.39,7.62,0.25,5.01
PERIDOTITE,0.62,20.84,6.81,0.24,4.93
PERIDOTITE,1.06,21.59,9.03,0.25,4.99
PERIDOTITE,0.53,20.56,6.41,0.22,5.04
PERIDOTITE,0.11,19.3,4.99,0.21,4.83
PERIDOTITE,0.77,21.11,7.32,0.29,5.0
PERIDOTITE,0.04,21.32,7.04,0.33,5.46
PERIDOTITE,1.51,21.41,10.82,0.39,5.31
PERIDOTITE,1.03,21.57,9.03,0.27,5.02
PERIDOTITE,1.25,21.58,10.55,0.32,5.07
PERIDOTITE,0.85,21.58,7.84,0.22,5.05
PERIDOTITE,1.09,21.58,9.72,0.36,5.12
PERIDOTITE,1.04,21.59,8.12,0.27,5.05
PERIDOTITE,1.19,21.6,9.79,0.34,5.31
PERIDOTITE,1.34,21.66,10.78,0.32,5.29
PERIDOTITE,1.17,21.72,10.33,0.34,4.97
PERIDOTITE,1.25,21.72,10.86,0.41,5.25
PERIDOTITE,1.17,21.72,11.26,0.36,5.19
PERIDOTITE,1.08,21.8,9.37,0.28,5.07
PERIDOTITE,0.99,21.89,8.4,0.23,4.94
PERIDOTITE,1.09,21.89,9.47,0.27,4.91
PERIDOTITE,0.91,21.94,8.71,0.33,4.75
PERIDOTITE,0.87,21.99,8.53,0.23,5.13
PERIDOTITE,1.01,22.12,8.54,0.27,4.98
PERIDOTITE,0.83,22.3,8.08,0.25,4.55
PERIDOTITE,0.68,20.81,7.06,0.21,5.2
PERIDOTITE,0.69,21.2,7.38,0.21,5.08
PERIDOTITE,0.66,21.43,7.62,0.2,4.99
PERIDOTITE,0.75,21.5,7.48,0.2,5.09
PERIDOTITE,0.74,21.6,7.51,0.23,4.96
PERIDOTITE,0.85,21.62,8.31,0.21,4.93
PERIDOTITE,1.13,21.76,9.94,0.27,5.07
PERIDOTITE,0.89,21.85,8.18,0.22,5.11
PERIDOTITE,1.13,22.03,9.2,0.35,5.14
PERIDOTITE,1.02,22.04,9.11,0.24,5.25
PERIDOTITE,1.19,22.09,9.81,0.32,5.11
PERIDOTITE,0.82,22.35,10.99,0.38,4.62
PERIDOTITE,0.94,22.17,8.95,0.3,4.95
PERIDOTITE,0.29,17.21,5.92,0.27,6.45
PERIDOTITE,0.87,21.49,7.96,0.21,5.08
PERIDOTITE,0.89,21.76,8.1,0.21,4.99
PERIDOTITE,0.31,21.79,8.99,0.38,4.69
PERIDOTITE,1.12,21.91,9.98,0.31,4.97
PERIDOTITE,0.91,22.29,10.93,0.32,4.83
PERIDOTITE,0.1,17.89,6.3,0.33,5.39
PERIDOTITE,0.43,20.38,6.88,0.33,4.73
PERIDOTITE,0.43,20.38,6.88,0.33,4.73
PERIDOTITE,0.92,21.96,9.21,0.21,5.19
PERIDOTITE,0.42,21.85,7.98,0.27,4.87
PERIDOTITE,1.21,22.12,9.67,0.28,5.17
PERIDOTITE,1.2,21.46,11.31,0.38,4.89
PERIDOTITE,1.18,22.4,9.68,0.33,5.21
PERIDOTITE,1.05,22.61,10.38,0.27,4.78
PERIDOTITE,0.05,20.95,7.13,0.53,5.68
PERIDOTITE,0.9,21.39,7.77,0.3,5.11
PERIDOTITE,1.47,21.42,10.97,0.34,5.43
PERIDOTITE,1.02,21.45,9.09,0.31,5.19
PERIDOTITE,1.18,21.56,9.36,0.3,5.17
PERIDOTITE,0.77,21.62,7.43,0.27,4.95
PERIDOTITE,0.88,21.69,8.22,0.21,4.98
PERIDOTITE,0.63,21.71,7.61,0.35,5.09
PERIDOTITE,1.12,21.73,9.64,0.29,5.09
PERIDOTITE,1.0,21.95,9.28,0.32,4.91
PERIDOTITE,1.25,21.98,9.83,0.3,4.96
PERIDOTITE,0.79,22.12,8.77,0.33,4.97
PERIDOTITE,1.04,22.3,10.34,0.31,4.93
PERIDOTITE,1.04,21.72,11.38,0.25,4.68
PERIDOTITE,0.87,21.78,9.79,0.22,5.0
PERIDOTITE,0.98,22.16,9.8,0.29,4.86
PERIDOTITE,0.1,17.52,5.08,0.2,4.89
PERIDOTITE,0.98,21.31,9.08,0.32,4.86
PERIDOTITE,0.68,21.54,7.46,0.26,4.89
PERIDOTITE,0.68,21.76,7.88,0.25,4.82
PERIDOTITE,1.01,21.83,9.63,0.31,4.87
PERIDOTITE,0.81,21.88,7.56,0.26,4.79
PERIDOTITE,0.29,18.86,5.49,0.27,5.65
PERIDOTITE,0.99,19.25,6.06,0.23,6.09
PERIDOTITE,0.17,20.82,6.91,0.34,5.23
PERIDOTITE,0.7,20.87,7.9,0.24,4.7
PERIDOTITE,0.64,21.3,7.09,0.25,5.05
PERIDOTITE,0.95,21.44,8.08,0.28,5.08
PERIDOTITE,0.75,21.48,7.81,0.31,4.95
PERIDOTITE,1.07,21.56,8.84,0.29,5.11
PERIDOTITE,1.01,21.6,8.42,0.28,4.99
PERIDOTITE,0.82,21.66,8.51,0.26,4.75
PERIDOTITE,1.1,21.7,8.79,0.25,5.05
PERIDOTITE,0.78,21.8,7.99,0.42,4.77
PERIDOTITE,1.1,21.82,10.94,0.34,4.99
PERIDOTITE,0.9,21.83,9.03,0.29,5.14
PERIDOTITE,1.09,21.9,10.79,0.36,4.92
PERIDOTITE,1.08,21.98,10.07,0.39,5.0
PERIDOTITE,0.73,21.99,8.24,0.26,4.85
PERIDOTITE,0.83,22.05,8.41,0.25,4.92
PERIDOTITE,0.98,22.13,8.23,0.34,5.01
PERIDOTITE,1.18,22.13,9.2,0.28,5.29
PERIDOTITE,0.91,22.34,9.12,0.27,4.83
PERIDOTITE,0.94,22.35,8.93,0.27,4.87
PERIDOTITE,0.68,21.51,9.75,0.21,5.21
PERIDOTITE,0.77,21.89,7.23,0.18,4.97
PERIDOTITE,1.21,21.96,11.03,0.18,5.03
PERIDOTITE,1.04,22.05,10.57,0.26,4.6
PERIDOTITE,1.3,22.32,9.65,0.32,4.69
PERIDOTITE,1.12,22.96,10.99,0.36,4.86
PERIDOTITE,1.37,21.33,10.94,0.34,5.27
PERIDOTITE,0.8,21.38,7.98,0.28,4.91
PERIDOTITE,1.29,21.39,10.41,0.3,5.13
PERIDOTITE,1.18,21.39,9.2,0.32,5.17
PERIDOTITE,0.84,21.73,7.59,0.31,4.9
PERIDOTITE,1.04,21.73,8.75,0.27,5.08
PERIDOTITE,1.09,21.84,9.68,0.24,5.1
PERIDOTITE,1.24,21.85,9.76,0.32,5.09
PERIDOTITE,0.78,21.87,9.1,0.24,4.82
