Rock Type,TiO2,Al2O3,FeO,MnO,CaO
PERIDOTITE,0.05,2.09,2.43,0.07,20.58
PERIDOTITE,0.05,2.26,2.5,0.08,20.4
PERIDOTITE,0.04,21.6,7.75,0.4,5.22
PERIDOTITE,0.03,21.78,7.62,0.38,5.24
PERIDOTITE,0.35,1.69,4.64,0.11,0.95
PERIDOTITE,0.54,18.92,5.91,0.26,5.59
PERIDOTITE,0.69,2.59,2.64,0.09,18.65
PERIDOTITE,0.06,0.6,4.68,0.08,0.37
PERIDOTITE,0.15,2.36,2.41,0.06,19.79
PERIDOTITE,0.03,1.1,4.97,0.11,0.26
PERIDOTITE,0.03,1.1,5.03,0.12,0.25
PERIDOTITE,0.07,1.95,1.81,0.07,22.28
PERIDOTITE,0.35,17.3,19.37,0.58,0.01
PERIDOTITE,0.04,19.83,7.41,0.47,7.2
PERIDOTITE,0.02,2.04,2.09,0.08,21.58
PERIDOTITE,0.02,2.19,2.15,0.07,21.29
PERIDOTITE,0.01,21.49,7.72,0.45,5.66
PERIDOTITE,0.01,0.04,8.99,0.09,0.14
PERIDOTITE,0.38,5.21,0.0,0.12,19.82
PERIDOTITE,0.06,0.31,8.68,0.14,0.16
PERIDOTITE,0.32,11.45,3.48,0.05,10.24
PERIDOTITE,0.05,2.72,2.46,0.07,20.37
PERIDOTITE,0.1,20.16,16.23,0.19,0.07
PERIDOTITE,0.01,0.0,9.62,0.18,0.03
PERIDOTITE,0.5,13.03,3.43,0.04,10.03
PERIDOTITE,0.06,4.43,2.33,0.08,19.44
PERIDOTITE,0.04,2.83,2.05,0.1,20.76
PERIDOTITE,0.1,25.43,13.97,0.15,0.02
PERIDOTITE,0.0,3.44,2.26,0.05,21.98
PERIDOTITE,0.11,38.28,12.89,0.14,0.05
PERIDOTITE,0.05,0.2,8.43,0.12,0.06
PERIDOTITE,0.32,13.52,3.23,0.1,10.94
PERIDOTITE,0.08,29.98,13.79,0.19,0.04
PERIDOTITE,0.04,3.28,2.12,0.07,21.41
PERIDOTITE,0.02,0.06,8.6,0.15,0.07
PERIDOTITE,0.17,10.59,3.22,0.06,9.71
PERIDOTITE,0.07,14.54,16.71,0.21,0.08
PERIDOTITE,0.04,2.61,2.38,0.12,19.9
PERIDOTITE,0.03,0.01,8.59,0.1,0.07
PERIDOTITE,1.17,30.32,13.24,0.3,0.05
PERIDOTITE,1.15,5.48,3.13,0.1,18.92
PERIDOTITE,0.1,3.75,5.94,0.18,0.53
PERIDOTITE,0.02,0.02,9.69,0.16,0.08
PERIDOTITE,0.14,3.88,6.07,0.14,0.86
PERIDOTITE,0.01,0.02,10.25,0.15,0.09
PERIDOTITE,1.89,13.89,2.44,0.04,10.82
PERIDOTITE,0.15,4.02,6.36,0.14,0.85
PERIDOTITE,0.48,6.01,3.11,0.08,20.39
PERIDOTITE,0.04,0.02,10.14,0.16,0.08
PERIDOTITE,0.02,0.03,8.67,0.12,0.22
PERIDOTITE,1.75,13.72,2.16,0.06,10.79
PERIDOTITE,0.12,4.2,6.39,0.12,0.92
PERIDOTITE,0.42,5.32,2.8,0.11,20.88
PERIDOTITE,0.49,5.8,2.8,0.08,20.91
PERIDOTITE,0.01,0.01,11.27,0.12,0.08
PERIDOTITE,2.58,13.35,3.71,0.05,10.67
PERIDOTITE,3.89,14.08,4.25,0.08,10.45
PERIDOTITE,3.78,14.09,4.32,0.03,10.53
PERIDOTITE,2.09,15.08,2.95,0.08,10.51
PERIDOTITE,0.11,4.47,6.03,0.16,0.76
PERIDOTITE,0.35,6.17,3.09,0.07,19.92
PERIDOTITE,0.36,6.45,3.18,0.09,20.08
PERIDOTITE,0.41,6.47,3.59,0.08,20.13
PERIDOTITE,0.38,6.66,2.96,0.07,20.16
PERIDOTITE,0.37,7.03,2.41,0.09,19.81
PERIDOTITE,0.12,4.76,5.81,0.14,0.88
PERIDOTITE,0.18,1.4,5.18,0.12,0.72
PERIDOTITE,1.9,10.85,1.39,0.04,10.34
PERIDOTITE,1.91,10.86,1.64,0.03,10.32
PERIDOTITE,0.35,2.84,2.14,0.06,20.7
PERIDOTITE,0.38,3.06,2.19,0.06,20.51
PERIDOTITE,0.04,0.02,7.86,0.11,0.14
PERIDOTITE,0.07,3.28,5.25,0.16,0.76
PERIDOTITE,1.37,14.68,2.23,0.05,10.56
PERIDOTITE,0.98,14.69,2.06,0.05,10.66
PERIDOTITE,0.05,3.41,6.23,0.19,0.77
PERIDOTITE,0.21,6.49,2.54,0.07,19.68
PERIDOTITE,0.5,7.47,2.45,0.1,19.64
PERIDOTITE,0.71,15.37,1.58,0.07,10.73
PERIDOTITE,3.52,15.48,6.14,0.08,11.03
PERIDOTITE,3.64,15.49,5.98,0.09,10.92
PERIDOTITE,0.91,15.64,1.47,0.03,10.67
PERIDOTITE,0.02,3.62,5.59,0.15,0.77
PERIDOTITE,0.36,6.71,2.24,0.05,19.94
PERIDOTITE,0.44,7.04,2.18,0.09,19.97
PERIDOTITE,2.15,15.58,1.88,0.07,11.04
PERIDOTITE,2.15,15.66,1.87,0.06,11.03
PERIDOTITE,0.2,5.45,5.6,0.15,0.77
PERIDOTITE,0.49,6.3,2.24,0.08,21.4
PERIDOTITE,0.65,7.2,2.37,0.08,20.82
PERIDOTITE,0.61,7.68,2.36,0.07,21.01
PERIDOTITE,0.15,5.41,5.53,0.16,0.89
PERIDOTITE,0.53,7.21,2.07,0.09,19.68
PERIDOTITE,0.48,7.65,2.11,0.11,18.99
PERIDOTITE,0.58,2.44,1.85,0.09,23.16
PERIDOTITE,0.13,2.71,6.26,0.16,0.82
PERIDOTITE,0.61,3.14,2.17,0.08,22.98
PERIDOTITE,0.17,3.28,6.25,0.14,0.8
PERIDOTITE,0.26,0.52,2.23,0.12,22.45
PERIDOTITE,0.33,0.71,2.36,0.09,22.22
PERIDOTITE,0.17,2.7,6.37,0.16,0.87
PERIDOTITE,0.15,3.2,6.38,0.15,0.77
PERIDOTITE,4.01,14.32,4.46,0.04,0.04
PERIDOTITE,3.86,15.36,4.99,0.05,0.05
PERIDOTITE,0.16,3.3,3.53,0.14,0.85
PERIDOTITE,0.16,3.35,2.34,0.19,0.95
