ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO
DUNITE,20.59,-74.78,35.86,38.42
HARZBURGITE,20.46,-75.7,39.67,37.63
HARZBURGITE,20.46,-75.7,39.07,35.46
HARZBURGITE,20.46,-75.7,44.63,40.82
HARZBURGITE,20.46,-75.7,41.16,35.95
HARZBURGITE,20.46,-75.7,39.93,35.4
HARZBURGITE,20.46,-75.7,39.39,35.23
HARZBURGITE,20.46,-75.7,39.24,33.71
HARZBURGITE,20.46,-75.7,39.71,36.13
DUNITE,20.46,-75.7,39.33,36.55
DUNITE,20.46,-75.7,39.62,33.84
WEHRLITE,20.59,-74.78,38.39,30.78
WEHRLITE,20.59,-74.78,38.13,36.25
LHERZOLITE,42.0,143.0,44.95,41.99
LHERZOLITE,42.0,143.0,43.95,39.01
WEHRLITE,-49.7114,70.0801,43.77,26.79
WEHRLITE,-49.7114,70.0801,44.93,23.27
WEHRLITE,-49.7114,70.0801,43.34,27.76
WEHRLITE,-49.7114,70.0801,44.15,24.41
HARZBURGITE,43.8576,103.073,40.92,38.13
HARZBURGITE,44.4354,100.749,42.77,36.94
PERIDOTITE,47.5922,86.6405,42.06,41.96
PERIDOTITE,69.39,30.23,38.35,33.76
PERIDOTITE,69.39,30.23,43.46,27.01
PERIDOTITE,69.39,30.23,41.81,25.18
PERIDOTITE,69.39,30.23,43.16,23.29
PERIDOTITE,69.42,30.32,38.45,27.27
PERIDOTITE,69.42,30.32,34.69,26.5
PERIDOTITE,69.43,30.23,37.27,29.69
PERIDOTITE,69.43,30.43,39.85,33.48
PERIDOTITE,69.43,30.43,36.72,30.46
PERIDOTITE,69.43,30.43,36.31,28.92
PERIDOTITE,69.43,30.43,40.62,10.8
PERIDOTITE,69.48,30.75,37.16,33.87
PERIDOTITE,69.48,30.75,37.62,33.3
PERIDOTITE,69.48,30.75,36.08,31.03
PERIDOTITE,69.48,30.75,36.092,30.807
PERIDOTITE,69.43,30.43,36.115,30.894000000000002
PERIDOTITE,69.39,30.23,43.46,27.01
PERIDOTITE,69.4,30.6,47.13,16.33
PERIDOTITE,69.5,30.8,42.48,19.33
PERIDOTITE,69.5,30.8,42.629,17.984
PERIDOTITE,69.5,30.8,44.056000000000004,18.964000000000002
WEHRLITE,69.4,30.0,38.42,27.06
HARZBURGITE,12.7165,-90.932,37.81,37.29
HARZBURGITE,12.8057,-90.6965,37.04,36.68
HARZBURGITE,12.7985,-90.6998,37.45,34.58
HARZBURGITE,12.7985,-90.6998,36.17,37.71
HARZBURGITE,12.814,-90.6922,36.76,36.5
HARZBURGITE,12.814,-90.6922,36.65,36.57
WEHRLITE,69.25,88.0,40.0,20.24
WEHRLITE,69.25,88.0,39.53,20.81
WEHRLITE,63.6,34.8,39.03,30.79
LHERZOLITE,63.6,34.8,43.11,28.65
DUNITE,28.67,-17.9,37.65,29.18
LHERZOLITE,25.72,109.87,47.89,15.8
PERIDOTITE,69.33,30.05,33.35,28.81
