ROCK NAME,SIO2,TIO2,AL2O3,CAO
DUNITE,41.6,0.05,0.95,0.61
DUNITE,39.6,0.02,0.93,1.5
DUNITE,35.2,0.02,1.2,0.6
DUNITE,35.7,0.02,0.93,0.8
DUNITE,36.1,0.02,1.1,0.7
DUNITE,35.8,0.04,0.89,1
DUNITE,35.7,0.02,0.8,0.2
DUNITE,35.2,0.05,0.86,0.15
DUNITE,37.4,0.04,1.2,1.9
DUNITE,37.1,0.02,1.4,0.32
DUNITE,36.6,0.01,0.06,0.24
DUNITE,33.1,0.04,0.65,0.3
DUNITE,39.9,0.12,2.3,0.75
DUNITE,43.2,0.02,1.1,0.52
DUNITE,40.8,0.16,1,0.58
DUNITE,40.3,0.03,0.7,0.31
DUNITE,39.5,0.22,1.2,0.06
DUNITE,40.2,0.05,0.37,0.14
DUNITE,48.5,1.1,14.5,23
DUNITE,76.6,0.16,13.1,0.76
DUNITE,40.6,0.02,0.69,0.19
DUNITE,41.6,0.02,1.9,2.8
DUNITE,39.2,0.06,0.2,0.16
DUNITE,35.2,0.06,1.83,0.19
DUNITE,43.1,0.04,0.64,0.28
DUNITE,35.2,0.01,0.2,0.2
DUNITE,37.4,0.02,0.46,0.81
DUNITE,38.5,0.01,0.23,0.01
DUNITE,38.11,0.04,0.96,0.26
DUNITE,40.4,0.1,1.96,6
DUNITE,42.7,0.08,2.2,5.24
DUNITE,42.5,0.03,0.8,0.19
DUNITE,35.6,0.56,1.07,3.88
DUNITE,36.3,0.06,0.26,0.2
DUNITE,41.7,0.04,0.49,6.42
DUNITE,45.7,0.22,19.1,15.7
DUNITE,38.4,0.02,0.28,0.12
DUNITE,37.6,0.02,0.2,0.22
DUNITE,38.9,0.02,0.41,0.12
DUNITE,38.3,0.04,0.39,0.24
DUNITE,40.1,0.04,0.46,0.87
DUNITE,40.3,0.02,0.21,0.25
DUNITE,40,0.05,0.34,0.32
DUNITE,39.2,0.04,0.81,3.9
DUNITE,39.3,0.03,0.2,0.27
DUNITE,38.5,0.03,0.22,0.15
DUNITE,37.2,0.03,0.4,0.09
DUNITE,36.4,0.02,1.5,0.1
DUNITE,38.1,0.08,2.2,3.2
DUNITE,35.7,0.02,0.56,0.6
DUNITE,39.1,0.02,0.56,1.3
DUNITE,37.2,0.03,1,0.5
DUNITE,35,0.1,1.2,0.52
DUNITE,37.2,0.02,0.19,1.2
DUNITE,26.6,0.08,3,0.12
DUNITE,38,0.02,0.16,2.3
DUNITE,37.4,0.02,0.32,0.58
DUNITE,36.7,0.02,0.18,0.35
DUNITE,36.3,0.04,0.3,0.13
DUNITE,36.3,0.03,0.3,0.06
DUNITE,39.2,0.04,0.5,0.19
DUNITE,41.3,0.01,2.5,1.7
DUNITE,38.7,0.02,0.49,0.35
DUNITE,42.6,0.01,1.1,0.87
DUNITE,42.7,0.01,0.6,0.15
DUNITE,40.3,0.03,1,0.27
DUNITE,37.9,0.09,0.88,0.04
DUNITE,25.5,0.08,6.24,0.2
DUNITE,32.4,0.04,2.29,0.1
DUNITE,30.36,0.04,2.25,0.2
DUNITE,34.67,0.04,3.8,0.19
DUNITE,30.9,0.03,2.06,0.07
DUNITE,8.16,0.24,9.64,0.8
DUNITE,32.98,0.08,3.18,0.75
DUNITE,8.74,0.16,8.36,0.22
DUNITE,34.92,0.02,1.02,0.14
DUNITE,38.01,0.05,0.83,0
DUNITE,38.01,0.05,0.83,0
DUNITE,38.01,0.05,0.83,0
DUNITE,36.92,0.03,3.65,0.64
DUNITE,37,0.2,0.92,1.8
DUNITE,38.2,0.18,1.03,0.8
DUNITE,38.26,0.08,1.1,0.5
DUNITE,38.04,0.08,1.21,0.98
DUNITE,33.62,0.01,0.07,0.03
DUNITE,43.7,0.007,0.63,2.06
DUNITE,34.44,0.07,3.67,1.53
DUNITE,36.98,0.02,0.53,0.64
DUNITE,32.71,0.02,0.31,0.06
DUNITE,33.33,0.03,0.25,0.11
DUNITE,32.7,0.03,0.23,0.07
HARZBURGITE,42.92,0.02,0.81,0.8
HARZBURGITE,43.65,0,0.5,0.41
HARZBURGITE,44.09,0,0.46,0.61
HARZBURGITE,43.54,0,0.56,0.44
HARZBURGITE,43.95,0.015,0.76,0.82
HARZBURGITE,43.95,0.015,1.07,0.8
HARZBURGITE,43.74,0.01,0.75,0.96
HARZBURGITE,39.53,0.18,3.11,0.17
HARZBURGITE,36.59,0.18,2.91,0.15
HARZBURGITE,36.57,0.19,3.78,3.51
HARZBURGITE,42.59,0.22,2.77,2.65
HARZBURGITE,42.96,0.01,0.73,0.54
HARZBURGITE,43.36,0.02,0.65,0.57
HARZBURGITE,40,0.06,2.84,0.26
HARZBURGITE,38.59,0.01,0.75,0.55
HARZBURGITE,40.78,0.02,0.88,0.99
HARZBURGITE,40.82,0.01,0.89,1.64
HARZBURGITE,43.16,0.02,0.84,0.08
HARZBURGITE,37.22,0.35,0.62,1.53
HARZBURGITE,41.49,0.09,0.26,1.18
HARZBURGITE,38.87,0.21,0.92,1.49
HARZBURGITE,41.07,0.12,1.03,1.58
HARZBURGITE,43.21,0.05,0.64,0.54
HARZBURGITE,40.46,0.03,1.48,0.08
HARZBURGITE,40.89,0.02,1.65,0
HARZBURGITE,40.07,0.03,1.73,0
HARZBURGITE,46.6,0.29,3.74,5.97
HARZBURGITE,42.64,0.08,2.78,2.87
HARZBURGITE,38.5,0.02,0.9,0.1
HARZBURGITE,38,0.02,0.9,0.11
HARZBURGITE,41.95,0.12,1.9,0.28
HARZBURGITE,55.23,0,0.54,0.75
HARZBURGITE,44.69,0,0.64,0.24
HARZBURGITE,44.31,0,0.37,0.37
HARZBURGITE,43.89,0,0.6,0.56
HARZBURGITE,38.55,0.006,0.42,0.35
HARZBURGITE,39.23,0.008,0.95,0.32
HARZBURGITE,41.89,0.007,0.85,0.48
HARZBURGITE,36.66,0.005,0.7,0.32
HARZBURGITE,38.02,0.005,0.86,0.05
HARZBURGITE,38.23,0.016,0.7,0.28
HARZBURGITE,37.45,0.006,0.57,0
HARZBURGITE,38.19,0.004,0.34,0.17
HARZBURGITE,39.11,0.002,0.33,0.57
HARZBURGITE,39.67,0.008,0.52,0.03
HARZBURGITE,44.63,0.008,0.43,0.04
HARZBURGITE,41.16,0.006,0.44,0.07
HARZBURGITE,39.93,0.004,0.27,0.02
HARZBURGITE,39.39,0.003,0.19,0.17
HARZBURGITE,39.24,0.003,0.17,0.04
HARZBURGITE,39.71,0.004,0.12,0.06
HARZBURGITE,40.92,0.01,0.53,0.12
HARZBURGITE,42.77,0.03,1.67,0.03
HARZBURGITE,37.81,0.01,1.59,0.12
HARZBURGITE,37.04,0.02,0.6,0.72
HARZBURGITE,37.45,0.02,0.62,1.87
HARZBURGITE,36.17,0.02,0.51,0.66
HARZBURGITE,36.76,0.01,0.58,0.79
HARZBURGITE,36.65,0.02,0.72,0.96
HARZBURGITE,43.87,0.004,0.53,0.52
HARZBURGITE,43.99,0.002,0.45,0.48
HARZBURGITE,43.98,0.005,0.78,0.7
HARZBURGITE,43.91,0.005,0.56,0.61
HARZBURGITE,41.13,0.02,0.4,0.82
HARZBURGITE,43.57,0.01,0.87,0.72
HARZBURGITE,43.93,0.01,1.03,1.22
HARZBURGITE,44.12,0.01,0.38,0.3
HARZBURGITE,42.5,0.02,0.38,0.59
HARZBURGITE,44.18,0.01,0.52,0.52
HARZBURGITE,43.99,0.07,0.82,0.59
HARZBURGITE,44.23,0.04,0.86,1.13
HARZBURGITE,40.79,0.03,0.59,1.05
HARZBURGITE,40.46,0.03,0.47,0.85
HARZBURGITE,36.78,0.04,0.88,0.38
HARZBURGITE,37.2,0.04,0.34,0.6
HARZBURGITE,39.78,0.06,0.61,0.85
HARZBURGITE,39.41,0.03,0.45,0.53
HARZBURGITE,39.97,0.03,0.41,0.63
HARZBURGITE,39.78,0.03,0.31,0.56
HARZBURGITE,38.84,0.03,0.21,0.35
HARZBURGITE,40.62,0.03,0.41,0.38
HARZBURGITE,42.61,0.01,0.64,0.33
HARZBURGITE,43.53,0.02,0.74,0.69
HARZBURGITE,43.81,0.01,0.55,0.6
HARZBURGITE,44.45,0,0.54,0.7
