ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO,CAO,MNO
HARZBURGITE,-46.65,-75.45,38.0,37.85,0.11,0.11
HARZBURGITE,56.6108,-102.82600000000001,41.95,34.25,0.28,0.1
DUNITE,70.0,100.0,39.69,45.33,0.58,0.22
HARZBURGITE,54.82,-125.17,55.23,35.67,0.75,0.12
HARZBURGITE,54.82,-125.17,44.69,45.23,0.24,0.13
HARZBURGITE,54.82,-125.17,44.31,45.81,0.37,0.12
HARZBURGITE,54.82,-125.17,43.89,45.71,0.56,0.12
LHERZOLITE,54.4,-124.0,46.23,33.15,0.75,0.11
DUNITE,61.56,-73.47,38.2,29.77,2.31,0.17
DUNITE,61.5,-73.7,38.85,26.66,5.45,0.18
DUNITE,61.5,-73.7,38.29,27.46,3.67,0.2
DUNITE,61.5,-73.7,38.0,26.62,3.95,0.18
DUNITE,61.5,-73.7,39.69,26.48,5.82,0.17
HARZBURGITE,20.59,-74.78,38.55,38.01,0.35,0.11
HARZBURGITE,20.59,-74.78,39.23,36.81,0.32,0.12
HARZBURGITE,20.59,-74.78,41.89,37.63,0.48,0.13
HARZBURGITE,20.59,-74.78,36.66,38.26,0.32,0.11
HARZBURGITE,20.59,-74.78,38.02,35.47,0.05,0.11
HARZBURGITE,20.59,-74.78,38.23,40.62,0.28,0.11
HARZBURGITE,20.59,-74.78,37.45,38.24,0.0,0.11
HARZBURGITE,20.59,-74.78,38.19,39.09,0.17,0.11
HARZBURGITE,20.59,-74.78,39.11,40.34,0.57,0.11
DUNITE,20.59,-74.78,36.81,38.65,0.34,0.11
DUNITE,20.59,-74.78,38.66,35.69,0.8,0.13
DUNITE,20.59,-74.78,38.29,36.31,0.67,0.14
DUNITE,20.59,-74.78,37.01,39.41,1.13,0.12
DUNITE,20.59,-74.78,36.79,39.1,1.86,0.13
DUNITE,20.59,-74.78,34.57,39.64,0.15,0.12
DUNITE,20.59,-74.78,35.86,38.42,0.02,0.08
HARZBURGITE,20.46,-75.7,39.67,37.63,0.03,0.08
HARZBURGITE,20.46,-75.7,44.63,40.82,0.04,0.11
HARZBURGITE,20.46,-75.7,41.16,35.95,0.07,0.09
HARZBURGITE,20.46,-75.7,39.93,35.4,0.02,0.1
HARZBURGITE,20.46,-75.7,39.39,35.23,0.17,0.11
HARZBURGITE,20.46,-75.7,39.24,33.71,0.04,0.11
HARZBURGITE,20.46,-75.7,39.71,36.13,0.06,0.11
DUNITE,20.46,-75.7,39.33,36.55,0.01,0.09
DUNITE,20.46,-75.7,39.62,33.84,0.02,0.11
WEHRLITE,20.59,-74.78,38.39,30.78,2.84,0.22
WEHRLITE,20.59,-74.78,38.13,36.25,2.53,0.12
LHERZOLITE,42.0,143.0,44.95,41.99,1.88,0.13
LHERZOLITE,42.0,143.0,43.95,39.01,3.04,0.13
WEHRLITE,-49.7114,70.0801,43.77,26.79,6.15,0.19
WEHRLITE,-49.7114,70.0801,44.93,23.27,9.59,0.19
WEHRLITE,-49.7114,70.0801,43.34,27.76,6.72,0.2
WEHRLITE,-49.7114,70.0801,44.15,24.41,8.88,0.21
HARZBURGITE,43.8576,103.073,40.92,38.13,0.12,0.12
HARZBURGITE,44.4354,100.749,42.77,36.94,0.03,0.15
WEHRLITE,69.4,30.0,38.42,27.06,3.08,0.16
HARZBURGITE,12.7165,-90.932,37.81,37.29,0.12,0.14
HARZBURGITE,12.8057,-90.6965,37.04,36.68,0.72,0.16
HARZBURGITE,12.7985,-90.6998,37.45,34.58,1.87,0.14
HARZBURGITE,12.7985,-90.6998,36.17,37.71,0.66,0.13
HARZBURGITE,12.814,-90.6922,36.76,36.5,0.79,0.15
HARZBURGITE,12.814,-90.6922,36.65,36.57,0.96,0.15
WEHRLITE,69.25,88.0,40.0,20.24,6.86,0.18
WEHRLITE,69.25,88.0,39.53,20.81,6.71,0.21
WEHRLITE,63.6,34.8,39.03,30.79,2.66,0.18
LHERZOLITE,63.6,34.8,43.11,28.65,3.58,0.19
DUNITE,28.67,-17.9,37.65,29.18,6.36,0.18
LHERZOLITE,25.72,109.87,47.89,15.8,7.78,0.15
DUNITE,50.7,14.92,33.11,24.37,5.72,0.31
LHERZOLITE,69.3962,30.6087,41.86,17.52,3.29,0.19
LHERZOLITE,69.3962,30.6087,43.47,18.38,5.14,0.19
LHERZOLITE,69.3962,30.6087,42.99,18.12,4.58,0.19
DUNITE,3.0,-78.32,41.88,35.41,4.67,0.18
WEHRLITE,3.0,-78.32,43.03,29.63,7.21,0.19
WEHRLITE,64.3047,29.0505,34.44,30.44,4.84,0.193
WEHRLITE,64.304,29.0531,38.92,32.77,1.07,0.115
WEHRLITE,64.3038,29.0545,40.69,34.2,0.63,0.121
WEHRLITE,64.2753,29.0678,43.17,26.45,5.67,0.172
WEHRLITE,64.2728,29.0764,46.5,21.6,10.8,0.16399999999999998
WEHRLITE,64.2487,29.0291,40.74,32.15,3.44,0.154
WEHRLITE,64.2486,29.0291,41.92,28.91,7.07,0.162
WEHRLITE,64.2486,29.0294,41.56,27.77,7.22,0.21899999999999997
WEHRLITE,64.2484,29.0295,45.37,25.54,11.42,0.179
WEHRLITE,64.2483,29.0303,40.6,28.8,4.55,0.19399999999999998
WEHRLITE,64.2482,29.0305,42.7,26.66,6.09,0.209
WEHRLITE,64.2481,29.0305,42.56,26.21,6.74,0.19899999999999998
WEHRLITE,64.248,29.0306,42.63,26.6,5.89,0.214
WEHRLITE,64.2478,29.0489,40.28,32.26,1.73,0.133
WEHRLITE,64.237,29.0854,36.72,32.3,0.81,0.11800000000000001
WEHRLITE,64.2842,29.0835,36.66,30.35,1.52,0.271
WEHRLITE,64.2371,29.0856,40.0,32.6,2.52,0.168
WEHRLITE,64.2378,29.0841,32.33,31.83,3.88,0.171
WEHRLITE,64.2434,29.0248,35.3,34.9,0.08,0.16699999999999998
