,0,1,2,3,4,5,6,7,8,9,10,11,12
126,ROCK NAME,CR2O3,MNO,P2O5,,,,,,,,,0.7050197785105914
127,ROCK NAME,CR2O3,K2O,NA2O,,,,,,,,,0.7047424026590687
128,ROCK NAME,CR2O3,K2O,P2O5,,,,,,,,,0.7032472743067054
129,ROCK NAME,CR2O3,NA2O,P2O5,,,,,,,,,0.7028051720359407
130,ROCK NAME,FEOT,CAO,MGO,,,,,,,,,0.7030585096742852
131,ROCK NAME,FEOT,CAO,MNO,,,,,,,,,0.7037900371233697
132,ROCK NAME,FEOT,CAO,K2O,,,,,,,,,0.7041178444687212
133,ROCK NAME,FEOT,CAO,NA2O,,,,,,,,,0.7044265850235993
134,ROCK NAME,FEOT,CAO,P2O5,,,,,,,,,0.7047307516443314
135,ROCK NAME,FEOT,MGO,MNO,,,,,,,,,0.704897771074241
136,ROCK NAME,FEOT,MGO,K2O,,,,,,,,,0.7050762160251205
137,ROCK NAME,FEOT,MGO,NA2O,,,,,,,,,0.705141968426992
138,ROCK NAME,FEOT,MGO,P2O5,,,,,,,,,0.7052545997390116
139,ROCK NAME,FEOT,MNO,K2O,,,,,,,,,0.7042938542938537
140,ROCK NAME,FEOT,MNO,NA2O,,,,,,,,,0.7039663777252425
141,ROCK NAME,FEOT,MNO,P2O5,,,,,,,,,0.7032422454957661
142,ROCK NAME,FEOT,K2O,NA2O,,,,,,,,,0.7032255493793951
143,ROCK NAME,FEOT,K2O,P2O5,,,,,,,,,0.7024440751292597
144,ROCK NAME,FEOT,NA2O,P2O5,,,,,,,,,0.7024265644955293
145,ROCK NAME,CAO,MGO,MNO,,,,,,,,,0.7029816961323804
146,ROCK NAME,CAO,MGO,K2O,,,,,,,,,0.7034129891272742
147,ROCK NAME,CAO,MGO,NA2O,,,,,,,,,0.7039603706270368
148,ROCK NAME,CAO,MGO,P2O5,,,,,,,,,0.7043219436955449
149,ROCK NAME,CAO,MNO,K2O,,,,,,,,,0.7044001266223482
150,ROCK NAME,CAO,MNO,NA2O,,,,,,,,,0.7046282145619888
151,ROCK NAME,CAO,MNO,P2O5,,,,,,,,,0.7051094616884085
152,ROCK NAME,CAO,K2O,NA2O,,,,,,,,,0.7056713156931016
153,ROCK NAME,CAO,K2O,P2O5,,,,,,,,,0.7058435391768718
154,ROCK NAME,CAO,NA2O,P2O5,,,,,,,,,0.7062892503752712
155,ROCK NAME,MGO,MNO,K2O,,,,,,,,,0.7060048213894361
156,ROCK NAME,MGO,MNO,NA2O,,,,,,,,,0.7063047041815612
157,ROCK NAME,MGO,MNO,P2O5,,,,,,,,,0.7063723899166929
158,ROCK NAME,MGO,K2O,NA2O,,,,,,,,,0.7067617528833455
159,ROCK NAME,MGO,K2O,P2O5,,,,,,,,,0.7064043209876537
160,ROCK NAME,MGO,NA2O,P2O5,,,,,,,,,0.7064288368636189
161,ROCK NAME,MNO,K2O,NA2O,,,,,,,,,0.7062127020974748
162,ROCK NAME,MNO,K2O,P2O5,,,,,,,,,0.7050320731302318
163,ROCK NAME,MNO,NA2O,P2O5,,,,,,,,,0.7048849975679233
164,ROCK NAME,K2O,NA2O,P2O5,,,,,,,,,0.7045209934098812
165,ROCK NAME,SIO2,TIO2,AL2O3,CR2O3,,,,,,,,0.7046876966555672
166,ROCK NAME,SIO2,TIO2,AL2O3,FEOT,,,,,,,,0.704778477233566
167,ROCK NAME,SIO2,TIO2,AL2O3,CAO,,,,,,,,0.7052186496630932
168,ROCK NAME,SIO2,TIO2,AL2O3,MGO,,,,,,,,0.7054119815461032
169,ROCK NAME,SIO2,TIO2,AL2O3,MNO,,,,,,,,0.7058488352605992
170,ROCK NAME,SIO2,TIO2,AL2O3,K2O,,,,,,,,0.7059973453735628
171,ROCK NAME,SIO2,TIO2,AL2O3,NA2O,,,,,,,,0.7061993418582555
172,ROCK NAME,SIO2,TIO2,AL2O3,P2O5,,,,,,,,0.706459386613528
