ROCK NAME,SIO2,CAO,AL2O3,MGO
LHERZOLITE,41.54,1.83,2.14,53.50711
LHERZOLITE,43.9,1,2.28,50.58668
LHERZOLITE,43.4,1.93,2.25,51.4489
LHERZOLITE,42.7,0.72,1.9,51.99655
LHERZOLITE,43.44,1.84,1.9,50.60412
LHERZOLITE,44.17,1.73,1.9,49.90362
LHERZOLITE,43.9,1.62,1.9,51.4014
LHERZOLITE,42.6,0.78,2.09,53.65526
LHERZOLITE,42.8,1.83,1.9,52.79112
LHERZOLITE,44.83,1.8,2.25,47.81
LHERZOLITE,44.81,1.54,2.29,49.54473
LHERZOLITE,44.51,1.22,1.91,50.83443
LHERZOLITE,42.48,1.99,1.91,51.99
LHERZOLITE,45.75,1.61,1.91,49.25342
LHERZOLITE,44.26,0.66,1.92,53.25
LHERZOLITE,43.7,1.73,2.34,49.87042
LHERZOLITE,43.8,2.25,1.94,49.84483
LHERZOLITE,43.98,1.83,2.62,50.60224
LHERZOLITE,43.2,1.82,1.94,52.34395
LHERZOLITE,42.84,1.96,1.95,50.37463
LHERZOLITE,43.44,1.69,2.35,50.05598
LHERZOLITE,40.47,1.58,2.28,53.33567
LHERZOLITE,44.34,1.56,2.33,49.88
LHERZOLITE,44.83,1.89,2.34,49.38
LHERZOLITE,44.2,1.81,1.96,50.77
LHERZOLITE,42.7,1.55,1.96,53.27323
LHERZOLITE,44.56,2.27,1.97,49.7715
LHERZOLITE,43.9,1.96,2.43,50.75597
LHERZOLITE,43.63,1.39,1.98,51.15628
LHERZOLITE,44.15,2.09,1.98,50.26918
LHERZOLITE,44.57,0.96,1.98,49.52
LHERZOLITE,42.74,1.86,2.358,52.67
LHERZOLITE,44.26,2.03,1.99,51.1809
LHERZOLITE,43.99,2.85,2.296,50.48
LHERZOLITE,43.77,1.75,2,51.414372
LHERZOLITE,43.4,1.8,2,51.83546
LHERZOLITE,43.4,1.93,2.35,51.06598
LHERZOLITE,43.68,1.6,2.01,51.91708
LHERZOLITE,43.99,1.73,2.02,50.74989
LHERZOLITE,43.3,2.25,2.03,50.59899
LHERZOLITE,43.17,2.53,2.45,49.05153
LHERZOLITE,44.69,1.75,2.04,50.66
LHERZOLITE,42.62,1.99,2.05,47.30473
LHERZOLITE,44.3,2.09,2.05,48.90321
LHERZOLITE,43.93,1.95,2.05,51.35999
LHERZOLITE,43.94,1.94,2.06,50.81019
LHERZOLITE,44.2,1.98,2.46,50.52334
LHERZOLITE,43.15,2.93,2.08,48.25322
LHERZOLITE,43.69,1.69,2.08,51.1908
LHERZOLITE,43.66,0.09,2.63,52.63233
LHERZOLITE,43.08,1.43,2.09,51.86726
LHERZOLITE,42.45,2.36,2.38,51.03094
LHERZOLITE,42.48,2.38,2.86,51.2476
LHERZOLITE,43.77,2.03,2.457,49.19464
LHERZOLITE,42,0.75,2.1,54.61686
LHERZOLITE,44.92,2.52,2.1,49.87
LHERZOLITE,44.63,2.12,2.5,48.93638
LHERZOLITE,45.51,2.24,2.11,48.86
LHERZOLITE,44.03,1.57,2.59,50.89425
LHERZOLITE,42.71,1.95,2.12,49.82
LHERZOLITE,44.39,2.33,2.12,48.73433
