ROCK NAME,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MGO,CAO,NA2O,K2O,P2O5,MNO,CR2O3
HARZBURGITE,-18.4,127.4,36.59,0.18,2.91,9.95,,1.21,,35.81,0.15,0.02,0.01,0.04,0.07,
HARZBURGITE,-20.7,116.75,36.57,0.19,3.78,4.42,,8.63,,29.23,3.51,0.05,0,0.08,0.17,
PERIDOTITE,-31,122,46.2,0.24,5.3,,,,9.6,33.3,3.6,0.17,0.02,0.03,0.15,0.44
PERIDOTITE,-31,122,48.4,0.33,7.4,,,,9.8,24.9,8,0.24,0.05,0.04,0.18,0.43
PERIDOTITE,-31,122,47.4,0.34,8.4,,,,10.6,24.8,7.4,0.1,0.02,0.04,0.2,0.53
PERIDOTITE,-31,122,47.1,0.27,5,,,,9.9,33.8,3.6,0.02,0.02,0.02,0.14,0.21
HARZBURGITE,-26.1,30.5,42.59,0.22,2.77,,,,10.34,32.12,2.65,0.31,0.03,,0.13,
PERIDOTITE,-31,122,44.02,0.35,6.94,7.25,,3.8,,23.02,7.23,0.97,0.08,0.03,0.19,0.48
PERIDOTITE,-31,122,44.28,0.35,7.4,3.08,,6.5,,24.17,7.01,0.18,0.05,0.05,0.16,0.35
PERIDOTITE,-31,122,43.55,0.27,5.42,4.66,,4.92,,28.22,4.45,0.14,0,0.05,0.16,0.34
PERIDOTITE,-31,122,40.39,0.18,4.16,4.85,,4.14,,33.07,2.18,0.01,0.01,0.01,0.14,0.44
PERIDOTITE,-31,122,41.45,0.21,5.37,4.09,,5.83,,29.36,1.95,0.09,0.01,0.02,0.1,0.45
DUNITE,48.2,-80,37.72,0.13,3.94,,,,9.31,32.46,3.54,0.07,0.06,,,
WEHRLITE,-25.945,30.7283,40.41,0.27,3.41,,,,9.86,31.87,3.85,0.49,0,0.05,0.18,
WEHRLITE,-26,30.5,38.76,0.3,3.89,,,,10.65,30.07,4.12,0.71,0,0.07,0.18,
WEHRLITE,-26,30.5,43.37,0.31,3.56,,,,11.04,23.52,8,1.65,0,0.04,0.19,
PERIDOTITE,58.08,-73,41.36,0.11,2.03,,,,9.02,34.17,1.99,0.1,0.02,0.03,0.14,
PERIDOTITE,58.08,-73,39.82,0.23,4.26,,,,12.78,32.15,1.99,0.04,0,0.17,0.22,
PERIDOTITE,58.08,-73,42.36,0.21,1.88,,,,11.87,39.14,2.88,0.11,0,0.02,0.2,
PERIDOTITE,58.08,-73,41.73,0.19,1.98,,,,12.75,39.53,2.08,0.11,0,0.02,0.2,
DUNITE,57.03,120.72,41.4,0.081,1.31,,,,10.1,46.7,0.14,0.01,0.002,0.04,0.18,
DUNITE,57.03,120.72,41.5,0.07,1.25,,,,10.2,46.3,0.48,0.01,0.002,0.09,0.18,
DUNITE,57.03,120.72,41.8,0.054,1.39,,,,9.19,47.2,0.1,0.01,0.002,0.054,0.16,
PERIDOTITE,57.03,120.72,41.1,0.055,0.91,,,,9.44,47.1,0.06,0.03,0.01,0.016,0.11,
PERIDOTITE,57.03,120.72,41.2,0.076,0.93,,,,9.89,46.4,0.26,0.04,0.01,0.015,0.12,
PERIDOTITE,57.03,120.72,41.7,0.085,1.25,,,,10.1,46.3,0.36,0.02,0.02,0.01,0.18,
PERIDOTITE,57.03,120.72,40.9,0.079,1.25,,,,9.84,47,0.75,0.01,0.004,0.094,0.16,
