ROCK NAME,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MGO,CAO,NA2O,K2O,P2O5,MNO,CR2O3
PERIDOTITE,61.5,-73.7,39.36,0.33,6.14,,,,14.34,24.21,5.29,0.14,0.02,0.02,0.19,
PERIDOTITE,61.5,-73.7,39.1,0.33,6.07,,,,14.7,23.92,5.48,0.17,0.02,0.02,0.18,
PERIDOTITE,61.5,-73.7,40.83,0.35,5.24,,,,14.55,23.97,6.07,0.17,0.03,0.02,0.18,
PERIDOTITE,61.5,-73.7,36.86,0.5,6.96,,,,14.45,17.39,13.49,0.06,0,0.03,0.31,
PERIDOTITE,61.5,-73.7,42.27,0.27,5.6,,,,12.81,24.56,6.83,0.15,0.02,0.02,0.17,
PERIDOTITE,61.5,-73.7,38.37,0.34,5.02,,,,16.91,23.87,4.72,0.15,0.02,0.02,0.18,
PERIDOTITE,61.5,-73.7,42.63,0.38,5.56,,,,12.18,22.06,9,0.23,0.02,0.02,0.18,
PERIDOTITE,61.5,-73.7,40.65,0.39,5.6,,,,15.84,21.45,8.25,0.16,0.02,0.03,0.18,
PERIDOTITE,61.5,-73.7,42.12,0.33,5.38,,,,12.89,22.81,8.39,0.18,0.02,0.01,0.18,
PERIDOTITE,66.78,32,43.87,0.24,1.38,15.71,,,,32.52,11.23,0.17,0.02,0.03,0.32,
HARZBURGITE,20.59,-74.78,38.55,0.006,0.42,,,,7.21,38.01,0.35,0,0,,0.11,
HARZBURGITE,20.59,-74.78,39.23,0.008,0.95,,,,6.84,36.81,0.32,0,0,,0.12,
HARZBURGITE,20.59,-74.78,41.89,0.007,0.85,,,,6.95,37.63,0.48,0,0,,0.13,
HARZBURGITE,20.59,-74.78,36.66,0.005,0.7,,,,6.92,38.26,0.32,0,0,,0.11,
HARZBURGITE,20.59,-74.78,38.02,0.005,0.86,,,,7.24,35.47,0.05,0,0,,0.11,
HARZBURGITE,20.59,-74.78,38.23,0.016,0.7,,,,7.46,40.62,0.28,0,0,,0.11,
HARZBURGITE,20.59,-74.78,37.45,0.006,0.57,,,,7.01,38.24,0,0,0,,0.11,
HARZBURGITE,20.59,-74.78,38.19,0.004,0.34,,,,6.8,39.09,0.17,0,0,,0.11,
HARZBURGITE,20.59,-74.78,39.11,0.002,0.33,,,,6.8,40.34,0.57,0,0,,0.11,
DUNITE,20.59,-74.78,36.81,0.005,0.52,,,,6.91,38.65,0.34,0,0,,0.11,
DUNITE,20.59,-74.78,38.66,0.05,3.09,,,,8.55,35.69,0.8,0,0,,0.13,
DUNITE,20.59,-74.78,38.29,0.06,2.38,,,,8.86,36.31,0.67,0,0,,0.14,
DUNITE,20.59,-74.78,37.01,0.08,1.94,,,,8.02,39.41,1.13,0,0,,0.12,
DUNITE,20.59,-74.78,36.79,0.08,2.57,,,,8.4,39.1,1.86,0,0,,0.13,
DUNITE,20.59,-74.78,34.57,0.02,0.89,,,,7.88,39.64,0.15,0,0,,0.12,
DUNITE,20.59,-74.78,35.86,0.01,0.54,,,,7.42,38.42,0.02,0,0,,0.08,
HARZBURGITE,20.46,-75.7,39.67,0.008,0.52,,,,7.14,37.63,0.03,0,0,,0.08,
HARZBURGITE,20.46,-75.7,39.07,0.006,0.58,,,,7.27,35.46,,0,0,,0.08,
HARZBURGITE,20.46,-75.7,44.63,0.008,0.43,,,,8.1,40.82,0.04,0,0,,0.11,
HARZBURGITE,20.46,-75.7,41.16,0.006,0.44,,,,7.67,35.95,0.07,0,0,,0.09,
HARZBURGITE,20.46,-75.7,39.93,0.004,0.27,,,,7.19,35.4,0.02,0,0,,0.1,
HARZBURGITE,20.46,-75.7,39.39,0.003,0.19,,,,7.14,35.23,0.17,0,0,,0.11,
HARZBURGITE,20.46,-75.7,39.24,0.003,0.17,,,,7.71,33.71,0.04,0,0,,0.11,
HARZBURGITE,20.46,-75.7,39.71,0.004,0.12,,,,7.23,36.13,0.06,0,0,,0.11,
DUNITE,20.46,-75.7,39.33,0.004,0.05,,,,6.66,36.55,0.01,0,0,,0.09,
DUNITE,20.46,-75.7,39.62,0.005,0,,,,8.31,33.84,0.02,0,0,,0.11,
WEHRLITE,20.59,-74.78,38.39,0.11,3.05,,,,15.32,30.78,2.84,0.06,0,,0.22,
WEHRLITE,20.59,-74.78,38.13,0.06,6.53,,,,7.08,36.25,2.53,0.07,0,,0.12,
LHERZOLITE,42,143,44.95,0.02,1.8,,,,8,41.99,1.88,0.06,0,0,0.13,0.28
LHERZOLITE,42,143,43.95,0.13,3.53,0.99,,7.24,,39.01,3.04,0.31,0.01,0.01,0.13,0.37
WEHRLITE,-49.7114,70.0801,43.77,1.33,6.17,,,,12.65,26.79,6.15,0.82,0.42,0.17,0.19,
WEHRLITE,-49.7114,70.0801,44.93,0.84,6.55,,,,12.08,23.27,9.59,0.74,0.37,0.07,0.19,
WEHRLITE,-49.7114,70.0801,43.34,0.71,5.62,,,,13.08,27.76,6.72,0.55,0.23,0.08,0.2,
WEHRLITE,-49.7114,70.0801,44.15,0.93,5.25,,,,13.78,24.41,8.88,0.54,0.14,0.08,0.21,
HARZBURGITE,43.8576,103.073,40.92,0.01,0.53,,,,7.02,38.13,0.12,0,0.01,0,0.12,
HARZBURGITE,44.4354,100.749,42.77,0.03,1.67,,,,6.96,36.94,0.03,0,0.01,0,0.15,
PERIDOTITE,47.5922,86.6405,42.06,0.01,0.67,,,,9.08,41.96,0.78,0.04,,0,0.12,
PERIDOTITE,69.39,30.23,38.35,0.69,2.25,,,,11.94,33.76,0.84,0,0.04,0.09,0.19,
PERIDOTITE,69.39,30.23,43.46,1.54,5.08,,,,16.38,27.01,2.87,0,0.13,0.18,0.23,
PERIDOTITE,69.39,30.23,41.81,1.51,4.72,,,,16.91,25.18,4.27,0.3,0.05,0.16,0.22,
PERIDOTITE,69.39,30.23,43.16,1.46,5.02,,,,14.88,23.29,5.05,0.28,0.01,0.15,0.17,
PERIDOTITE,69.42,30.32,38.45,1.2,3.68,4.68,,11.55,15.76,27.27,1.03,0,0.01,0.11,0.18,
PERIDOTITE,69.42,30.32,34.69,1.68,4.68,6.74,,12.79,18.85,26.5,0.89,0,0.01,0.16,0.25,
PERIDOTITE,69.43,30.23,37.27,0.9,3.11,,,,14.15,29.69,2.86,0,0.06,0.12,0.17,
PERIDOTITE,69.43,30.43,39.85,0.84,2.89,,,,15.37,33.48,2.83,0,0.16,0.1,0.19,
PERIDOTITE,69.43,30.43,36.72,0.82,2.68,,,,15.4,30.46,2.83,0.1,0.26,0.22,0.2,
PERIDOTITE,69.43,30.43,36.31,0.96,2.74,,,,16.5,28.92,2.06,0,0.09,0.1,0.21,
PERIDOTITE,69.43,30.43,40.62,3.18,4.8,,,,14.99,10.8,14.58,0.46,0.01,0.17,0.18,
PERIDOTITE,69.48,30.75,37.16,0.74,2.14,,,,17.02,33.87,2.35,0.19,0.11,0.06,0.2,
PERIDOTITE,69.48,30.75,37.62,0.64,2.29,,,,16.54,33.3,2.13,0.1,0.12,0.05,0.2,
PERIDOTITE,69.48,30.75,36.08,0.66,2.56,,,,18.14,31.03,2.98,0.14,0.22,0.04,0.21,
PERIDOTITE,69.48,30.75,36.092,0.736,2.562,,,,20.548,30.807,3.049,0.145,0.204,0.043,0.21,
PERIDOTITE,69.43,30.43,36.115,0.825,2.583,,,,17.135,30.894,2.471,0.074,0.191,0.111,0.19,
PERIDOTITE,69.39,30.23,43.46,1.54,5.08,,,,16.38,27.01,2.87,0.12,0.13,0.18,0.3,
PERIDOTITE,69.4,30.6,47.13,2.05,6.81,,,,16.99,16.33,9.54,0.17,0.25,0.23,0.23,
PERIDOTITE,69.5,30.8,42.48,2.29,6.02,,,,16.26,19.33,8.06,1.43,0.73,0.21,0.21,
PERIDOTITE,69.5,30.8,42.629,2.559,6.288,,,,17.392,17.984,9.183,1.532,0.623,0.212,0.22,
PERIDOTITE,69.5,30.8,44.056,1.527,6.325,,,,15.92,18.964,7.623,1.564,0.976,0.24,0.22,
WEHRLITE,69.48,30.75,,,4.49,,,,,27.55,,,,0.1,,
WEHRLITE,69.48,30.75,,,3.66,,,,,29.47,,,,0.12,,
WEHRLITE,69.48,30.75,,,5.21,,,,,27.12,,,,0.15,,
WEHRLITE,69.48,30.75,,,2.29,,,,,34.98,,,,0,,
DUNITE,69.42,30.32,,,3.67,,,,,29.6,,,,0.13,,
DUNITE,69.42,30.32,,,3.78,,,,,31.8,,,,0.11,,
DUNITE,69.42,30.32,,,4.52,,,,,27.6,,,,0.14,,
DUNITE,69.42,30.32,,,1.84,,,,,22.15,,,,0.06,,
DUNITE,69.42,30.32,,,1.52,,,,,24.12,,,,0.05,,
WEHRLITE,69.2,31,,,,,,,,36.35,,,,,,
WEHRLITE,69.4,30,38.42,1.01,3.68,6.28,,9.68,,27.06,3.08,0.1,0.13,,0.16,0.44
HARZBURGITE,12.7165,-90.932,37.81,0.01,1.59,,,,6.66,37.29,0.12,0.06,0.01,,0.14,
HARZBURGITE,12.8057,-90.6965,37.04,0.02,0.6,,,,7.43,36.68,0.72,0.09,0.02,,0.16,
HARZBURGITE,12.7985,-90.6998,37.45,0.02,0.62,,,,6.79,34.58,1.87,0.25,0.02,,0.14,
HARZBURGITE,12.7985,-90.6998,36.17,0.02,0.51,,,,7.4,37.71,0.66,0.1,0.01,,0.13,
HARZBURGITE,12.814,-90.6922,36.76,0.01,0.58,,,,7.61,36.5,0.79,0.08,0.01,,0.15,
HARZBURGITE,12.814,-90.6922,36.65,0.02,0.72,,,,7.38,36.57,0.96,0.06,0,,0.15,
WEHRLITE,69.25,88,40,0.71,10.37,5.03,,9.68,,20.24,6.86,0.87,0.52,,0.18,0.38
WEHRLITE,69.25,88,39.53,0.56,8.97,4.41,,10.67,,20.81,6.71,0.68,0.57,,0.21,0.07
WEHRLITE,63.6,34.8,39.03,0.33,4.17,5.1,,7,,30.79,2.66,0.13,0.11,,0.18,0.62
LHERZOLITE,63.6,34.8,43.11,0.31,5.2,3.86,,8.25,,28.65,3.58,0.41,0.41,,0.19,0.5
DUNITE,28.67,-17.9,37.65,0.57,2.19,5.06,,8.58,,29.18,6.36,0.09,0.06,0.08,0.18,
LHERZOLITE,25.72,109.87,47.89,0.54,11.24,1.98,,7.74,,15.8,7.78,0.61,0.63,0.14,0.15,
PERIDOTITE,69.33,30.05,33.35,0.92,2.88,7.53,,6.7,,28.81,1.12,0.09,0.05,0.15,0.14,
PERIDOTITE,69.42,30.6,42.24,0.25,3.33,3.46,,4.71,,34.61,2.31,,,0.04,0.15,
PERIDOTITE,69.4,30,41.92,0.92,3.06,4.27,,12.76,,20.6,11.18,,,,0.2,
PERIDOTITE,69.4,30,18.58,6,4.63,22.32,,24.19,,17.25,0.9,1.09,0.19,,0.13,
PERIDOTITE,69.42,30.32,37.17,1.02,3.63,8.9,,5.95,,30.96,2.81,0.25,0.31,0,0.13,
PERIDOTITE,69.3,29.8,36.15,0.89,1.62,9.18,,7.05,,32.36,3.26,0,0.52,0.17,,
PERIDOTITE,69.39,30.83,39.47,1.36,3.12,8.08,,10.65,,22.95,6.33,0.04,0.59,0.12,,
PERIDOTITE,69.42,30.6,33.8,1.37,4.57,,,11.32,16.4,23.3,3,,,,,
PERIDOTITE,69.42,30.6,36.9,1.13,3.18,7.6,,10.2,,26.7,2.6,,,,0.27,
PERIDOTITE,68.93,29.95,38.59,1.28,5.14,5.15,,11.52,,25.01,4.43,0.16,0,,0.17,0.37
PERIDOTITE,68.93,29.95,23.72,0.55,3.92,7.67,,25.55,,20.75,1.44,0.16,0,,0.14,0.23
PERIDOTITE,68.93,29.95,34.78,0.77,3.22,8.72,,6.58,,30.36,2.8,0.2,0,,0.12,0.48
PERIDOTITE,68.93,29.95,22,0.44,2.02,,,,27.83,19.44,0.6,0.11,0,,0.18,
PERIDOTITE,68.93,29.95,39.12,1.2,4.86,8.42,,8.47,,24.14,4.96,1.18,0.16,,0.21,0.22
DUNITE,50.7,14.92,33.11,2.57,6.85,8.2,,9.45,,24.37,5.72,0.31,1.87,0.46,0.31,0.07
LHERZOLITE,69.3962,30.6087,41.86,2.31,8.81,10.44,,6.24,,17.52,3.29,0.1,0.26,0.21,0.19,
PERIDOTITE,69.3962,30.6087,37.85,1.01,3.67,7.51,,10.38,,26.17,3.2,0.17,0.11,0.15,0.2,
LHERZOLITE,69.3962,30.6087,43.47,2.27,6.33,1.87,,14.82,,18.38,5.14,0.48,0.08,0.34,0.19,
LHERZOLITE,69.3962,30.6087,42.99,2.28,7.07,4.44,,12.25,,18.12,4.58,0.37,0.14,0.3,0.19,
PERIDOTITE,48.78,-85.03,39.19,0.836,3.01,,,,17.61,26.87,5.2,0.043,0.02,0.072,0.2473,
PERIDOTITE,48.78,-85.03,38.89,0.3504,4.44,,,,14.11,28.4,3.49,0.044,0.02,0.05,0.1975,
DUNITE,3,-78.32,41.88,0.22,5.03,12.46,,,11.2,35.41,4.67,0.13,0.01,0.01,0.18,
WEHRLITE,3,-78.32,43.03,0.29,6.9,12.73,,,11.45,29.63,7.21,,,0.01,0.19,
PERIDOTITE,-43.5,170,38.4,3.65,9.67,6.66,,7.39,,12.79,12.99,1.62,2.06,1.02,0.21,
PERIDOTITE,-43.5,170,35,3.3,7.5,8.12,,6.5,,18.4,10.7,2,1.86,0.64,0.17,
PERIDOTITE,-43.5,170,33.6,3.69,8.54,9.4,,7.4,,11.9,13.4,2.34,2.64,1.73,0.22,
PERIDOTITE,-43.5,170,37.7,2.36,9.2,6.24,,6,,12.6,12.3,4.02,2.01,0.95,0.27,
WEHRLITE,64.3047,29.0505,34.44,0.146,3.41,,,,8.89,30.44,4.84,0.007,0,0.015,0.193,
WEHRLITE,64.304,29.0531,38.92,0.18,3.82,,,,9.92,32.77,1.07,0.007,0,0.016,0.115,
WEHRLITE,64.3038,29.0545,40.69,0.138,3.39,,,,8.22,34.2,0.63,0,0.01,0.007,0.121,
WEHRLITE,64.2753,29.0678,43.17,0.093,5.39,,,,9.87,26.45,5.67,0.01,0.01,0.004,0.172,
WEHRLITE,64.2728,29.0764,46.5,0.748,4.39,,,,11.2,21.6,10.8,0.12,0.036,0.062,0.164,
WEHRLITE,64.2487,29.0291,40.74,0.093,2.1,,,,8.62,32.15,3.44,0,0,0.01,0.154,
WEHRLITE,64.2486,29.0291,41.92,0.129,2.17,,,,7.95,28.91,7.07,0.02,0.01,0.007,0.162,
WEHRLITE,64.2486,29.0294,41.56,0.144,2.84,,,,9.35,27.77,7.22,0.03,0.01,0.011,0.219,
WEHRLITE,64.2484,29.0295,45.37,0.178,2.76,,,,6.88,25.54,11.42,0.07,0,0.009,0.179,
WEHRLITE,64.2483,29.0303,40.6,0.155,3.94,,,,10.57,28.8,4.55,0,0,0.008,0.194,
WEHRLITE,64.2482,29.0305,42.7,0.253,3.68,,,,10.95,26.66,6.09,0.03,0.01,0.016,0.209,
WEHRLITE,64.2481,29.0305,42.56,0.216,3.95,,,,11.14,26.21,6.74,0.01,0.01,0.016,0.199,
WEHRLITE,64.248,29.0306,42.63,0.305,3.41,,,,12.03,26.6,5.89,0.02,0.01,0.019,0.214,
WEHRLITE,64.2478,29.0489,40.28,0.213,4.28,,,,8.73,32.26,1.73,0.01,0.01,0.017,0.133,
WEHRLITE,64.237,29.0854,36.72,0.115,3.12,,,,9.4,32.3,0.81,0,0,0.007,0.118,
WEHRLITE,64.2842,29.0835,36.66,0.067,1.52,,,,10.65,30.35,1.52,0.01,0,0.008,0.271,
WEHRLITE,64.2371,29.0856,40,0.135,3.1,,,,9.35,32.6,2.52,0,0.002,0.007,0.168,
WEHRLITE,64.2378,29.0841,32.33,0.131,3.11,,,,7.71,31.83,3.88,0.007,0,0.013,0.171,
WEHRLITE,64.2434,29.0248,35.3,0.104,1.68,,,,12.59,34.9,0.08,0,0.01,0.006,0.167,
WEHRLITE,64.2453,29.0244,38.95,0.06,2.28,,,,6.25,34.29,1.18,0,0,0.005,0.085,
WEHRLITE,64.2469,29.0291,40.77,0.206,2.72,,,,12,29.47,4.64,0,0.01,0.013,0.191,
WEHRLITE,64.2467,29.0411,37.59,0.052,1.23,,,,9.67,36.69,0.53,0.007,0,0.011,0.154,
WEHRLITE,64.2488,29.0298,40.83,0.153,2.93,,,,13.11,28.25,5.22,0.03,0,0.012,0.2,
DUNITE,64.2495,29.038,34.08,0.002,0.27,,,,7.09,39.82,0.01,0,0,0.001,0.135,
WEHRLITE,64.2506,29.0525,40.56,0.155,3.45,,,,9.24,32.24,0.99,0,0.01,0.015,0.118,
DUNITE,64.2626,29.0455,37.62,0.036,1.31,,,,6.05,38.97,0.02,0.007,0,0.005,0.122,
DUNITE,64.2722,29.0462,38.96,0.089,1.89,,,,8.35,37.35,0.21,0.01,0,0.007,0.11,
DUNITE,64.2724,29.0509,36,0.022,0.87,,,,8.19,37.08,0.47,0.03,0,0.002,0.196,
WEHRLITE,64.2721,29.0594,42.06,0.157,4.06,,,,9.05,31.52,2.14,0.007,0.01,0.015,0.154,
WEHRLITE,64.275,29.0612,44.45,0.082,3.22,,,,8.87,29.52,3.57,0.01,0.01,0.007,0.167,
DUNITE,64.2757,29.0532,39.84,0.111,2.35,,,,7.66,36.7,0.7,0,0,0.005,0.145,
WEHRLITE,64.2773,29.0588,39.83,0.192,3.72,,,,9.31,32.49,2.93,0.01,0.01,0.016,0.168,
WEHRLITE,64.2825,29.0546,43.29,0.255,6.05,,,,10.15,26.31,4.92,0.09,0.02,0.018,0.178,
DUNITE,64.2855,29.0582,38.99,0.118,2.19,,,,9.83,35.78,0.41,0,0,0.009,0.155,
DUNITE,64.2887,29.0617,36.64,0.049,1.05,,,,11.43,37.29,0.02,0,0,0.01,0.256,
DUNITE,64.2913,29.0773,39.37,0.089,1.92,,,,9.84,34.14,2.59,0,0,0.008,0.148,
DUNITE,64.2934,29.0698,36.75,0.065,1.24,,,,10.1,37,0.04,0,0,0.01,0.113,
DUNITE,64.2581,29.0457,35.8,0.019,0.71,,,,8.05,38.95,0.02,0.007,0,0.004,0.132,
DUNITE,64.251,29.0969,29.99,0.002,0.1,,,,5.6,36.96,0.03,0,0,0.001,0.104,
DUNITE,64.2504,29.0782,37.58,0.097,1.62,,,,11.37,35.57,0.67,0,0.01,0.011,0.16,
WEHRLITE,64.2532,29.0568,41.03,0.108,1.79,,,,8.84,31.8,4.3,0.007,0,0.004,0.166,
DUNITE,64.2578,29.0493,37.11,0.027,0.76,,,,6.25,39.66,0.03,0.02,0,0.004,0.101,
WEHRLITE,64.2546,29.0646,42.32,0.112,1.97,,,,10.91,26.49,8.31,0,0.01,0.005,0.162,
DUNITE,64.2566,29.0618,36.56,0.056,1.26,,,,8.57,37.52,0.56,0.007,0,0.008,0.186,
DUNITE,64.2597,29.0567,34.02,0.017,0.55,,,,6.17,39.26,0.05,0.007,0,0,0.151,
WEHRLITE,64.2654,29.0562,39.47,0.076,1.55,,,,11.4,34,0.52,0.007,0,0.01,0.195,
DUNITE,64.2687,29.0667,37.84,0.06,1.38,,,,8.39,37.48,0.02,0.01,0,0.005,0.163,
DUNITE,64.2594,29.1007,39.26,0.051,1.59,,,,6.08,36.75,1.29,0.007,0,0.006,0.181,
WEHRLITE,64.26,29.1103,46.7,0.691,4.16,,,,11.8,23.6,9.23,0,0.019,0.052,0.189,
WEHRLITE,64.2621,29.1106,47.7,0.692,3.98,,,,8.76,17.9,14.7,0.2,0.089,0.042,0.215,
WEHRLITE,64.2641,29.1149,38.54,0.095,1.93,,,,11.05,35.06,0.23,0.007,0,0.009,0.108,
DUNITE,64.2659,29.093,38.78,0.096,2.21,,,,11.34,34.91,0.02,0.007,0,0.006,0.146,
WEHRLITE,64.2704,29.0712,40.75,0.14,3.59,,,,9.04,33.13,0.46,0,0,0.011,0.129,
DUNITE,64.2703,29.0917,36.81,0.025,0.92,,,,6.76,39.1,0.02,0.007,0,0.003,0.156,
WEHRLITE,64.2725,29.0906,43.45,0.064,1.51,,,,9.78,31.25,2.9,0.02,0.01,0.006,0.179,
WEHRLITE,64.2731,29.0762,41.39,0.662,3.69,,,,13.61,27.46,4.42,0.12,0.03,0.054,0.185,
WEHRLITE,64.2763,29.0734,38.23,0.132,2.59,,,,12.55,32.24,2.2,0,0,0.012,0.227,
WEHRLITE,64.278,29.0765,38.88,0.169,2.45,,,,12.26,32.52,1.12,0,0,0.011,0.189,
WEHRLITE,64.2776,29.0933,43.27,0.181,4.65,,,,8.5,29.03,4.22,0,0.01,0.017,0.139,
DUNITE,64.2747,29.1106,34.31,0.06,1.42,,,,5.59,34.54,0.05,0.1,0.01,0.012,0.111,
WEHRLITE,64.2774,29.1116,40.43,0.188,3.67,,,,9.86,32.18,1.6,0.01,0,0.019,0.206,
WEHRLITE,64.2794,29.1178,41.53,0.224,4.91,,,,8.5,29.4,5.23,0.02,0.01,0.022,0.165,
DUNITE,64.2823,29.1157,37.03,0.044,1.25,,,,8.79,37.52,0.06,0.01,0,0.004,0.149,
DUNITE,64.2847,29.1086,35.79,0.052,1.28,,,,7.14,38.2,0.04,0,0,0.005,0.159,
WEHRLITE,64.2822,29.0869,46.2,0.152,4.24,,,,7.52,23.9,9.53,0,0.008,0.016,0.153,
WEHRLITE,64.2701,29.1086,48.9,0.836,5.16,,,,10.6,17,11.9,0.7,0.403,0.07,0.196,
WEHRLITE,64.2847,29.0844,47.3,0.894,5.28,,,,11.5,17.9,10.4,0.37,0.214,0.066,0.205,
WEHRLITE,64.2495,29.0811,41.52,0.265,4.3,,,,10.23,29.38,3.06,0.04,0.02,0.027,0.2,
WEHRLITE,64.2501,29.1086,41.06,0.179,4.57,,,,9.72,30.3,3.02,0.01,0.01,0.01,0.172,
WEHRLITE,64.3049,29.0498,39.15,0.175,3.18,,,,9.77,33.02,0.98,0.007,0,0.009,0.115,
DUNITE,66.5276,29.2508,33.9,0.14,3.11,,,,11.2,33.9,1.89,,0.1,0.02,0.22,
PERIDOTITE,63.1283,-50.6125,48.6,0.33,3.4,,,,11.7,19.4,14.5,0.5,0.1,0.02,0.2,
PERIDOTITE,63.1289,-50.6103,45.7,0.21,8.2,,,,11.25,25.6,6.7,0.7,0.2,0.01,0.2,
PERIDOTITE,63.1383,-50.6133,46.2,0.21,13,,,,8.19,19.9,10,1.1,0.3,0.02,0.1,
PERIDOTITE,63.1286,-50.6117,41.5,0.07,4.5,,,,15.03,33.2,3.5,0.2,0,0,0.3,
PERIDOTITE,63.1289,-50.6111,45.2,0.24,1.5,,,,14.13,27.1,9.8,0.2,0,0.02,0.3,
PERIDOTITE,63.0051,49.4751,44.3,0.28,3.1,,,,17.37,27.1,5,0.3,0.1,0.02,0.3,
PERIDOTITE,63.1289,-50.6103,52,0.31,6.2,,,,8.73,21.1,8.2,0.6,1.7,0.03,0.2,
PERIDOTITE,63.1367,-50.6144,44.9,0.17,10,,,,12.51,21.5,8,1,0.1,0.01,0.2,
PERIDOTITE,63.1283,-50.6125,41.5,0.08,4.3,,,,15.12,33.4,3.5,0.1,0,0.01,0.2,
DUNITE,72,101,41.21,0.49,0.67,,,,9.42,46.46,1.46,0.08,0.15,0.03,0.17,
DUNITE,72,101,40.78,0.52,0.7,,,,11.28,45.78,1.31,0.07,0.15,0.05,0.19,
DUNITE,72,101,39.09,0.46,0.61,,,,10.58,44.44,1.07,0.04,0.15,0.04,0.17,0.587
PERIDOTITE,-3.85,-32.42,44.9,2.64,12.26,,,,11.16,10.45,10.93,3.08,1.13,0.65,0.16,
WEHRLITE,-33.6472,147.408,47.55,0.6,5.52,,,,12.26,15.38,16.48,0.49,0.1,0.02,0.24,
DUNITE,-0.23,-78.05,40.7,0.03,1.6,,,,9.58,45.79,1.07,0,0.01,0.01,0.17,
WEHRLITE,-0.23,-78.05,47.01,0.1,8.39,,,,6.66,24.22,12.39,0.32,0.01,0,0.14,
WEHRLITE,-0.23,-78.05,46.9,0.09,7.85,,,,6.97,25.08,11.91,0.26,0.01,0,0.14,
WEHRLITE,-0.23,-78.05,44.53,0.06,6.81,,,,9.15,30.59,7.51,0.14,0.02,0,0.17,
WEHRLITE,-0.23,-78.05,42.82,0.04,7.34,,,,8.62,32.76,7.3,0,0,0.01,0.15,
WEHRLITE,-0.23,-78.05,42.96,0.04,6.55,,,,11.41,32.55,6.12,0.08,0.01,,0.16,
WEHRLITE,11.5,-12.5,43.22,0.4,4.61,,,,13.07,34.18,3.35,0.59,0.21,0.17,0.2,
WEHRLITE,11.5,-12.5,41.48,0.17,2.67,,,,14.78,37.7,2.62,0.21,0.02,0.12,0.21,
DUNITE,9.77,-13.45,41.07,0.09,0.74,,,,16.34,41.37,0.1,0.01,0.02,0,0.25,
WEHRLITE,9.77,-13.45,42.11,0.39,3.8,,,,16.24,33.38,3.07,0.55,0.17,0.04,0.24,
PERIDOTITE,26.7,102.2,43.47,1.38,5.88,4.04,,8.28,,24.52,3.98,0.22,0.85,0.13,0.16,
PERIDOTITE,26.7,102.2,38.89,1.12,5.2,9.18,,8.26,,23.18,3.39,0.07,0.72,0.11,0.13,
PERIDOTITE,26.7,102.2,38.12,1.12,5.18,9.3,,8.87,,22.8,3.52,0.09,0.92,0.12,0.13,
PERIDOTITE,26.7,102.2,35.58,1.04,5.23,8.97,,8.78,,22.66,3.71,0.1,0.92,0.12,0.12,
PERIDOTITE,26.7,102.2,43.27,1.32,6.2,4.13,,7.92,,24.68,4.82,0.08,1.07,0.13,0.14,
PERIDOTITE,26.7,102.2,41.49,1.16,5.29,6.37,,7.38,,24.75,4.05,0.37,0.93,0.12,0.15,
PERIDOTITE,26.7,102.2,42.57,1.21,5.63,5,,8.5,,24.52,3.59,0.21,0.92,0.1,0.15,
PERIDOTITE,26.7,102.2,45.35,1.65,5.77,2.54,,9.18,,20.94,7.28,0.38,0.58,0.14,0.12,
PERIDOTITE,26.7,102.2,43.57,1.29,6.02,2.43,,9.57,,25.74,5.71,0.81,0.66,0.12,0.14,
PERIDOTITE,26.5,101.7,41.76,1.62,2.99,6.3,,10.71,,23.3,7.8,0.37,0.18,0.06,0.2,
PERIDOTITE,26.5,101.7,40.55,2.81,3.51,4.25,,13.47,,22.57,9.62,0.32,0.15,0.03,0.25,
PERIDOTITE,26.5,101.7,43.07,3.96,4.78,3.81,,11.26,,17.96,12.24,0.42,0.29,0.04,0.22,
PERIDOTITE,26.5,101.7,41.73,2.14,6.56,4.91,,11.51,,17.06,9.05,0.4,0.86,0.18,0.2,
PERIDOTITE,26.5,101.7,40.68,1.82,3.66,6.6,,11.44,,23.69,7.41,0.27,0.29,0.12,0.21,
WEHRLITE,13,-12,40.84,0.37,4.38,14.86,,,,28.84,4.59,0.06,0.05,0.03,0.21,
LHERZOLITE,13,-12,38.95,0.3,3.28,12.78,,,,32.67,2.13,0,0.01,0,0.2,
PERIDOTITE,50,100,38.75,2.26,8.65,,,,20.72,17.9,3.24,1.31,0.94,0.34,0.24,
PERIDOTITE,21.2722,104.248,40,0.19,2.75,,,,6.67,39,0.7,0.31,0.64,0.08,0.1,
WEHRLITE,52,85.5,41.59,0.1,1.89,,,,11.5,34.99,6.94,0,0.16,0.12,0.18,
DUNITE,52,85.5,39.26,0.12,2.8,,,,9.78,30.09,7.33,0,0.18,0.14,0.17,
WEHRLITE,52,85.5,40.69,0.09,2.21,,,,11.91,33.99,6.97,0,0.1,0.15,0.18,
WEHRLITE,52,85.5,39.61,0.14,3.01,,,,11.08,30.72,6.98,0,0.22,0.12,0.17,
WEHRLITE,52,85.5,40.76,0.12,2.07,,,,10.15,31.55,8.12,0,0.18,0.14,0.17,
WEHRLITE,52,85.5,40.33,0.11,2.73,,,,11.71,33.94,5.02,0.05,0.33,0.06,0.18,
WEHRLITE,52,85.5,40.08,0.12,2.43,,,,12.31,34.45,5.4,0,0.29,0.16,0.18,
