ROCK NAME,SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5
HARZBURGITE,38.17,0,0.74,0.36,6.05027,0.07,36.59,0.1,0.01,0.09,0
HARZBURGITE,34.14,0,0.85,0.41,7.78534,0.02,39.32,0.14,0.01,0.09,0
HARZBURGITE,38.19,0,1.1,0.19,6.17964,0,38.07,0.07,0.02,0.14,0
HARZBURGITE,43.19,0,2.26,0.25,8.33022,0.76,43.55,0.12,0.06,0.19,0
HARZBURGITE,43.81,0.014,0.85,0.315,6.55,0.57,47.86,0.108,0.09,0,0.001
HARZBURGITE,43.39,0.009,0.42,0.346,8.22,0.54,46.02,0.13,0,0.001,0.002
HARZBURGITE,43.63,0.01,0.5,0.268,7.83,0.55,46.54,0.123,0,0.003,0.002
HARZBURGITE,45.25,0.01,0.75,0.484,8.07,0.9,43.73,0.131,0,0.004,0.002
HARZBURGITE,43.8,0.01,0.41,0.384,8.25,0.83,45.74,0.131,0,0.006,0.002
HARZBURGITE,43.75,0.009,0.5,0.391,8.15,0.71,45.77,0.134,0,0.007,0.002
HARZBURGITE,43.51,0.009,0.62,0.45,8.22,0.55,46.05,0.128,0,0.007,0.002
HARZBURGITE,43.35,0.009,0.5,0.452,8.2,0.58,46.19,0.131,0,0.009,0.002
HARZBURGITE,44.24,0.008,0.62,0.404,7.92,0.87,45,0.13,0,0.01,0.002
HARZBURGITE,44.12,0.009,0.55,0.425,8.13,0.89,45.37,0.131,0,0.01,0.002
HARZBURGITE,43.65,0.008,0.44,0.47,8.13,0.53,46.21,0.127,0,0.012,0.002
HARZBURGITE,43.97,0.008,0.52,0.483,7.55,0.73,46.2,0.13,0,0.013,0.002
HARZBURGITE,44.21,0.009,0.63,0.468,7.98,1.28,44.82,0.13,0,0.014,0.002
HARZBURGITE,43.65,0.008,0.5,0.392,8.11,0.71,45.56,0.136,0,0.019,0.002
HARZBURGITE,44.91,0.009,0.63,0.413,8.02,0.86,44.56,0.131,0,0.022,0.002
HARZBURGITE,44.55,0.008,0.85,0.555,7.92,0.84,44.47,0.13,0,0.025,0.002
HARZBURGITE,44.85,0.009,0.78,0.693,7.74,0.91,44.5,0.131,0,0.025,0.002
HARZBURGITE,43.85,0.012,0.53,0.452,8.12,0.64,45.9,0.132,0,0.026,0.002
HARZBURGITE,43.67,0.01,0.48,0.422,8.24,0.6,45.97,0.133,0,0.03,0.002
HARZBURGITE,43.76,0.095,0.77,0.427,7.28,0.73,46.37,0.118,0.12,0.04,0.002
HARZBURGITE,43.14,0.037,0.27,0.164,7.52,1.14,47.47,0.108,0.18,0.05,0.002
HARZBURGITE,43.55,0.023,0.88,0.341,6.57,0.63,47.71,0.108,0.09,0,0.003
HARZBURGITE,43.24,0.036,0.27,0.168,7.56,1.14,47.54,0.108,0.17,0.05,0.003
HARZBURGITE,46.26,0.012,1.57,0.332,6.03,0.72,44.18,0.104,0.05,0,0.004
HARZBURGITE,42.36,0.02,1.03,0.41,8.45436,0.64,44.8,0.13,0.06,0.09,0.004
HARZBURGITE,45.16,0.018,0.98,0.519,7.18,1.04,44.55,0.14,0.08,0,0.005
HARZBURGITE,42.65,0.026,0.09,0.152,7.39,0.27,48.59,0.111,0.04,0,0.006
HARZBURGITE,42.12,0.071,1.42,0.445,7.45,0.83,46.81,0.129,0.19,0.03,0.006
HARZBURGITE,43.21,0.022,0.91,0.401,7.29,0.59,47.16,0.119,0.2,0.04,0.007
HARZBURGITE,44.06,0.02,1.27,0.35,7.62352,1.23,44.01,0.13,0.004,0.06,0.009
HARZBURGITE,44.58,0.028,0.91,0.326,6.56,0.94,46.13,0.109,0.2,0.1,0.009
HARZBURGITE,42.55,0.01,0.45,0.2,8.53151,0.68,45.12,0.14,0,0,0.01
HARZBURGITE,43.32,0.01,0.6,0.32,7.92,0.54,46.91,0.13,0.01,0,0.01
HARZBURGITE,42.92,0.02,0.53,0.39,8.02807,0.6,46.2,0.13,0,0,0.01
HARZBURGITE,43.56,0.02,0.45,0.55,7.83928,0.72,44.93,0.13,0,0,0.01
HARZBURGITE,43.87,0.04,0.49,0.305,7.79,1.06,46.29,0.115,0.1,0.03,0.01
HARZBURGITE,43.9,0.01,1.4,0.41,7.81,1.1,44.77,0.12,0.08,0.03,0.01
HARZBURGITE,44.32,0.03,0.72,0.46,7.79,0.5,45.29,0.12,0.01,0.05,0.01
HARZBURGITE,44.06,0.04,1.12,0.34,7.47968,0.85,44.84,0.12,0,0.07,0.01
HARZBURGITE,43.32,0.01,0.57,0.37,7.87,0.37,46.5,0.12,0.01,0.07,0.01
HARZBURGITE,42.33,0.05,1.77,0.28,9.11586,0.9,44.22,0.14,0,0.08,0.01
HARZBURGITE,35.69,0,0,0.07,6.08623,3.52,35.88,0.1,0,0.09,0.01
HARZBURGITE,42.86,0.03,0.5,0.33980782,9.313056365,0.71,45.31,0.16,0.04,0.1,0.01
HARZBURGITE,42.31,0.01,0.36,0.77,8.45,0.36,47.84,0.15,0.01,0.11,0.01
HARZBURGITE,43.29,0.07,0.64,0.340131333,9.645986883,0.84,44.1,0.17,0.06,0.12,0.01
HARZBURGITE,43.19,0.033,0.68,0.326,6.63,0.32,48.19,0.096,0.11,0.03,0.011
HARZBURGITE,43.18,0.109,0.55,0.344,8.02,1.05,46.33,0.118,0.13,0.07,0.011
HARZBURGITE,43.41,0.037,1,0.42,7.39,0.6,46.91,0.118,0.32,0.07,0.011
HARZBURGITE,42.85,0.05,1.58,0.39,8.46143,1.37,43.45,0.13,0.01,0.1,0.011
HARZBURGITE,44.85,0.138,1,0.643,8.04,1.08,44.13,0.155,0.13,0.1,0.011
HARZBURGITE,43.19,0.082,1.43,0.437,7.74,1.27,45.64,0.123,0.26,0.06,0.014
HARZBURGITE,44.4,0.09,5.34,1.52,6.14304,7.27,32.7,0.11,0.005,0.57,0.014
HARZBURGITE,44.17,0.146,1.12,0.772,7.65,1.26,44.45,0.133,0.14,0.09,0.015
HARZBURGITE,43.45,0.115,0.44,0.364,7.9,0.89,46.64,0.117,0.13,0.07,0.016
HARZBURGITE,44.03,0.098,1.5,0.48,7.69,1.53,44.45,0.126,0.13,0.05,0.019
HARZBURGITE,43.64,0.03,1.03,0.41,8.18,0.75,45.6,0.13,0.02,0,0.02
HARZBURGITE,44.4,0.02,0.78,0.53,7.87524,0.52,44.64,0.13,0,0,0.02
HARZBURGITE,42.79,0.04,0.71,0.296170329,7.306475139,0.81,46.74,0.13,0.02,0.04,0.02
HARZBURGITE,42.59,0.08,0.75,0.33,5.86809,0.92,47.01,0.1,0.05,0.06,0.02
HARZBURGITE,44.04,0.05,0.75,0.35,7.33425,0.02,46.67,0.1,0.05,0.06,0.02
HARZBURGITE,43.31,0.054,1.64,0.38,8.45,0.92,44.64,0.131,0.02,0.11,0.02
HARZBURGITE,41.99,0.01,0.18,0.95,6.28,0.02,50.51,0.12,0,0.11,0.02
HARZBURGITE,43.44,0.01,0.23,0.98,7.74,0.03,47.4,0.15,0.04,0.11,0.02
HARZBURGITE,43.27,0.02,0.39,0.48,8.91,0.17,46.84,0.17,0.04,0.12,0.02
HARZBURGITE,44.47,0.03,0.61,1.19,6.78,0.06,47.2,0.16,0.07,0.12,0.02
HARZBURGITE,45.48,0.03,1.04,1.52,8.04,0.1,44.06,0.17,0.18,0.13,0.02
HARZBURGITE,45.01,0.01,0.56,0.82,7.64,1.07,44.98,0.14,0.05,0.14,0.02
HARZBURGITE,44.46,0.081,0.5,0.376,8.04,0.94,45.35,0.127,0.1,0.08,0.022
HARZBURGITE,42.45,0.04,1.58,0.38,8.07749,1.35,43.56,0.13,0.05,0.1,0.023
HARZBURGITE,43.8,0.02,1.34,0.24,8.25324,0.65,44.7,0.13,0.014,0.08,0.028
HARZBURGITE,43.49,0.04,1.01,0.38,8.21567,0.79,43.87,0.13,0.03,0.08,0.028
HARZBURGITE,37.76,0,0.54,0.31,6.68856,0.69,39.97,0.11,0.01,0,0.03
HARZBURGITE,43.19,0.05,0.64,0.43,9.5,0.51,44.64,0.14,0.03,0.02,0.03
HARZBURGITE,43.4,0.02,1.22,0.38,8.88,0.56,44.55,0.13,0,0.08,0.03
HARZBURGITE,43.62,0.02,0.35,0.96,6.89,0.04,48.06,0.12,0.02,0.1,0.03
HARZBURGITE,44.02,0.035,0.76,0.39,7.76,0.72,45.78,0.123,0.07,0.11,0.03
HARZBURGITE,43.82,0.02,0.6,0.45,7.21,0.05,48.69,0.2,0.03,0.11,0.03
HARZBURGITE,42.92,0.03,0.5,1.22,7.54,0.06,47.81,0.1,0.04,0.11,0.03
HARZBURGITE,48.2,0.12,1.78,0.35,7.03,0.65,40.77,0.12,0.03,0.12,0.03
HARZBURGITE,43.3,0.03,0.74,0.36,7.91,0.74,45.27,0.125,0.07,0.12,0.03
HARZBURGITE,43.63,0.01,0.33,0.72,8.23,0.03,46.72,0.15,0.04,0.12,0.03
HARZBURGITE,42.36,0.01,0.76,1.56,8.19,0.11,47.01,0.19,0.19,0.13,0.03
HARZBURGITE,43.29,0.038,1.1,0.35,8.31,0.78,43.86,0.138,0.09,0.15,0.03
HARZBURGITE,42.99,0.02,0.72,0.92,9.46,0.84,44.75,0.19,0.07,0.16,0.03
HARZBURGITE,42.1,0.03,0.85,1.1,7.71,0.19,47.82,0.15,0.15,0.18,0.03
HARZBURGITE,47.44,0.06,1.27,0.29,6.3,0.32,43.92,0.14,0.3,0.22,0.03
HARZBURGITE,45.21,0.05,1.09,0.86,8.75,1.15,42.49,0.14,0.07,0.25,0.03
HARZBURGITE,42.68,0.07,1.77,0.86,9.95,1.48,42.92,0.24,0.29,0.29,0.03
HARZBURGITE,44.39,0.08,1.61,0.36,7.11,1,43.88,0.12,0.135,0.3,0.03
HARZBURGITE,43.2,0.02,1,0.41,8.13334,1.05,44.7,0.15,0.048,0.27,0.034
HARZBURGITE,43.06,0.032,0.86,0.38,8.2,0.72,45.29,0.13,0.02,0.09,0.04
HARZBURGITE,43.57,0.036,0.88,0.4,8.03,0.7,45.75,0.132,0.02,0.09,0.04
HARZBURGITE,43.81,0.047,1.14,0.38,8.06,0.96,45.36,0.127,0.03,0.1,0.04
HARZBURGITE,43.61,0.09,1.13,0.38,10.76921,0.88,41.32,0.22,0.05,0.11,0.04
HARZBURGITE,43.96,0.031,0.75,0.37,7.91,1.01,45.59,0.131,0.03,0.13,0.04
HARZBURGITE,44.63,0.063,1.08,0.39,8.41,0.93,44,0.137,0.06,0.13,0.04
HARZBURGITE,43.45,0.027,0.79,0.38,8.39,1.02,45.13,0.132,0.03,0.19,0.04
HARZBURGITE,42.5,0.05,0.38,0.41,8.09234,1.05,46.35,0.13,0.07,0.34,0.04
HARZBURGITE,42.69,0.02,1.07,0.26,7.0394,0.57,47.04,0.13,0.01,0.05,0.05
HARZBURGITE,44.1,0.05,1.4,0.57,7.9,0.73,44.4,0.15,0.09,0.1,0.05
HARZBURGITE,44.5,0.03,0.88,0.3,7.7,0.75,45.6,0.13,0.04,0.11,0.05
HARZBURGITE,43.76,0.024,0.77,0.36,7.92,0.65,45.96,0.132,0.05,0.16,0.05
HARZBURGITE,44.32,0.073,1.14,0.39,8.69,1.05,43.82,0.142,0.09,0.16,0.05
HARZBURGITE,43.5,0.034,0.7,0.38,8.02,1.04,45.14,0.132,0.07,0.18,0.05
HARZBURGITE,43.72,0.006,0.63,0.33,7.89,0.72,45.47,0.127,0.03,0.14,0.06
HARZBURGITE,44.03,0.032,0.91,0.43,7.95,1.12,44.86,0.128,0.08,0.16,0.06
HARZBURGITE,44.09,0.041,0.8,0.41,7.6,0.96,45.66,0.133,0.05,0.24,0.06
HARZBURGITE,43.1,0.01,0.74,0.37,7.91405,0.7,46.1,0.12,0.009,0.11,0.064
HARZBURGITE,44.28,0.03,1.11,0.4,7.4,1.01,44.95,0.131,0.07,0.18,0.07
HARZBURGITE,44.5,0.01,1.21,0.43,8.05244,1.2,42.66,0.14,0.06,0.14,0.08
HARZBURGITE,44.26,0.021,1.02,0.37,7.45,1.07,45.1,0.13,0.07,0.25,0.08
HARZBURGITE,43.32,0.1,1.97,0.58,9.65,4.08,36.9,0.1,0,0.03,0.09
HARZBURGITE,43.78,0.03,0.79,0.32388548,8.323262935,0.5,46.71,0.13,0.08,0.09,0.11
HARZBURGITE,44,0,1.16,0.42,7.90799,1.02,44.8,0.13,0.028,0.23,0.115
HARZBURGITE,42.07,0.04,1.44,0.6,7.11,3.5,37.99,0.09,0.01,0.07,0.12
HARZBURGITE,44.28,0.025,0.89,0.41,7.86,1.07,44.86,0.13,0.01,0.11,0.14
HARZBURGITE,43.85,0.016,0.79,0.4,7.32,0.81,46.31,0.123,0.08,0.12,0.16
HARZBURGITE,43.91,0.03,0.86,0.43,7.68,1,45.1,0.121,0.07,0.12,0.16
HARZBURGITE,42.03,0.07,1.3,0.37,9.74062,2.06,41.44,0.23,0.25,0.18,0.3
HARZBURGITE,42.83,0.08,2.44,0.53,9.05,2.71,39.85,0.15,0.26,0.57,0.35
LHERZOLITE,43.86,0.06,2.66,0.34,8.8,2.63,41.31,0.14,0.01,0.06,0
LHERZOLITE,44.49,0.07,1.52,0.34,8.05698,2.12,42.66,0.13,0,0.1,0
LHERZOLITE,41.75,0.08,1.65,0.37,13.55578,1.26,40.4,0.16,0,0.13,0
LHERZOLITE,42.8,0.23,2.47,0.41,10.14133,3.61,39.16,0.17,0.04,0.14,0
LHERZOLITE,43.65,0.26,0.83,0.41,12.43366,1.19,39.97,0.13,0.06,0.14,0
LHERZOLITE,42.9,0.09,1.82,0.37,10.03143,2.18,41.99,0.13,0,0.17,0
LHERZOLITE,44.22,0.07,3.2,0.38,8.78,2.92,39.62,0.14,0.01,0.18,0
LHERZOLITE,44.48,0.09,3.02,0.43,8.46,2.55,40.11,0.14,0.01,0.21,0
LHERZOLITE,42.45,0.37,2.09,0.29,15.49094,2.36,35.54,0.19,0.06,0.23,0
LHERZOLITE,45.03,0.2,2.75,0.4,8.10931,2.72,39.89,0.13,0.09,0.27,0
LHERZOLITE,44.69,0.114,3.14,0.45,8.02,2.54,41.27,0.13,0.045,0.28,0
LHERZOLITE,44.02,0.05,2.26,0.51,8.23,1.5,43.45,0.11,0.1,0.28,0
LHERZOLITE,44.07,0.04,2.23,0.51,7.6,2.1,41.79,0.11,0.02,0.295,0
LHERZOLITE,44.85,0.134,3.57,0.45,8.06,3.1,40.06,0.13,0.053,0.35,0
LHERZOLITE,45.46,0.153,4.12,0.43,8.12,3.32,39.01,0.13,0.033,0.37,0
LHERZOLITE,45.02,0.12,3.89,0.43,7.91,3.22,39.83,0.14,0.03,0.39,0
LHERZOLITE,44.8,0.134,3.58,0.43,8.08,2.99,40.06,0.13,0.082,0.39,0
LHERZOLITE,47.78,0.5,3.99,0.13,12.408,4.48,28.5,0.16,0.1,0.41,0
LHERZOLITE,45.72,0.16,3.91,0.39,8.13,3.52,38.29,0.12,0.09,0.43,0
LHERZOLITE,44.98,0.13,3.14,0.5,7.97,3.26,39.68,0.14,0.1,0.45,0
LHERZOLITE,44.43,0.03,2.27,0.37,8.09214,3.17,38.76,0.13,0.02,0.09,0.001
LHERZOLITE,45.2,0.119,1.7,0.415,7.86,1.65,43.05,0.128,0.18,0.13,0.001
LHERZOLITE,44.68,0.02,1.63,0.39,8.33468,1.5,38.95,0.12,0.06,0.09,0.002
LHERZOLITE,43.96,0.08,2.93,0.37,8.00456,2.58,39.78,0.13,0.02,0.19,0.002
LHERZOLITE,43.84,0.01,1.56,0.4,8.23052,2,41.47,0.13,0.01,0.08,0.003
LHERZOLITE,44.75,0.06,2.68,0.5,7.87524,2.19,40.39,0.14,0.005,0.17,0.003
LHERZOLITE,44.49,0.086,3.73,0.523,7.2819,3.35,38.34,0.132,0.01,0.17,0.003
LHERZOLITE,44.83,0.05,1.96,0.38,7.41,1.89,41.97,0.12,0.006,0.24,0.003
LHERZOLITE,44.28,0.04,1.55,0.41,7.57749,1.51,42.83,0.12,0.01,0.07,0.004
LHERZOLITE,44.73,0.195,2.72,0.398,8.72,2.18,40.98,0.153,0.08,0.12,0.004
LHERZOLITE,44.42,0.01,2.13,0.36,7.39061,2.31,43.43,0.13,0.008,0.18,0.004
LHERZOLITE,45.19,0.06,2.98,0.43,7.6485,2.5,40.56,0.13,0.002,0.19,0.004
LHERZOLITE,46.55,0.228,3.17,0.425,7.93,2.96,38.33,0.139,0.26,0.26,0.004
LHERZOLITE,45.34,0.015,1.16,0.302,6.08,1.22,44.91,0.102,0.15,0.02,0.005
LHERZOLITE,43.46,0.06,2.27,0.47,8.45959,1.83,42.12,0.14,0.008,0.14,0.005
LHERZOLITE,43.7,0.03,1.93,0.41,7.72042,1.73,42.15,0.13,0.02,0.15,0.005
LHERZOLITE,44.87,0.08,3.16,0.34,7.92,2.76,38.82,0.13,0.012,0.34,0.005
LHERZOLITE,43.06,0.02,1.8,0.41,8.15183,1.5,42.36,0.12,0.02,0.07,0.006
LHERZOLITE,43.58,0.03,1.02,0.32,9.99819,0.97,43.68,0.15,0.02,0.12,0.006
LHERZOLITE,44.79,0.13,3.49,0.35,7.97,3.21,38.15,0.14,0.007,0.36,0.006
LHERZOLITE,45.75,0.06,1.13,0.37,6.74,1.43,44.04,0.118,0.37,0.08,0.007
LHERZOLITE,45.4,0.05,1.7,0.44,7.40776,1.93,41.7,0.13,0.003,0.11,0.007
