,0,1,2,3,4,5,6,7,8,9,10,11
110,ROCK NAME,CR2O3,FEOT,MGO,0.7105823772490428,,,,,,,
111,ROCK NAME,CR2O3,FEOT,MNO,0.709037104870437,,,,,,,
112,ROCK NAME,CR2O3,FEOT,K2O,0.7078553479733407,,,,,,,
113,ROCK NAME,CR2O3,FEOT,NA2O,0.7074357308275423,,,,,,,
114,ROCK NAME,CR2O3,FEOT,P2O5,0.7062884512159862,,,,,,,
115,ROCK NAME,CR2O3,CAO,MGO,0.7066018272914811,,,,,,,
116,ROCK NAME,CR2O3,CAO,MNO,0.7074130891794695,,,,,,,
117,ROCK NAME,CR2O3,CAO,K2O,0.7078081993336217,,,,,,,
118,ROCK NAME,CR2O3,CAO,NA2O,0.7082126297812557,,,,,,,
119,ROCK NAME,CR2O3,CAO,P2O5,0.7081829692940789,,,,,,,
120,ROCK NAME,CR2O3,MGO,MNO,0.7080203746870398,,,,,,,
121,ROCK NAME,CR2O3,MGO,K2O,0.7079460713340481,,,,,,,
122,ROCK NAME,CR2O3,MGO,NA2O,0.7081663694129806,,,,,,,
123,ROCK NAME,CR2O3,MGO,P2O5,0.7077780841221688,,,,,,,
124,ROCK NAME,CR2O3,MNO,K2O,0.7064995251661905,,,,,,,
125,ROCK NAME,CR2O3,MNO,NA2O,0.7062361506805939,,,,,,,
126,ROCK NAME,CR2O3,MNO,P2O5,0.7051095108837878,,,,,,,
127,ROCK NAME,CR2O3,K2O,NA2O,0.7045643399810053,,,,,,,
128,ROCK NAME,CR2O3,K2O,P2O5,0.7031957419554308,,,,,,,
129,ROCK NAME,CR2O3,NA2O,P2O5,0.7028928336620633,,,,,,,
130,ROCK NAME,FEOT,CAO,MGO,0.7031165046432212,,,,,,,
131,ROCK NAME,FEOT,CAO,MNO,0.7038547871881196,,,,,,,
132,ROCK NAME,FEOT,CAO,K2O,0.7046176695299493,,,,,,,
133,ROCK NAME,FEOT,CAO,NA2O,0.7049864636929306,,,,,,,
134,ROCK NAME,FEOT,CAO,P2O5,0.7056804192606655,,,,,,,
135,ROCK NAME,FEOT,MGO,MNO,0.7058683872409354,,,,,,,
136,ROCK NAME,FEOT,MGO,K2O,0.7061229299672115,,,,,,,
137,ROCK NAME,FEOT,MGO,NA2O,0.7063806653178627,,,,,,,
138,ROCK NAME,FEOT,MGO,P2O5,0.7063340780367152,,,,,,,
139,ROCK NAME,FEOT,MNO,K2O,0.7053995387328714,,,,,,,
140,ROCK NAME,FEOT,MNO,NA2O,0.7053403649148324,,,,,,,
141,ROCK NAME,FEOT,MNO,P2O5,0.7043189813142859,,,,,,,
142,ROCK NAME,FEOT,K2O,NA2O,0.7040224732532419,,,,,,,
143,ROCK NAME,FEOT,K2O,P2O5,0.7028727445394106,,,,,,,
144,ROCK NAME,FEOT,NA2O,P2O5,0.7027278383600217,,,,,,,
145,ROCK NAME,CAO,MGO,MNO,0.7032093561773922,,,,,,,
146,ROCK NAME,CAO,MGO,K2O,0.7036455607884174,,,,,,,
147,ROCK NAME,CAO,MGO,NA2O,0.7041400374733705,,,,,,,
148,ROCK NAME,CAO,MGO,P2O5,0.704659744928201,,,,,,,
149,ROCK NAME,CAO,MNO,K2O,0.70483064260842,,,,,,,
150,ROCK NAME,CAO,MNO,NA2O,0.7052005308075944,,,,,,,
151,ROCK NAME,CAO,MNO,P2O5,0.7054530914180034,,,,,,,
152,ROCK NAME,CAO,K2O,NA2O,0.7055347621796421,,,,,,,
153,ROCK NAME,CAO,K2O,P2O5,0.7061210394543725,,,,,,,
154,ROCK NAME,CAO,NA2O,P2O5,0.7064975645620805,,,,,,,
