Rock Type,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,CaO
"LHERZOLITE",0.1,0.18,57.5,,10.7,0.01,
"LHERZOLITE",40.4,,0.04,,11.5,0.16,0.11
"LHERZOLITE",42.5,0.2,23.3,,7.91,0.32,4.94
"LHERZOLITE",0.1,0.25,45.1,,12.4,,0.01
"LHERZOLITE",53.6,0.16,5.97,,6.71,0.13,1.12
"LHERZOLITE",51.5,0.55,7.84,,3.7,0.1,17.8
"WEBSTERITE",36.5,,,,27.4,0.43,0.19
"WEBSTERITE",51.7,0.04,3.41,,18.1,0.18,0.51
"WEBSTERITE",49.5,0.84,5.93,,7.26,0.07,21.1
"WEBSTERITE",53.1,0.08,3.54,,13.2,0.15,0.43
"WEBSTERITE",51,0.73,4.73,,5.37,0.08,21.8
"PERIDOTITE",40.9,,0.02,,7.97,0.16,0.01
"PERIDOTITE",53.73,,1.32,,1.91,0.06,22.94
"PERIDOTITE",57.14,,1.65,,5.05,0.13,0.32
"PERIDOTITE",0.05,0.06,22.7,,22.55,0.59,
"PERIDOTITE",0.03,,25.13,,14.96,0.48,
"PERIDOTITE",47.09,0.21,9.04,,3.45,0.08,12.23
"PERIDOTITE",41.19,,0.02,,7.11,0.13,0.03
"PERIDOTITE",56.81,0.01,2.31,,4.84,0.1,0.36
"PERIDOTITE",0.06,0.01,40.21,,12.63,0.36,0.02
"PERIDOTITE",40.87,0.01,,,9.96,0.23,0.02
"PERIDOTITE",40.4,,0.01,,11.23,0.19,0.05
"PERIDOTITE",0.05,0.73,10.73,,33.05,0.92,
"PERIDOTITE",0.18,0.58,11.23,,33.7,0.78,0.01
"PERIDOTITE",40.06,,0.07,,8.32,0.14,0.1
"PERIDOTITE",55.78,0.09,3.28,,5.78,0.12,0.33
"PERIDOTITE",52.12,0.39,5.5,,1.83,0.05,22.37
"PERIDOTITE",40.7,0.02,0.02,,7.1,0.12,0.02
"PERIDOTITE",47.11,0.01,11.86,,3.44,0.07,12.25
"PERIDOTITE",56.34,0.04,2.85,,4.91,0.13,0.49
"PERIDOTITE",0.1,0.02,32.27,,20.1,0.55,0.03
"PERIDOTITE",0.06,,44.11,,13.94,0.29,
"PERIDOTITE",0.03,,7.17,,41.96,1.17,
"PERIDOTITE",40.91,,0.02,,8.16,0.13,0.01
"PERIDOTITE",58.25,0.04,0.1,,5.32,0.21,0.12
"PERIDOTITE",40.41,0.05,0.04,,8.33,0.14,0.02
"PERIDOTITE",56.11,0.07,2.71,,5.77,0.13,0.32
"PERIDOTITE",0.08,0.05,46.68,,13.16,0.36,0.01
"PERIDOTITE",52.03,0.35,5.4,,1.89,0.15,22.41
"PERIDOTITE",41.07,,0.02,,7.11,0.14,0.05
"PERIDOTITE",56.82,,1.76,,5,0.15,0.38
"PERIDOTITE",54.28,0.03,1.91,,1.64,0.11,24.16
"PERIDOTITE",54.42,,2.23,,1.62,0.11,22.62
"PERIDOTITE",0.07,0.03,32.8,,14.73,0.32,
"PERIDOTITE",49.01,0.1,8.78,,3.36,0.08,12.25
"PERIDOTITE",40.89,0.01,0.01,,8.08,0.06,0.03
"PERIDOTITE",40.88,0.02,0.02,,8.77,0.12,0.07
"PERIDOTITE",0.07,0.37,0.08,,65.48,1.75,
"PERIDOTITE",0.06,0.39,6.58,,31.73,1.59,
"PERIDOTITE",0.1,0.49,8.72,,28.64,0.62,0.01
"PERIDOTITE",40.83,0.02,0.02,,7.4,0.07,0.02
"PERIDOTITE",56.32,0.01,2.29,,4.75,0.11,0.35
"PERIDOTITE",52.95,0.03,2.34,,1.72,0.07,23.23
"PERIDOTITE",0.11,0.03,29.18,,16.48,0.38,0.01
"PERIDOTITE",0.03,0.02,38.88,,14.35,0.33,
"PERIDOTITE",48.3,0.25,8.79,,2.75,0.06,12.49
"PERIDOTITE",40.55,0.01,0.04,,9.82,0.16,0.1
"PERIDOTITE",54.29,0.12,5.4,,6.24,0.14,0.97
"PERIDOTITE",0.1,0.11,56.44,,10.96,0.1,0.02
"PERIDOTITE",51.42,0.43,7.32,,3.02,0.11,19.55
"PERIDOTITE",40.43,0.01,0.02,,10.49,0.15,0.07
"PERIDOTITE",54.27,0.13,5.13,,6.55,0.15,0.81
"PERIDOTITE",0.07,0.12,58.47,,10.89,0.08,0.01
"PERIDOTITE",0.04,0.07,36.73,,13.71,0.08,0.01
"PERIDOTITE",53.01,0.05,4.05,,2.4,0.09,21.04
"PERIDOTITE",53.95,0.12,4.89,,6.44,0.16,0.8
"PERIDOTITE",40.14,0.01,0.02,,10.39,0.16,0.07
"PERIDOTITE",53.86,0.12,4.91,,6.47,0.15,0.83
"PERIDOTITE",0.03,0.11,58.84,,10.83,0.07,0.01
"PERIDOTITE",50.87,0.62,7.58,,2.91,0.08,19.33
"PERIDOTITE",40.17,0.01,0.02,,10.22,0.14,0.06
"PERIDOTITE",55.13,0.03,3.37,,5.53,0.12,0.98
"PERIDOTITE",0.03,0.08,57.05,,11.32,0.1,0.01
"PERIDOTITE",50.69,0.5,7.38,,2.98,0.09,19.78
"PERIDOTITE",40.4,0.01,0.03,,8.81,0.13,0.09
"PERIDOTITE",0.05,0.08,37.36,,12.99,0.09,0.01
"PERIDOTITE",52.36,0.05,4.04,,2.51,0.07,21.29
"PERIDOTITE",53.82,0.09,4.49,,8.07,0.16,1.02
"PERIDOTITE",39.81,0.01,0.03,,13.27,0.19,0.1
"PERIDOTITE",54.41,0.11,4.84,,6.37,0.16,0.77
"PERIDOTITE",0.04,0.24,44.36,,17.35,0.07,0.01
"PERIDOTITE",40.23,0.01,0.02,,10.54,0.15,0.07
"PERIDOTITE",53.93,0.1,4.99,,6.7,0.16,0.79
"PERIDOTITE",0.05,0.06,56.98,,10.92,0.08,0.02
"PERIDOTITE",51.36,0.52,7.32,,2.78,0.09,19.94
"PERIDOTITE",40.12,,0.03,,10.75,0.15,0.07
"PERIDOTITE",54.38,0.11,5,,6.82,0.18,0.77
"PERIDOTITE",0.08,0.09,59.03,,10.85,0.09,0.01
"PERIDOTITE",50.99,0.61,7.56,,2.97,0.09,19.67
"PERIDOTITE",40.47,0.03,0.03,,10.98,0.16,0.07
"PERIDOTITE",0.07,0.06,56.9,,12.35,0.1,
"PERIDOTITE",51.34,0.57,7.63,,2.92,0.09,19.64
"PERIDOTITE",0.03,0.04,57.21,,12.63,0.11,0.01
"PERIDOTITE",52.06,0.65,7.5,,2.85,0.1,19.67
"PERIDOTITE",0.02,0.06,57.71,,10.17,0.08,
"PERIDOTITE",52.24,0.57,7.08,,2.64,0.09,20.13
"PERIDOTITE",0.03,0.11,57.6,,10.97,0.07,0.009
"PERIDOTITE",51.78,0.48,6.92,,2.74,0.1,20.19
"PERIDOTITE",40.67,0.01,0.02,,9.35,0.13,0.07
"PERIDOTITE",55.53,0.01,3.31,,5.57,0.14,0.85
"PERIDOTITE",52.74,0.02,3.58,,2.2,0.07,22.09
"PERIDOTITE",0.07,0.01,39.38,,12.15,0.09,0.01
"PERIDOTITE",53.39,0.13,3.03,,2.35,0.09,21.36
"PERIDOTITE",54.16,0.07,4.52,,6.37,0.16,0.71
"PERIDOTITE",0.03,0.11,57.6,,10.79,0.07,0.01
"PERIDOTITE",40.14,,0.01,,10.1,0.15,0.06
"PERIDOTITE",0.06,0.06,57.01,,10.72,0.07,0.01
"PERIDOTITE",51.18,0.37,6.61,,2.76,0.1,20.55
"PERIDOTITE",0.03,0.07,56.38,,10.29,0.08,0.01
"PERIDOTITE",51.99,0.56,6.9,,2.52,0.11,20.02
"PERIDOTITE",51.25,0.54,6.99,,2.88,0.05,19.88
"PERIDOTITE",40.69,0.01,0.02,,10.27,0.16,0.08
"PERIDOTITE",54.67,0.09,4.59,,6.45,0.14,0.92
"PERIDOTITE",0.09,0.09,53.65,,11.59,0.08,
"PERIDOTITE",52.27,0.27,6.16,,2.98,0.07,20.07
"PERIDOTITE",41.11,0.01,0.02,,10.85,0.16,0.08
"PERIDOTITE",55.64,0.09,4.67,,6.7,0.13,0.75
"PERIDOTITE",52.34,0.46,6.99,,2.87,0.05,20.11
"PERIDOTITE",51.46,0.51,7.32,,2.86,0.05,19.6
"PERIDOTITE",41.17,0.01,0.02,,10.77,0.14,0.08
"PERIDOTITE",55.38,0.11,4.84,,6.71,0.14,0.76
"PERIDOTITE",52.19,0.58,7.49,,3.01,0.06,19.67
"PERIDOTITE",51.51,0.51,7.27,,2.79,0.06,19.71
"PERIDOTITE",41.07,0.01,0.02,,10.12,0.13,0.07
"PERIDOTITE",55.54,0.09,4.43,,6.3,0.13,0.71
"PERIDOTITE",52.26,0.46,6.66,,2.67,0.05,20.28
"PERIDOTITE",41.13,0.02,0.02,,8.51,0.12,0.07
"PERIDOTITE",56.74,0.01,2.07,,5.24,0.09,0.89
"PERIDOTITE",54.28,0.02,2.42,,2.23,0.06,21.23
"PERIDOTITE",0.08,0.03,27.78,,13.67,0.08,0.01
"PERIDOTITE",39.92,0.01,0.01,,14.61,0.19,0.05
"PERIDOTITE",52.69,0.2,5.85,,9.61,0.19,0.92
"PERIDOTITE",50.13,0.78,6.85,,3.73,0.1,21.52
"PERIDOTITE",40.86,0.03,0.01,,8.18,0.14,0.05
"PERIDOTITE",56.65,0.03,1.57,,5.33,0.14,0.49
"PERIDOTITE",0.02,0.09,29.7,,16.14,0.11,0.01
"PERIDOTITE",52.37,0.23,4.81,,3.17,0.11,21.4
"PERIDOTITE",0.02,0.04,51.13,,12.18,0.05,0.01
"PERIDOTITE",53.25,0.33,3.35,,2.24,0.06,23.22
"PERIDOTITE",0.02,0.31,49.91,,15.51,0.11,
"PERIDOTITE",41.07,0.01,0.02,,9.58,0.13,0.05
"PERIDOTITE",55.11,0.04,4.17,,6.07,0.14,0.85
"PERIDOTITE",0.03,0.05,47.51,,12.29,0.09,0.02
"PERIDOTITE",52.39,0.14,5.04,,2.72,0.09,21.61
"PERIDOTITE",40.36,0.03,0.01,,9,0.13,0.07
"PERIDOTITE",52.07,0.08,4.02,,2.53,0.09,22.75
"PERIDOTITE",54.66,0.02,4.14,,5.72,0.15,0.8
"PERIDOTITE",0.04,0.05,46.92,,12.39,0.08,0.01
"PERIDOTITE",40.22,0.02,0.08,,9.86,0.14,0.05
"PERIDOTITE",55.05,0.06,4.3,,6.24,0.13,0.82
"PERIDOTITE",0.03,0.09,48.75,,12.54,0.08,
"PERIDOTITE",40.76,0.01,0.02,,13.65,0.19,0.08
"PERIDOTITE",0.04,0.49,44.19,,19.33,0.17,0.01
"PERIDOTITE",53.89,0.22,6.07,,8.8,0.18,1.07
"PERIDOTITE",51.37,0.68,6.92,,4.06,0.08,20.68
"PERIDOTITE",54.93,0.08,3.98,,6.16,0.17,0.65
"PERIDOTITE",53.55,0.17,4.49,,2.66,0.09,21.38
"PERIDOTITE",0.02,0.1,49.62,,13.09,0.09,0.01
"PERIDOTITE",53.76,0.111,2.4,,1.94,0.08,23.71
"PERIDOTITE",0.02,0.13,39.9,,13.66,0.08,
"PERIDOTITE",0.05,0.23,59.41,,15.25,0.13,0.01
"PERIDOTITE",52.74,0.24,6.81,,9.24,0.2,0.99
"PERIDOTITE",49.94,0.58,8.22,,4.4,0.13,20.94
"PERIDOTITE",55.43,0.05,4.45,,6.27,0.13,0.94
"PERIDOTITE",53.01,0.06,4.78,,3.05,0.08,21.21
"PERIDOTITE",0.05,0.05,48.47,,12.51,0.1,
"PERIDOTITE",53.03,0.1,3.28,,2.52,0.08,23.04
"PERIDOTITE",0.02,0.05,50.88,,13.68,0.07,0.01
"PERIDOTITE",39.98,0.01,0.02,,13.15,0.17,0.11
"PERIDOTITE",53.89,0.05,4.67,,8.2,0.14,0.99
"PERIDOTITE",0.07,0.2,47.64,,19.62,0.12,0.02
"PERIDOTITE",51.55,0.14,5.71,,3.88,0.08,19.96
"PERIDOTITE",41.01,0.02,0.04,,9.98,0.15,0.09
"PERIDOTITE",0.09,0.54,47.16,,13.96,0.07,
"PERIDOTITE",51.96,0.72,6.33,,3.24,0.08,18.34
"PERIDOTITE",40.24,0.01,0.03,,9.92,0.14,0.1
"PERIDOTITE",54.34,0.15,4.73,,6.31,0.15,1.09
"PERIDOTITE",0.07,0.36,46.62,,13.96,0.1,0.01
"PERIDOTITE",51.46,0.44,5.84,,3.21,0.09,20.14
"ECLOGITE",47.6,1.17,10.8,,,0.19,17.9
"ECLOGITE",55.9,0.5,11.2,,,0.04,11.7
"ECLOGITE",32.7,0.45,15,,,0.21,2.36
"ECLOGITE",40.7,1.44,17.5,,,0.13,9.66
"ECLOGITE",63.4,,18.3,,,,0.08
"ECLOGITE",53.4,0.32,2.74,,,0.08,18.6
"ECLOGITE",32,0.38,20,,,0.22,1.53
"ECLOGITE",40.5,0.55,21.9,,,0.34,6.95
"ECLOGITE",30.9,0.04,22.3,,,0.19,0.44
"ECLOGITE",37.2,,31,,,,0.32
"ECLOGITE",37.6,,31.1,,,,0.16
"ECLOGITE",52.2,0.55,4.92,,,0.07,18.8
"ECLOGITE",51.8,0.44,6.7,,,0.18,17.3
"ECLOGITE",52.8,0.71,6.74,,,0.09,17.4
"ECLOGITE",0.23,0.47,60.1,,,0.21,0.07
"ECLOGITE",0.21,0.31,61.6,,,0.23,0.08
"ECLOGITE",48.4,0.7,8.57,,,0.41,10.5
"ECLOGITE",48,0.57,8.74,,,0.5,5.68
"ECLOGITE",53.9,0.6,8.83,,,0.13,14.1
"ECLOGITE",55.7,0.45,11.1,,,0.02,11.8
"ECLOGITE",34,,11.7,,,0.22,0.7
"ECLOGITE",42.9,1.04,14,,,0.22,11.5
"ECLOGITE",35.7,,14.3,,,0.39,2
"ECLOGITE",39.6,3.25,15.3,,,,0.1
"ECLOGITE",38.8,3.15,15.6,,,0.07,
"ECLOGITE",34.5,0.32,16.6,,,0.89,7.63
"ECLOGITE",63.3,,18.7,,,,0.16
"ECLOGITE",40.1,0.52,22.3,,,0.31,6.34
"ECLOGITE",39.5,0.5,22.3,,,0.36,6.38
"ECLOGITE",53.1,0.48,3.35,,,0.12,19.2
"ECLOGITE",54.2,0.45,3.81,,,0.07,18.6
"ECLOGITE",52.9,0.52,4.1,,,0.13,17.8
"ECLOGITE",53.7,0.58,4.5,,,0.12,18.2
"ECLOGITE",53.4,0.58,4.69,,,0.1,18.5
"ECLOGITE",0.78,1.86,55.23,,,0.08,0.03
"ECLOGITE",0.33,0.36,61.5,,,0.1,0.08
"ECLOGITE",53.3,0.63,7.44,,,0.11,16.6
"ECLOGITE",49.4,0.54,9.12,,,0.38,1.94
"DUNITE",0.44,1.09,14.59,,12.49,0.38,0.05
"DUNITE",0.44,0.17,6.74,,13.84,0.21,
"LHERZOLITE",40.83,,,,8.1,,
"LHERZOLITE",56.55,,1.33,,5.56,0.09,0.24
"LHERZOLITE",54.14,0.19,2.51,,1.39,,22.89
"LHERZOLITE",0.26,,32.27,,16.01,0.23,
"LHERZOLITE",40.2,,,,9.74,,
"LHERZOLITE",56.48,,1.81,,6.72,0.13,0.21
"LHERZOLITE",54.19,0.22,2.56,,1.59,,23.18
"LHERZOLITE",0.26,,44.43,,14.63,0.19,
"HARZBURGITE",40.81,,,,7.03,,
"HARZBURGITE",56.74,,1.69,,4.69,0.04,0.33
"HARZBURGITE",0.26,0.05,30.94,,14.32,0.15,
"LHERZOLITE",40.53,,,,8.6,,
"LHERZOLITE",57.04,,0.97,,5.78,0.16,0.18
"LHERZOLITE",53.82,0.25,2.35,,1.41,,23.88
"LHERZOLITE",0.25,0.07,41.9,,14.44,0.16,
"DUNITE",40.64,,,,7.11,,
"DUNITE",58.14,,0.06,,4.29,,0.4
"LHERZOLITE",40.85,,,,7,,
"LHERZOLITE",57.23,,1,,4.68,0.06,0.23
"LHERZOLITE",54.63,0.1,1.88,,1.37,,22.93
"LHERZOLITE",0.33,,26.6,,16,0.08,
"HARZBURGITE",40.77,,,,6.62,,
"HARZBURGITE",57.83,,0.13,,4.36,0.04,0.15
"HARZBURGITE",0.3,,13.27,,17.52,0.24,
"LHERZOLITE",41.06,,,,6.67,,
"LHERZOLITE",57.95,,0.26,,4.48,,0.16
"LHERZOLITE",55.14,,0.95,,1.21,,23.23
"LHERZOLITE",0.35,0.23,9.73,,18.49,0.36,
"HARZBURGITE",,,,,,,53.17
"LHERZOLITE",,,,,0.4,,50.15
"WEBSTERITE",0.13,,,,0.54,,54.66
"HARZBURGITE",,,,,0.43,,55.02
"PERIDOTITE",41.05,,,,8.16,0.12,0.02
"PERIDOTITE",57.44,0.13,0.51,,5.24,0.13,0.78
"PERIDOTITE",54.9,0.07,1.07,,2.75,0.11,19.6
"PERIDOTITE",41.62,0.22,19.16,,7.29,0.34,5.02
"PERIDOTITE",40.72,,,,10.29,0.13,0.07
"PERIDOTITE",40.84,,,,8.17,0.12,0.04
"PERIDOTITE",41.48,,,,8.19,0.13,0.05
"PERIDOTITE",41.49,,,,8.21,0.12,0.06
"PERIDOTITE",41.29,,,,8.22,0.09,0.04
"PERIDOTITE",40.83,,,,8.31,0.11,0.05
"PERIDOTITE",41.17,,,,8.33,0.12,0.05
"PERIDOTITE",41.52,,,,8.36,0.11,0.06
"PERIDOTITE",41.18,,,,8.39,0.11,0.05
"PERIDOTITE",56.25,0.13,0.68,,5.93,0.12,1.21
"PERIDOTITE",55.68,0.21,1.57,,3.96,0.15,15.83
"PERIDOTITE",42.1,1.06,16.48,,8.26,0.33,5.45
"PERIDOTITE",40.8,,,,9.7,0.1,0.04
"PERIDOTITE",57.6,0.12,0.62,,6.21,0.11,0.94
"PERIDOTITE",55.1,0.21,1.92,,3.65,0.11,18.3
"PERIDOTITE",42.1,0.54,21,,8.41,0.3,4.29
"PERIDOTITE",39.96,,,,11.99,0.11,0.07
"PERIDOTITE",39.8,,,,12.02,0.12,0.05
"PERIDOTITE",39.73,,,,12.08,0.12,0.05
"PERIDOTITE",39.96,,,,12.14,0.14,0.05
"PERIDOTITE",40.1,,,,12.17,0.11,0.05
"PERIDOTITE",56.38,0.18,0.66,,7.23,0.16,1
"PERIDOTITE",54.3,0.31,1.79,,4.62,0.14,16.39
"PERIDOTITE",41.38,0.8,17.75,,9.45,0.31,5.27
"PERIDOTITE",41.42,0.61,17.82,,9.17,0.35,5.32
"PERIDOTITE",41.79,0.16,17.96,,8.01,0.31,5.58
"PERIDOTITE",40.5,,,,12.7,0.12,0.05
"PERIDOTITE",56.9,0.17,0.61,,7.82,0.15,1
"PERIDOTITE",54.9,0.33,1.69,,5.12,0.14,17.5
"PERIDOTITE",40.8,0.18,14.4,,7.23,0.4,7.56
"PERIDOTITE",41.28,,,,8.73,0.13,0.06
"PERIDOTITE",41.09,,,,8.81,0.13,0.04
"PERIDOTITE",40.88,,,,8.83,0.11,0.05
"PERIDOTITE",41.49,,,,8.87,0.11,0.04
"PERIDOTITE",41.55,,,,8.89,0.11,0.04
"PERIDOTITE",41.12,,,,8.9,0.12,0.04
"PERIDOTITE",41.14,,,,8.93,0.11,0.05
"PERIDOTITE",41.29,,,,8.93,0.11,0.06
"PERIDOTITE",41.35,,,,8.95,0.1,0.04
"PERIDOTITE",40.93,,,,8.86,0.09,0.04
"PERIDOTITE",56.42,0.17,0.59,,5.35,0.16,0.89
"PERIDOTITE",55.31,0.27,1.63,,3.3,0.1,17.11
"PERIDOTITE",41.81,0.1,17.02,,7.1,0.33,5.73
"PERIDOTITE",40.65,,,,10.05,0.11,0.05
"PERIDOTITE",40.57,,,,10.1,0.14,0.05
"PERIDOTITE",40.64,,,,10.12,0.11,0.06
"PERIDOTITE",40.72,,,,10.12,0.12,0.04
"PERIDOTITE",40.42,,,,10.15,0.12,0.04
"PERIDOTITE",40.6,,,,10.16,0.12,0.06
"PERIDOTITE",40.54,,,,10.18,0.13,0.05
"PERIDOTITE",40.48,,,,10.19,0.12,0.05
"PERIDOTITE",40.72,,,,10.2,0.11,0.05
"PERIDOTITE",40.12,,,,10.2,0.12,0.05
"PERIDOTITE",40.56,,,,10.2,0.13,0.05
"PERIDOTITE",40.35,,,,10.23,0.14,0.05
"PERIDOTITE",57.8,0.14,0.55,,5.98,0.15,1.02
"PERIDOTITE",55.47,0.24,1.44,,3.79,0.12,16.68
"PERIDOTITE",41.92,1.15,15.81,,8.48,0.36,5.78
"PERIDOTITE",40.22,,,,12.69,0.13,0.06
"PERIDOTITE",56.78,0.2,0.62,,7.47,0.14,0.97
"PERIDOTITE",55.25,0.31,1.71,,4.93,0.11,17.22
"PERIDOTITE",41.87,1.03,18.84,,10.23,0.35,5.07
"PERIDOTITE",41.7,0.57,18.98,,9.74,0.35,4.79
"PERIDOTITE",42.03,0.22,19.71,,9.34,0.33,4.91
"PERIDOTITE",40.9,,,,8.75,0.12,0.04
"PERIDOTITE",57.8,0.12,0.55,,5.23,0.12,0.8
"PERIDOTITE",55.24,0.16,1.29,,2.98,0.08,18.01
"PERIDOTITE",42.17,0.46,19.44,,7.55,0.35,4.89
"PERIDOTITE",39.69,,,,12.98,0.1,0.05
"PERIDOTITE",56.47,0.2,0.59,,7.64,0.12,0.91
"PERIDOTITE",55.53,0.33,1.77,,4.78,0.12,16.87
"PERIDOTITE",41.06,0.52,16.83,,9.5,0.35,5.99
"PERIDOTITE",41.65,0.04,17.19,,7.1,0.37,6.3
"PERIDOTITE",39.8,,,,11.95,0.1,0.05
"PERIDOTITE",56.38,0.16,0.58,,6.98,0.13,0.9
"PERIDOTITE",55.1,0.31,1.7,,4.39,0.12,16.9
"PERIDOTITE",41.14,0.81,16.91,,9.34,0.35,5.76
"PERIDOTITE",40.42,,,,8.48,0.09,0.04
"PERIDOTITE",57.6,0.08,0.48,,5.09,0.14,0.8
"PERIDOTITE",55.79,0.18,1.04,,2.83,0.09,19.06
"PERIDOTITE",41.96,0.04,18.52,,7.07,0.37,5.42
"PERIDOTITE",40.91,,,,9.12,0.1,0.04
"PERIDOTITE",56.78,0.19,0.58,,5.61,0.09,0.81
"PERIDOTITE",55.25,0.32,1.67,,3.47,0.1,17.51
"PERIDOTITE",41.8,0.29,19.55,,7.53,0.32,4.4
"PERIDOTITE",40.56,,,,10.18,0.13,0.05
"PERIDOTITE",56.67,0.21,0.62,,6.26,0.13,0.94
"PERIDOTITE",55.02,0.38,1.76,,4.12,0.11,16.45
"PERIDOTITE",41.4,0.57,16.88,,7.93,0.31,5.43
"PERIDOTITE",40.64,,,,8.61,0.1,0.05
"PERIDOTITE",58.08,0,0.48,,5.05,0.1,0.95
"PERIDOTITE",54.97,0.01,0.78,,2.78,0.12,19.3
"PERIDOTITE",42.39,0.17,16.97,,7.12,0.29,5.85
"PERIDOTITE",40.98,,,,9.49,0.13,0.07
"PERIDOTITE",56.5,0.22,0.54,,5.71,0.13,0.92
"PERIDOTITE",55.21,0.34,1.72,,3.39,0.12,17.39
"PERIDOTITE",40.17,1.84,11.28,,8.34,0.34,7.47
"PERIDOTITE",41.37,,,,8.38,0.13,0.06
"PERIDOTITE",57.3,0.09,0.53,,5.03,0.1,0.94
"PERIDOTITE",55.16,0.14,1.22,,3.08,0.12,17.48
"PERIDOTITE",41.2,0.87,14.9,,7.26,0.35,6.26
"PERIDOTITE",41.05,,,,8.97,0.13,0.05
"PERIDOTITE",56.91,0.17,0.59,,5.34,0.12,0.95
"PERIDOTITE",54.9,0.23,1.56,,3.4,0.12,17.61
"PERIDOTITE",41.66,0.8,18.52,,7.49,0.32,5.08
"PERIDOTITE",40.02,,,,9.37,0.08,0.06
"PERIDOTITE",57.13,0.06,0.6,,5.55,0.12,0.86
"PERIDOTITE",55.6,0.12,1.77,,3.29,0.11,17.3
"PERIDOTITE",42.1,0.35,20.3,,7.43,0.28,4.22
"PERIDOTITE",40.6,,,,8.97,0.09,0.05
"PERIDOTITE",40.97,,,,8.98,0.1,0.05
"PERIDOTITE",40.73,,,,9,0.1,0.04
"PERIDOTITE",40.68,,,,9.04,0.11,0.05
"PERIDOTITE",40.67,,,,9.06,0.09,0.06
"PERIDOTITE",40.59,,,,9.09,0.11,0.05
"PERIDOTITE",40.74,,,,9.09,0.12,0.04
"PERIDOTITE",40.55,,,,9.11,0.12,0.05
"PERIDOTITE",41.3,,,,9.14,0.12,0.05
"PERIDOTITE",57.4,0.15,0.67,,5.35,0.14,0.9
"PERIDOTITE",55.5,0.27,1.78,,3.38,0.12,17.5
"PERIDOTITE",42.2,0.35,20.5,,7.23,0.32,4.31
"PERIDOTITE",40.53,,,,9.7,0.12,0.04
"PERIDOTITE",56.45,0.18,0.53,,5.88,0.11,0.77
"PERIDOTITE",55.09,0.34,1.54,,3.49,0.12,17.59
"PERIDOTITE",41.61,0.06,15.69,,7.44,0.38,6.5
"PERIDOTITE",41.02,0.58,17.53,,8.01,0.35,5.55
"PERIDOTITE",35.48,0.03,20.45,,31.39,10.96,0.28
"PERIDOTITE",42.05,0.4,20.22,,6.88,0.28,4.58
"PERIDOTITE",40.01,0.56,16.66,,8.3,0.5,5.79
"PERIDOTITE",41.79,0.25,19.75,,6.67,0.25,4.71
"PERIDOTITE",41.7,0.53,19.93,,6.8,0.29,4.63
"PERIDOTITE",41.26,0.2,18.15,,6.48,0.35,5.35
"PERIDOTITE",40.64,0.69,18.46,,9.64,0.4,6.13
"PERIDOTITE",40.79,0.56,19.58,,9.55,0.52,7.24
"PERIDOTITE",40.77,0.71,18.99,,8.81,0.39,5.5
"PERIDOTITE",40.04,0.53,17.31,,8.98,0.53,6.85
"PERIDOTITE",35.64,0.04,21.29,,29.1,9.45,1.29
"PERIDOTITE",41.32,0.55,19.12,,7.29,0.4,5
"PERIDOTITE",40.36,0.61,16.74,,8.19,0.48,5.97
"PERIDOTITE",35.98,,20.43,,33.56,9.32,0.43
"PERIDOTITE",40.93,0.74,17.12,,8.04,0.43,5.82
"PERIDOTITE",39.92,0.58,15.93,,8.5,0.49,7.79
"PERIDOTITE",36.34,,20.69,,30.12,10.11,0.99
"PERIDOTITE",42.04,0.58,21.02,,7.71,0.29,4.31
"PERIDOTITE",40.2,0.05,18.51,,8.06,0.52,4.72
"PERIDOTITE",35.53,,20.55,,33.52,9.34,0.32
"PERIDOTITE",42.16,0.36,20.98,,7.16,0.3,4.14
"PERIDOTITE",40.36,0.48,20.85,,11.65,0.52,6.28
"PERIDOTITE",36.24,0.01,20.47,,28.6,14.74,0.23
"PERIDOTITE",42.29,0.63,19.99,,8.24,0.3,4.69
"PERIDOTITE",40.63,0.02,18.48,,8.64,0.54,6.21
"PERIDOTITE",35.48,0.06,20.58,,32.93,9.2,0.48
"PERIDOTITE",41.65,0.32,20.01,,6.81,0.35,4.62
"PERIDOTITE",40.34,0.01,18.71,,8.07,0.53,4.57
"PERIDOTITE",37.83,0.03,21.76,,27.97,1.13,3.73
"PERIDOTITE",41.38,0.32,19.48,,7.65,0.37,5.01
"PERIDOTITE",41.68,0.41,20.88,,7.14,0.3,4.63
"PERIDOTITE",41.62,0.61,19.74,,7.26,0.32,5.09
"PERIDOTITE",42.1,0.34,20.52,,6.55,0.29,4.29
"PERIDOTITE",41.19,0.58,19.71,,7.58,0.32,4.81
"PERIDOTITE",36.68,,21.07,,30.46,4.56,1.91
"PERIDOTITE",41.29,0.59,19.08,,8.45,0.44,5.38
"PERIDOTITE",40.81,,19.67,,8.45,0.56,4.51
"PERIDOTITE",35.07,0.03,20.53,,32.83,8.99,0.41
"PERIDOTITE",41.7,0.55,18.57,,7.41,0.32,5.35
"PERIDOTITE",36.04,,20.79,,27.27,14.24,0.77
"PERIDOTITE",41.26,0.03,19.75,,8.25,0.38,5.45
"PERIDOTITE",35.33,,20.96,,29.11,9.5,0.8
"PERIDOTITE",41.36,0.95,17.94,,6.81,0.34,5.33
"PERIDOTITE",41.98,0.48,19.94,,7.8,0.3,4.83
"PERIDOTITE",36.14,0.01,21.44,,28.6,9.75,0.99
