Rock Type,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,CaO
"PYROXENITE",56.9,0.2,0.94,,,0.13,0.93
"PYROXENITE",56.68,0.2,1.18,,,0.11,1.18
"PYROXENITE",40.97,0.09,20.81,,,0.46,5.66
"ECLOGITE",0.11,0.02,0.01,,,0.04,55.2
"ECLOGITE",38.64,3.88,14.33,,,,
"ECLOGITE",54.96,0.21,2.42,,,0.09,18.92
"ECLOGITE",39.74,0.7,21.89,,,0.26,13.51
"ECLOGITE",54.76,0.49,9.75,,,,15.81
"PERIDOTITE",41.18,,,,,0.15,0.07
"PERIDOTITE",41.47,,,,,0.18,0.07
"PERIDOTITE",41.46,,,,,0.2,0.05
"PERIDOTITE",41.35,,,,,0.21,0.06
"PERIDOTITE",41.52,0.01,0.01,,,0.14,0.07
"PERIDOTITE",41.88,0.01,0.03,,,0.1,0.19
"PERIDOTITE",41.35,,0.03,,,0.23,0.06
"PERIDOTITE",41.35,,0.03,,,0.23,0.06
"PERIDOTITE",41.39,,0.05,,,0.11,0.06
"PERIDOTITE",42.19,0.04,0.83,,,0.16,0.47
"PERIDOTITE",55.98,0.1,4.16,,,0.19,0.76
"PERIDOTITE",56.02,0.09,4.18,,,0.16,0.75
"PERIDOTITE",56.02,0.09,4.18,,,0.16,0.75
"PERIDOTITE",56.23,0.07,4.21,,,0.15,0.78
"PERIDOTITE",56.21,0.1,4.27,,,0.13,0.77
"PERIDOTITE",,,4.41,,,,
"PERIDOTITE",56.25,0.09,4.43,,,0.14,0.76
"PERIDOTITE",55.92,0.13,4.55,,,0.17,0.76
"PERIDOTITE",56.14,0.13,4.59,,,0.13,0.77
"PERIDOTITE",55.86,0.09,4.61,,,0.15,0.76
"PERIDOTITE",55.96,0.13,4.65,,,0.17,0.79
"PERIDOTITE",0.06,0.05,56.89,,,0.03,
"PERIDOTITE",0.06,0.05,56.89,,,0.03,
"PERIDOTITE",0.06,0.02,58.75,,,0.18,
"PERIDOTITE",0.07,0.03,59.02,,,0.12,
"PERIDOTITE",0.08,0.03,59.16,,,0.03,
"PERIDOTITE",0.07,0.06,59.3,,,0.18,
"PERIDOTITE",0.07,0.03,59.44,,,0.08,
"PERIDOTITE",0.07,0.04,59.6,,,0.14,
"PERIDOTITE",52.92,0.54,6.57,,,0.11,21.52
"PERIDOTITE",52.94,0.56,6.78,,,0.07,21.31
"PERIDOTITE",53.17,0.54,6.79,,,0.08,21.65
"PERIDOTITE",53.15,0.57,6.83,,,0.11,21.52
"PERIDOTITE",52.53,0.53,6.83,,,0.12,21.36
"PERIDOTITE",52.59,0.56,6.93,,,0.09,21.46
"PERIDOTITE",52.59,0.56,6.93,,,0.09,21.46
"PERIDOTITE",53.53,0.12,1.57,,,0.33,0.71
"PERIDOTITE",53.53,0.12,1.57,,,0.33,0.71
"PERIDOTITE",53.21,0.11,1.78,,,0.33,0.7
"PERIDOTITE",53.19,0.15,1.79,,,0.26,0.69
"PERIDOTITE",51.91,0.38,2.62,,,0.22,22.07
"PERIDOTITE",51.91,0.38,2.62,,,0.22,22.07
"PERIDOTITE",51.76,0.38,2.65,,,0.17,21.94
"PERIDOTITE",51.11,0.41,2.8,,,0.17,22.06
"PERIDOTITE",55.99,,25.66,,,,9.21
"PERIDOTITE",41.17,,,,,0.13,0.07
"PERIDOTITE",41.72,0.01,,,,0.15,0.06
"PERIDOTITE",41.03,,,,,0.15,0.08
"PERIDOTITE",41.41,,,,,0.18,0.07
"PERIDOTITE",40.77,,0.03,,,0.14,0.09
"PERIDOTITE",55.58,0.11,4.7,,,0.13,0.81
"PERIDOTITE",55.73,0.11,4.7,,,0.14,0.82
"PERIDOTITE",,,4.85,,,,
"PERIDOTITE",55.7,0.11,4.98,,,0.14,0.79
"PERIDOTITE",55.42,0.1,5.02,,,0.15,0.81
"PERIDOTITE",52.27,0.56,5.6,,,0.13,23.1
"PERIDOTITE",52.73,0.52,5.73,,,0.06,22.04
"PERIDOTITE",0.05,0.1,60.47,,,0.14,
"PERIDOTITE",0.05,0.07,60.8,,,0.1,
"PERIDOTITE",0.03,0.07,61.03,,,0.03,
"PERIDOTITE",0.05,0.12,61.88,,,0.1,
"PERIDOTITE",53.02,0.52,7.32,,,0.08,20.46
"PERIDOTITE",53.15,0.5,7.33,,,0.13,20.49
"PERIDOTITE",52.68,0.51,7.51,,,0.11,20.39
"PERIDOTITE",52.97,0.52,7.59,,,0.11,20.41
"PERIDOTITE",52.93,0.51,7.65,,,0.11,20.3
"PERIDOTITE",52.89,0.53,7.67,,,0.16,20.39
"PERIDOTITE",52.77,0.48,7.95,,,0.13,19.88
"PYROXENITE",55.3,0.01,0.58,,,0.37,0.5
"PYROXENITE",55.44,0.08,0.92,,,0.4,0.42
"PYROXENITE",54.36,0.12,1.03,,,0.33,1.23
"PYROXENITE",54.71,0.14,1.08,,,0.3,1.39
"PYROXENITE",54.89,0.15,1.15,,,0.37,1.28
"PYROXENITE",55.03,0.16,1.27,,,0.25,1.56
"PYROXENITE",0.14,11.87,1.38,,,0.43,
"PYROXENITE",54.3,0.12,1.56,,,0.33,0.93
"PYROXENITE",54.15,0.12,1.69,,,0.3,0.53
"PYROXENITE",54.87,0.2,1.86,,,0.3,1.33
"PYROXENITE",54.76,0.17,1.92,,,0.25,1.22
"PYROXENITE",53.99,0.17,1.93,,,0.37,1.35
"PYROXENITE",54.13,,25.58,,,,11.91
"PYROXENITE",53.58,0.08,28.82,,,,11.79
"PYROXENITE",53.43,0.07,29.01,,,,11.78
"PERIDOTITE",54.69,0.11,1.45,,,0.24,0.7
"PERIDOTITE",53.84,0.13,1.75,,,0.27,0.69
"PERIDOTITE",54.65,0.15,1.89,,,0.29,0.77
"PERIDOTITE",52.68,0.4,2.64,,,0.1,22.36
"PERIDOTITE",52.26,0.42,2.87,,,0.17,22.56
"PERIDOTITE",52.63,0.43,2.98,,,0.15,22.18
"PERIDOTITE",52.24,0.55,2.99,,,0.11,22.24
"PERIDOTITE",57.48,0.02,25.69,,,,8.59
