,0,1,2,3,4,5
114,ROCK NAME,SIO2,MGO,K2O,P2O5,0.7374953548866588
115,ROCK NAME,SIO2,MGO,NA2O,P2O5,0.7378098699937776
116,ROCK NAME,SIO2,MNO,K2O,NA2O,0.7372748597819818
117,ROCK NAME,SIO2,MNO,K2O,P2O5,0.7361131231187723
118,ROCK NAME,SIO2,MNO,NA2O,P2O5,0.7354178138491859
119,ROCK NAME,SIO2,K2O,NA2O,P2O5,0.7348607154162702
120,ROCK NAME,TIO2,AL2O3,CR2O3,FEOT,0.7348386742326128
121,ROCK NAME,TIO2,AL2O3,CR2O3,CAO,0.7350349508819446
122,ROCK NAME,TIO2,AL2O3,CR2O3,MGO,0.7348342714196364
123,ROCK NAME,TIO2,AL2O3,CR2O3,MNO,0.7349278558955971
124,ROCK NAME,TIO2,AL2O3,CR2O3,K2O,0.7349135802469129
125,ROCK NAME,TIO2,AL2O3,CR2O3,NA2O,0.7349899757307158
126,ROCK NAME,TIO2,AL2O3,CR2O3,P2O5,0.7351175120203984
127,ROCK NAME,TIO2,AL2O3,FEOT,CAO,0.7353246676163335
128,ROCK NAME,TIO2,AL2O3,FEOT,MGO,0.7353445673859104
129,ROCK NAME,TIO2,AL2O3,FEOT,MNO,0.7355248739864119
130,ROCK NAME,TIO2,AL2O3,FEOT,K2O,0.7355791885053965
131,ROCK NAME,TIO2,AL2O3,FEOT,NA2O,0.7355319577541791
132,ROCK NAME,TIO2,AL2O3,FEOT,P2O5,0.735728209412419
133,ROCK NAME,TIO2,AL2O3,CAO,MGO,0.7359569673002498
134,ROCK NAME,TIO2,AL2O3,CAO,MNO,0.7364566846048316
135,ROCK NAME,TIO2,AL2O3,CAO,K2O,0.7366976705211989
136,ROCK NAME,TIO2,AL2O3,CAO,NA2O,0.7368103645475896
137,ROCK NAME,TIO2,AL2O3,CAO,P2O5,0.7369764785223711
138,ROCK NAME,TIO2,AL2O3,MGO,MNO,0.7368395881585319
139,ROCK NAME,TIO2,AL2O3,MGO,K2O,0.7368945868945858
140,ROCK NAME,TIO2,AL2O3,MGO,NA2O,0.736766954261043
141,ROCK NAME,TIO2,AL2O3,MGO,P2O5,0.7367280606717214
142,ROCK NAME,TIO2,AL2O3,MNO,K2O,0.7367760444683509
143,ROCK NAME,TIO2,AL2O3,MNO,NA2O,0.7365991347472816
144,ROCK NAME,TIO2,AL2O3,MNO,P2O5,0.7365163572060108
145,ROCK NAME,TIO2,AL2O3,K2O,NA2O,0.7365192730489519
146,ROCK NAME,TIO2,AL2O3,K2O,P2O5,0.7361797520527665
147,ROCK NAME,TIO2,AL2O3,NA2O,P2O5,0.7359603192936511
148,ROCK NAME,TIO2,CR2O3,FEOT,CAO,0.7358904249284547
149,ROCK NAME,TIO2,CR2O3,FEOT,MGO,0.7359670781892989
150,ROCK NAME,TIO2,CR2O3,FEOT,MNO,0.735571026961754
151,ROCK NAME,TIO2,CR2O3,FEOT,K2O,0.7351801869345714
152,ROCK NAME,TIO2,CR2O3,FEOT,NA2O,0.7351544606446554
153,ROCK NAME,TIO2,CR2O3,FEOT,P2O5,0.7344939011605665
154,ROCK NAME,TIO2,CR2O3,CAO,MGO,0.7348895628465509
155,ROCK NAME,TIO2,CR2O3,CAO,MNO,0.7349088075583791
156,ROCK NAME,TIO2,CR2O3,CAO,K2O,0.7350911257492986
157,ROCK NAME,TIO2,CR2O3,CAO,NA2O,0.7352891677786181
158,ROCK NAME,TIO2,CR2O3,CAO,P2O5,0.7352756723825894
159,ROCK NAME,TIO2,CR2O3,MGO,MNO,0.7349655745489068
160,ROCK NAME,TIO2,CR2O3,MGO,K2O,0.7347065173152117
161,ROCK NAME,TIO2,CR2O3,MGO,NA2O,0.7346792820043836
162,ROCK NAME,TIO2,CR2O3,MGO,P2O5,0.7344076812379459
163,ROCK NAME,TIO2,CR2O3,MNO,K2O,0.7340177888958364
164,ROCK NAME,TIO2,CR2O3,MNO,NA2O,0.7338916227805105
165,ROCK NAME,TIO2,CR2O3,MNO,P2O5,0.7332177713703806
166,ROCK NAME,TIO2,CR2O3,K2O,NA2O,0.73329693888576
167,ROCK NAME,TIO2,CR2O3,K2O,P2O5,0.7328268439379535
168,ROCK NAME,TIO2,CR2O3,NA2O,P2O5,0.732497176284157
169,ROCK NAME,TIO2,FEOT,CAO,MGO,0.732880844645549
170,ROCK NAME,TIO2,FEOT,CAO,MNO,0.7331100781393165
171,ROCK NAME,TIO2,FEOT,CAO,K2O,0.7332814328938347
172,ROCK NAME,TIO2,FEOT,CAO,NA2O,0.7334837431176533
173,ROCK NAME,TIO2,FEOT,CAO,P2O5,0.7336455229175521
174,ROCK NAME,TIO2,FEOT,MGO,MNO,0.7336806403473057
175,ROCK NAME,TIO2,FEOT,MGO,K2O,0.7336506086506073
176,ROCK NAME,TIO2,FEOT,MGO,NA2O,0.7335028785122932
177,ROCK NAME,TIO2,FEOT,MGO,P2O5,0.7333994899537953
178,ROCK NAME,TIO2,FEOT,MNO,K2O,0.7328622133091388
179,ROCK NAME,TIO2,FEOT,MNO,NA2O,0.7325208399282455
180,ROCK NAME,TIO2,FEOT,MNO,P2O5,0.7319891076797136
181,ROCK NAME,TIO2,FEOT,K2O,NA2O,0.7317815138327939
182,ROCK NAME,TIO2,FEOT,K2O,P2O5,0.7312959589826601
183,ROCK NAME,TIO2,FEOT,NA2O,P2O5,0.7309240678805875
