,SIO2,CAO,AL2O3,MGO,Classification
135,43.09,1.1,1.63,52.44719,Lherzolite
136,44.16,2.87,1.86,51.0194,Lherzolite
137,42.7,2.62,1.46,51.22807,Harzburgite
138,46.05,0.91,1.46,51.11,Harzburgite
139,46.67,0.81,1.46,50.6,Harzburgite
140,48.01,0.93,1.46,49.07,Lherzolite
141,42.48,2.54,1.85,50.66304,Lherzolite
142,43.5,1.72,1.47,51.61353,Lherzolite
143,43.29,1.44,1.47,52.882419999999996,Harzburgite
144,43.12,2.68,1.88,49.28718,Lherzolite
145,42.26,1.31,1.88,52.56476,Harzburgite
146,47.38,0.94,1.48,49.73,Lherzolite
147,46.45,0.88,1.49,50.68,Harzburgite
148,46.7,1.95,1.5,48.6788,Lherzolite
149,39.5,1.59,1.5,56.788000000000004,Dunite
150,43.41,1.33,1.51,51.61059,Lherzolite
151,43.39,1.41,1.71,52.10032,Lherzolite
152,44.58,2.68,1.51,50.92,Lherzolite
153,45.1,1.97,1.52,49.3478,Lherzolite
154,44.49,2.12,1.86,50.71698,Lherzolite
155,45.28,1.74,1.9180000000000001,50.64,Lherzolite
156,44.17,1.74,1.95,51.05312,Lherzolite
157,44.97,1.38,1.54,51.16,Lherzolite
158,43.76,1.69,1.97,50.06759,Lherzolite
159,42.78,1.75,1.8530000000000002,51.37,Lherzolite
160,44.23,1.9,1.93,49.747690000000006,Lherzolite
161,44.28,1.51,1.96,50.40749,Lherzolite
162,42.66,2.44,1.91,50.99981,Lherzolite
163,43.91,4.3,1.55,50.38342,Lherzolite
164,43.84,2.0,1.96,49.700520000000004,Lherzolite
165,43.21,1.2,1.81,52.41151,Lherzolite
166,43.25,1.07,1.91,52.36,Lherzolite
167,43.56,1.42,1.98,51.2888,Lherzolite
168,44.19,1.21,1.57,52.33,Harzburgite
169,48.18,0.81,1.57,49.09,Lherzolite
170,43.65,1.34,1.58,52.349402000000005,Lherzolite
171,46.01,2.5,1.59,47.460809999999995,Lherzolite
172,40.66,0.43,1.63,56.96,Dunite
173,38.54,1.45,1.61,43.08553,Harzburgite
174,44.1,1.75,2.01,49.89,Lherzolite
175,43.94,1.08,1.61,51.46,Harzburgite
176,43.85,1.12,1.61,52.81223000000001,Harzburgite
177,43.79,1.34,1.62,52.212920000000004,Lherzolite
178,44.68,1.5,2.02,47.28468,Lherzolite
179,44.1,1.15,2.55,50.26435,Lherzolite
180,43.89,1.58,2.02,51.84,Lherzolite
181,41.75,1.26,2.02,53.955780000000004,Lherzolite
182,43.75,1.39,1.65,52.36817,Lherzolite
183,45.28,2.12,1.65,50.64,Lherzolite
184,48.2,2.17,1.65,47.53,Lherzolite
185,43.58,2.0,2.02,50.82678,Lherzolite
186,46.54,1.65,1.66,49.57,Harzburgite
187,43.18,1.64,1.66,53.28,Harzburgite
188,43.83,1.61,1.67,51.31,Lherzolite
189,45.06,1.51,1.67,50.64433,Lherzolite
190,44.48,2.48,1.67,50.59,Lherzolite
191,43.65,1.81,2.06,50.48547,Lherzolite
192,43.88,1.64,1.68,51.1215,Lherzolite
193,43.84,1.64,1.68,51.4984,Lherzolite
194,44.48,1.21,2.18,51.1,Harzburgite
195,42.57,1.43,1.99,53.04,Lherzolite
196,44.1,1.39,1.69,50.96503,Lherzolite
197,42.67,2.05,1.69,51.5,Lherzolite
198,43.69,1.41,1.69,52.14322,Lherzolite
199,45.4,1.93,2.14,49.10776,Lherzolite
200,42.52,1.7,1.7,50.91319,Lherzolite
201,43.2,1.84,1.7,52.1586,Lherzolite
202,45.2,1.65,2.115,50.91,Lherzolite
203,44.4,1.57,1.72,50.29999,Lherzolite
204,43.75,1.57,1.72,50.81312,Lherzolite
205,43.04,0.94,1.73,52.65696,Lherzolite
206,44.0,1.39,1.73,51.421409999999995,Lherzolite
207,42.69,1.91,2.028,53.12,Lherzolite
208,46.05,1.72,1.73,49.98,Harzburgite
209,44.65,1.46,1.74,50.135740000000006,Lherzolite
210,43.5,1.65,1.74,51.8,Lherzolite
211,44.5,0.5,1.75,50.75698,Harzburgite
212,42.92,1.67,2.65,50.92476,Lherzolite
213,44.2,1.58,1.76,49.37,Lherzolite
214,48.14,0.91,1.76,46.99,Lherzolite
215,44.78,2.46,1.76,49.10018,Lherzolite
216,44.71,1.54,1.76,51.443220000000004,Lherzolite
217,43.27,1.77,1.77,50.137170000000005,Lherzolite
218,42.56,1.61,1.77,51.82799,Harzburgite
219,43.8,1.49,1.77,51.42426,Lherzolite
220,44.4,2.49,1.78,49.13473,Lherzolite
221,43.6,1.62,1.79,50.208870000000005,Lherzolite
222,46.0,2.05,1.79,48.341609999999996,Lherzolite
223,42.31,1.78,1.79,53.14,Harzburgite
224,43.9,2.41,2.28,50.49425,Lherzolite
225,43.06,1.5,2.21,50.511829999999996,Lherzolite
226,43.75,1.81,1.8,50.89951,Lherzolite
227,45.6,2.5,1.8,48.77375,Lherzolite
228,47.96,0.9,1.8,48.73,Lherzolite
229,44.46,2.81,1.8,50.6609,Lherzolite
230,43.8,1.94,1.8,53.2182,Lherzolite
231,44.8,1.59,1.81,50.22424,Lherzolite
232,44.68,1.52,1.81,50.15,Lherzolite
233,43.89,1.26,1.81,52.42,Lherzolite
234,45.06,4.62,1.81,47.79,Lherzolite
235,44.71,1.63,2.26,53.1615,Harzburgite
236,43.75,2.13,1.82,50.67,Lherzolite
237,42.9,2.18,2.19,52.02143,Lherzolite
238,45.02,1.53,1.82,50.53,Lherzolite
239,44.6,1.85,1.83,49.93373,Lherzolite
240,43.87,1.59,1.83,50.88547,Lherzolite
241,38.1,0.61,3.2,43.54705,Harzburgite
242,43.91,2.52,1.84,50.15,Lherzolite
243,43.4,2.28,2.271,49.44433,Lherzolite
244,44.2,1.56,1.85,50.32685,Lherzolite
245,43.88,2.96,1.85,49.556779999999996,Lherzolite
246,53.64,23.43,2.61,20.11,Lherzolite
247,42.26,1.98,1.86,53.27,Harzburgite
248,43.4,1.61,2.153,52.42,Lherzolite
249,56.63,0.67,2.38,40.23,Lherzolite
250,43.23,0.76,1.88,47.2587,Lherzolite
251,44.78,1.35,1.88,50.49412,Lherzolite
252,41.54,1.83,2.14,53.50711,Lherzolite
253,43.9,1.0,2.28,50.58668,Harzburgite
254,43.4,1.93,2.25,51.4489,Lherzolite
255,42.7,0.72,1.9,51.99655,Lherzolite
256,43.44,1.84,1.9,50.60412,Lherzolite
257,44.17,1.73,1.9,49.903620000000004,Lherzolite
258,43.9,1.62,1.9,51.4014,Lherzolite
259,42.6,0.78,2.09,53.65526,Harzburgite
260,42.8,1.83,1.9,52.79111999999999,Lherzolite
261,44.83,1.8,2.25,47.81,Lherzolite
262,44.81,1.54,2.29,49.54473,Lherzolite
263,44.51,1.22,1.91,50.83443,Harzburgite
264,42.48,1.99,1.91,51.99,Harzburgite
265,45.75,1.61,1.91,49.25342,Lherzolite
266,44.26,0.66,1.92,53.25,Harzburgite
267,43.7,1.73,2.34,49.87042,Lherzolite
268,43.8,2.25,1.94,49.84483,Lherzolite
269,43.98,1.83,2.62,50.60224,Lherzolite
270,43.2,1.82,1.94,52.34395,Lherzolite
271,42.84,1.96,1.95,50.374629999999996,Lherzolite
272,43.44,1.69,2.35,50.05598,Lherzolite
273,40.47,1.58,2.28,53.33566999999999,Lherzolite
274,44.34,1.56,2.33,49.88,Lherzolite
275,44.83,1.89,2.34,49.38,Lherzolite
276,44.2,1.81,1.96,50.77,Lherzolite
277,42.7,1.55,1.96,53.273230000000005,Lherzolite
278,44.56,2.27,1.97,49.7715,Lherzolite
279,43.9,1.96,2.43,50.75597,Lherzolite
280,43.63,1.39,1.98,51.156279999999995,Lherzolite
281,44.15,2.09,1.98,50.26918,Lherzolite
282,44.57,0.96,1.98,49.52,Lherzolite
283,42.74,1.86,2.358,52.67,Harzburgite
284,44.26,2.03,1.99,51.1809,Lherzolite
285,43.99,2.85,2.296,50.48,Lherzolite
286,43.77,1.75,2.0,51.414372,Lherzolite
287,43.4,1.8,2.0,51.83546,Lherzolite
288,43.4,1.93,2.35,51.065979999999996,Lherzolite
289,43.68,1.6,2.01,51.91708,Lherzolite
290,43.99,1.73,2.02,50.74989,Lherzolite
291,43.3,2.25,2.03,50.59899,Lherzolite
292,43.17,2.53,2.45,49.05153,Lherzolite
293,44.69,1.75,2.04,50.66,Harzburgite
294,42.62,1.99,2.05,47.30473,Lherzolite
295,44.3,2.09,2.05,48.903209999999994,Lherzolite
296,43.93,1.95,2.05,51.35999,Lherzolite
297,43.94,1.94,2.06,50.810190000000006,Lherzolite
298,44.2,1.98,2.46,50.523340000000005,Lherzolite
299,43.15,2.93,2.08,48.25322,Lherzolite
300,43.69,1.69,2.08,51.1908,Lherzolite
301,43.66,0.09,2.63,52.63233,Harzburgite
302,43.08,1.43,2.09,51.867259999999995,Lherzolite
303,42.45,2.36,2.38,51.03094,Lherzolite
304,42.48,2.38,2.86,51.2476,Lherzolite
305,43.77,2.03,2.457,49.19464,Lherzolite
306,42.0,0.75,2.1,54.616859999999996,Harzburgite
307,44.92,2.52,2.1,49.87,Lherzolite
308,44.63,2.12,2.5,48.93638,Lherzolite
309,45.51,2.24,2.11,48.86,Lherzolite
310,44.03,1.57,2.59,50.89425,Lherzolite
311,42.71,1.95,2.12,49.82,Lherzolite
312,44.39,2.33,2.12,48.73433,Lherzolite
313,43.5,1.99,2.13,50.06392,Lherzolite
314,44.9,2.59,2.13,48.33928,Lherzolite
315,44.42,2.31,2.49,50.820609999999995,Lherzolite
316,43.72,2.24,2.63,49.24281,Lherzolite
317,45.44,2.0,2.57,50.35,Lherzolite
318,32.14,3.18,2.15,49.972229999999996,Dunite
319,42.78,4.78,2.15,45.71771,Harzburgite
320,44.12,1.41,2.15,50.08554,Lherzolite
321,44.65,2.26,2.15,48.607659999999996,Lherzolite
322,44.12,1.88,2.15,49.9016,Lherzolite
323,43.4,1.43,2.15,52.182959999999994,Lherzolite
324,43.88,1.94,2.16,48.757090000000005,Lherzolite
325,44.3,2.01,2.55,48.990520000000004,Lherzolite
326,43.89,2.35,2.16,50.79,Lherzolite
327,44.4,2.57,2.17,50.55397,Lherzolite
328,44.36,1.85,2.18,49.6217,Lherzolite
329,43.97,3.48,2.481,49.69,Lherzolite
330,43.71,1.8,2.6,49.50587,Lherzolite
331,44.32,1.4,2.62,49.72719,Lherzolite
332,44.27,2.02,2.2,50.590090000000004,Lherzolite
333,44.03,1.98,2.58,49.18618,Lherzolite
